Query 38: what is the type of a module i don t want the entire literature on abstract data types here but i m not sure how to phrase this to avoid it i m interested in questions about how one can check that a module matches contexts in which it is used

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  N  	  0.000  	  0.000
03  	  R  	  0.333  	  0.062
04  	  N  	  0.250  	  0.062
05  	  N  	  0.200  	  0.062
06  	  N  	  0.167  	  0.062
07  	  N  	  0.143  	  0.062
08  	  N  	  0.125  	  0.062
09  	  N  	  0.111  	  0.062
10  	  N  	  0.100  	  0.062
11  	  N  	  0.091  	  0.062
12  	  N  	  0.083  	  0.062
13  	  R  	  0.154  	  0.125
14  	  N  	  0.143  	  0.125
15  	  N  	  0.133  	  0.125
16  	  N  	  0.125  	  0.125
17  	  N  	  0.118  	  0.125
18  	  N  	  0.111  	  0.125
19  	  N  	  0.105  	  0.125
20  	  N  	  0.100  	  0.125
21  	  N  	  0.095  	  0.125
22  	  R  	  0.136  	  0.188
23  	  N  	  0.130  	  0.188
24  	  N  	  0.125  	  0.188
25  	  N  	  0.120  	  0.188
26  	  N  	  0.115  	  0.188
27  	  N  	  0.111  	  0.188
28  	  N  	  0.107  	  0.188
29  	  N  	  0.103  	  0.188
30  	  N  	  0.100  	  0.188
31  	  N  	  0.097  	  0.188
32  	  N  	  0.094  	  0.188
33  	  N  	  0.091  	  0.188
34  	  N  	  0.088  	  0.188
35  	  N  	  0.086  	  0.188
36  	  N  	  0.083  	  0.188
37  	  N  	  0.081  	  0.188
38  	  N  	  0.079  	  0.188
39  	  N  	  0.077  	  0.188
40  	  N  	  0.075  	  0.188
41  	  N  	  0.073  	  0.188
42  	  N  	  0.071  	  0.188
43  	  N  	  0.070  	  0.188
44  	  N  	  0.068  	  0.188
45  	  N  	  0.067  	  0.188
46  	  N  	  0.065  	  0.188
47  	  N  	  0.064  	  0.188
48  	  N  	  0.062  	  0.188
49  	  R  	  0.082  	  0.250
50  	  N  	  0.080  	  0.250
51  	  N  	  0.078  	  0.250
52  	  N  	  0.077  	  0.250
53  	  N  	  0.075  	  0.250
54  	  N  	  0.074  	  0.250
55  	  N  	  0.073  	  0.250
56  	  N  	  0.071  	  0.250
57  	  N  	  0.070  	  0.250
58  	  N  	  0.069  	  0.250
59  	  N  	  0.068  	  0.250
60  	  N  	  0.067  	  0.250
61  	  R  	  0.082  	  0.312
62  	  N  	  0.081  	  0.312
63  	  N  	  0.079  	  0.312
64  	  N  	  0.078  	  0.312
65  	  N  	  0.077  	  0.312
66  	  N  	  0.076  	  0.312
67  	  N  	  0.075  	  0.312
68  	  N  	  0.074  	  0.312
69  	  N  	  0.072  	  0.312
70  	  N  	  0.071  	  0.312
71  	  R  	  0.085  	  0.375
72  	  N  	  0.083  	  0.375
73  	  N  	  0.082  	  0.375
74  	  N  	  0.081  	  0.375
75  	  N  	  0.080  	  0.375
76  	  N  	  0.079  	  0.375
77  	  N  	  0.078  	  0.375
78  	  N  	  0.077  	  0.375
79  	  N  	  0.076  	  0.375
80  	  N  	  0.075  	  0.375
81  	  N  	  0.074  	  0.375
82  	  N  	  0.073  	  0.375
83  	  N  	  0.072  	  0.375
84  	  N  	  0.071  	  0.375
85  	  N  	  0.071  	  0.375
86  	  N  	  0.070  	  0.375
87  	  N  	  0.069  	  0.375
88  	  N  	  0.068  	  0.375
89  	  N  	  0.067  	  0.375
90  	  N  	  0.067  	  0.375
91  	  N  	  0.066  	  0.375
92  	  N  	  0.065  	  0.375
93  	  N  	  0.065  	  0.375
94  	  N  	  0.064  	  0.375
95  	  N  	  0.063  	  0.375
96  	  N  	  0.062  	  0.375
97  	  N  	  0.062  	  0.375
98  	  N  	  0.061  	  0.375
99  	  N  	  0.061  	  0.375
100  	  N  	  0.060  	  0.375
