Query 40: list all articles dealing with data types in the following languages that are referenced frequently in papers on the above languages e g catch any languages with interesting type structures that i might have missed

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.100
02  	  N  	  0.500  	  0.100
03  	  R  	  0.667  	  0.200
04  	  N  	  0.500  	  0.200
05  	  R  	  0.600  	  0.300
06  	  N  	  0.500  	  0.300
07  	  N  	  0.429  	  0.300
08  	  N  	  0.375  	  0.300
09  	  N  	  0.333  	  0.300
10  	  N  	  0.300  	  0.300
11  	  N  	  0.273  	  0.300
12  	  N  	  0.250  	  0.300
13  	  N  	  0.231  	  0.300
14  	  N  	  0.214  	  0.300
15  	  N  	  0.200  	  0.300
16  	  N  	  0.188  	  0.300
17  	  N  	  0.176  	  0.300
18  	  N  	  0.167  	  0.300
19  	  R  	  0.211  	  0.400
20  	  R  	  0.250  	  0.500
21  	  R  	  0.286  	  0.600
22  	  N  	  0.273  	  0.600
23  	  N  	  0.261  	  0.600
24  	  N  	  0.250  	  0.600
25  	  N  	  0.240  	  0.600
26  	  N  	  0.231  	  0.600
27  	  N  	  0.222  	  0.600
28  	  N  	  0.214  	  0.600
29  	  N  	  0.207  	  0.600
30  	  N  	  0.200  	  0.600
31  	  N  	  0.194  	  0.600
32  	  N  	  0.188  	  0.600
33  	  N  	  0.182  	  0.600
34  	  N  	  0.176  	  0.600
35  	  R  	  0.200  	  0.700
36  	  N  	  0.194  	  0.700
37  	  N  	  0.189  	  0.700
38  	  N  	  0.184  	  0.700
39  	  N  	  0.179  	  0.700
40  	  N  	  0.175  	  0.700
41  	  N  	  0.171  	  0.700
42  	  N  	  0.167  	  0.700
43  	  N  	  0.163  	  0.700
44  	  N  	  0.159  	  0.700
45  	  N  	  0.156  	  0.700
46  	  N  	  0.152  	  0.700
47  	  N  	  0.149  	  0.700
48  	  N  	  0.146  	  0.700
49  	  N  	  0.143  	  0.700
50  	  N  	  0.140  	  0.700
51  	  N  	  0.137  	  0.700
52  	  N  	  0.135  	  0.700
53  	  N  	  0.132  	  0.700
54  	  N  	  0.130  	  0.700
55  	  R  	  0.145  	  0.800
56  	  N  	  0.143  	  0.800
57  	  N  	  0.140  	  0.800
58  	  N  	  0.138  	  0.800
59  	  N  	  0.136  	  0.800
60  	  N  	  0.133  	  0.800
61  	  N  	  0.131  	  0.800
62  	  N  	  0.129  	  0.800
63  	  N  	  0.127  	  0.800
64  	  N  	  0.125  	  0.800
65  	  N  	  0.123  	  0.800
66  	  R  	  0.136  	  0.900
67  	  N  	  0.134  	  0.900
68  	  N  	  0.132  	  0.900
69  	  N  	  0.130  	  0.900
70  	  N  	  0.129  	  0.900
71  	  N  	  0.127  	  0.900
72  	  N  	  0.125  	  0.900
73  	  N  	  0.123  	  0.900
74  	  N  	  0.122  	  0.900
75  	  N  	  0.120  	  0.900
76  	  N  	  0.118  	  0.900
77  	  N  	  0.117  	  0.900
78  	  N  	  0.115  	  0.900
79  	  N  	  0.114  	  0.900
80  	  N  	  0.113  	  0.900
81  	  N  	  0.111  	  0.900
82  	  N  	  0.110  	  0.900
83  	  N  	  0.108  	  0.900
84  	  N  	  0.107  	  0.900
85  	  N  	  0.106  	  0.900
86  	  N  	  0.105  	  0.900
87  	  N  	  0.103  	  0.900
88  	  N  	  0.102  	  0.900
89  	  N  	  0.101  	  0.900
90  	  N  	  0.100  	  0.900
91  	  N  	  0.099  	  0.900
92  	  N  	  0.098  	  0.900
93  	  N  	  0.097  	  0.900
94  	  N  	  0.096  	  0.900
95  	  N  	  0.095  	  0.900
96  	  N  	  0.094  	  0.900
97  	  N  	  0.093  	  0.900
98  	  N  	  0.092  	  0.900
99  	  N  	  0.091  	  0.900
100  	  N  	  0.090  	  0.900
