Query 42: computer performance evaluation techniques using pattern recognition and clustering la 70803

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  N  	  0.000  	  0.000
03  	  N  	  0.000  	  0.000
04  	  R  	  0.250  	  0.048
05  	  N  	  0.200  	  0.048
06  	  N  	  0.167  	  0.048
07  	  N  	  0.143  	  0.048
08  	  N  	  0.125  	  0.048
09  	  R  	  0.222  	  0.095
10  	  N  	  0.200  	  0.095
11  	  N  	  0.182  	  0.095
12  	  N  	  0.167  	  0.095
13  	  N  	  0.154  	  0.095
14  	  N  	  0.143  	  0.095
15  	  N  	  0.133  	  0.095
16  	  N  	  0.125  	  0.095
17  	  N  	  0.118  	  0.095
18  	  N  	  0.111  	  0.095
19  	  R  	  0.158  	  0.143
20  	  N  	  0.150  	  0.143
21  	  N  	  0.143  	  0.143
22  	  R  	  0.182  	  0.190
23  	  N  	  0.174  	  0.190
24  	  N  	  0.167  	  0.190
25  	  N  	  0.160  	  0.190
26  	  N  	  0.154  	  0.190
27  	  N  	  0.148  	  0.190
28  	  N  	  0.143  	  0.190
29  	  N  	  0.138  	  0.190
30  	  R  	  0.167  	  0.238
31  	  N  	  0.161  	  0.238
32  	  N  	  0.156  	  0.238
33  	  N  	  0.152  	  0.238
34  	  N  	  0.147  	  0.238
35  	  N  	  0.143  	  0.238
36  	  N  	  0.139  	  0.238
37  	  N  	  0.135  	  0.238
38  	  N  	  0.132  	  0.238
39  	  N  	  0.128  	  0.238
40  	  N  	  0.125  	  0.238
41  	  N  	  0.122  	  0.238
42  	  N  	  0.119  	  0.238
43  	  N  	  0.116  	  0.238
44  	  N  	  0.114  	  0.238
45  	  N  	  0.111  	  0.238
46  	  N  	  0.109  	  0.238
47  	  N  	  0.106  	  0.238
48  	  N  	  0.104  	  0.238
49  	  N  	  0.102  	  0.238
50  	  N  	  0.100  	  0.238
51  	  N  	  0.098  	  0.238
52  	  N  	  0.096  	  0.238
53  	  N  	  0.094  	  0.238
54  	  N  	  0.093  	  0.238
55  	  N  	  0.091  	  0.238
56  	  N  	  0.089  	  0.238
57  	  N  	  0.088  	  0.238
58  	  R  	  0.103  	  0.286
59  	  R  	  0.119  	  0.333
60  	  N  	  0.117  	  0.333
61  	  N  	  0.115  	  0.333
62  	  N  	  0.113  	  0.333
63  	  N  	  0.111  	  0.333
64  	  N  	  0.109  	  0.333
65  	  N  	  0.108  	  0.333
66  	  N  	  0.106  	  0.333
67  	  N  	  0.104  	  0.333
68  	  N  	  0.103  	  0.333
69  	  R  	  0.116  	  0.381
70  	  N  	  0.114  	  0.381
71  	  N  	  0.113  	  0.381
72  	  N  	  0.111  	  0.381
73  	  N  	  0.110  	  0.381
74  	  N  	  0.108  	  0.381
75  	  N  	  0.107  	  0.381
76  	  N  	  0.105  	  0.381
77  	  N  	  0.104  	  0.381
78  	  N  	  0.103  	  0.381
79  	  N  	  0.101  	  0.381
80  	  N  	  0.100  	  0.381
81  	  N  	  0.099  	  0.381
82  	  N  	  0.098  	  0.381
83  	  N  	  0.096  	  0.381
84  	  N  	  0.095  	  0.381
85  	  R  	  0.106  	  0.429
86  	  N  	  0.105  	  0.429
87  	  N  	  0.103  	  0.429
88  	  N  	  0.102  	  0.429
89  	  N  	  0.101  	  0.429
90  	  N  	  0.100  	  0.429
91  	  R  	  0.110  	  0.476
92  	  N  	  0.109  	  0.476
93  	  N  	  0.108  	  0.476
94  	  N  	  0.106  	  0.476
95  	  N  	  0.105  	  0.476
96  	  N  	  0.104  	  0.476
97  	  N  	  0.103  	  0.476
98  	  N  	  0.102  	  0.476
99  	  N  	  0.101  	  0.476
100  	  N  	  0.100  	  0.476
