Query 43: analysis and perception of shape by humans and computers shape descriptions shape recognition by computer two dimensional shapes measures of circularity shape matching

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.024
02  	  N  	  0.500  	  0.024
03  	  N  	  0.333  	  0.024
04  	  N  	  0.250  	  0.024
05  	  N  	  0.200  	  0.024
06  	  N  	  0.167  	  0.024
07  	  N  	  0.143  	  0.024
08  	  N  	  0.125  	  0.024
09  	  N  	  0.111  	  0.024
10  	  R  	  0.200  	  0.049
11  	  N  	  0.182  	  0.049
12  	  R  	  0.250  	  0.073
13  	  R  	  0.308  	  0.098
14  	  R  	  0.357  	  0.122
15  	  N  	  0.333  	  0.122
16  	  R  	  0.375  	  0.146
17  	  R  	  0.412  	  0.171
18  	  N  	  0.389  	  0.171
19  	  N  	  0.368  	  0.171
20  	  N  	  0.350  	  0.171
21  	  R  	  0.381  	  0.195
22  	  N  	  0.364  	  0.195
23  	  N  	  0.348  	  0.195
24  	  R  	  0.375  	  0.220
25  	  N  	  0.360  	  0.220
26  	  R  	  0.385  	  0.244
27  	  N  	  0.370  	  0.244
28  	  N  	  0.357  	  0.244
29  	  N  	  0.345  	  0.244
30  	  N  	  0.333  	  0.244
31  	  N  	  0.323  	  0.244
32  	  N  	  0.312  	  0.244
33  	  N  	  0.303  	  0.244
34  	  N  	  0.294  	  0.244
35  	  N  	  0.286  	  0.244
36  	  N  	  0.278  	  0.244
37  	  N  	  0.270  	  0.244
38  	  N  	  0.263  	  0.244
39  	  R  	  0.282  	  0.268
40  	  N  	  0.275  	  0.268
41  	  N  	  0.268  	  0.268
42  	  N  	  0.262  	  0.268
43  	  N  	  0.256  	  0.268
44  	  N  	  0.250  	  0.268
45  	  N  	  0.244  	  0.268
46  	  N  	  0.239  	  0.268
47  	  N  	  0.234  	  0.268
48  	  N  	  0.229  	  0.268
49  	  N  	  0.224  	  0.268
50  	  N  	  0.220  	  0.268
51  	  N  	  0.216  	  0.268
52  	  N  	  0.212  	  0.268
53  	  N  	  0.208  	  0.268
54  	  N  	  0.204  	  0.268
55  	  N  	  0.200  	  0.268
56  	  N  	  0.196  	  0.268
57  	  N  	  0.193  	  0.268
58  	  N  	  0.190  	  0.268
59  	  N  	  0.186  	  0.268
60  	  N  	  0.183  	  0.268
61  	  R  	  0.197  	  0.293
62  	  N  	  0.194  	  0.293
63  	  N  	  0.190  	  0.293
64  	  N  	  0.188  	  0.293
65  	  N  	  0.185  	  0.293
66  	  N  	  0.182  	  0.293
67  	  N  	  0.179  	  0.293
68  	  N  	  0.176  	  0.293
69  	  N  	  0.174  	  0.293
70  	  N  	  0.171  	  0.293
71  	  N  	  0.169  	  0.293
72  	  N  	  0.167  	  0.293
73  	  R  	  0.178  	  0.317
74  	  N  	  0.176  	  0.317
75  	  N  	  0.173  	  0.317
76  	  N  	  0.171  	  0.317
77  	  N  	  0.169  	  0.317
78  	  N  	  0.167  	  0.317
79  	  N  	  0.165  	  0.317
80  	  N  	  0.163  	  0.317
81  	  N  	  0.160  	  0.317
82  	  R  	  0.171  	  0.341
83  	  N  	  0.169  	  0.341
84  	  N  	  0.167  	  0.341
85  	  N  	  0.165  	  0.341
86  	  N  	  0.163  	  0.341
87  	  N  	  0.161  	  0.341
88  	  N  	  0.159  	  0.341
89  	  N  	  0.157  	  0.341
90  	  N  	  0.156  	  0.341
91  	  N  	  0.154  	  0.341
92  	  N  	  0.152  	  0.341
93  	  N  	  0.151  	  0.341
94  	  N  	  0.149  	  0.341
95  	  N  	  0.147  	  0.341
96  	  N  	  0.146  	  0.341
97  	  R  	  0.155  	  0.366
98  	  N  	  0.153  	  0.366
99  	  N  	  0.152  	  0.366
100  	  N  	  0.150  	  0.366
