Query 45: the use of operations research models to optimize information system performance this includes fine tuning decisions such as secondary index selection file reorganization and distributed databases

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.038
02  	  R  	  1.000  	  0.077
03  	  N  	  0.667  	  0.077
04  	  R  	  0.750  	  0.115
05  	  R  	  0.800  	  0.154
06  	  N  	  0.667  	  0.154
07  	  N  	  0.571  	  0.154
08  	  N  	  0.500  	  0.154
09  	  N  	  0.444  	  0.154
10  	  N  	  0.400  	  0.154
11  	  R  	  0.455  	  0.192
12  	  N  	  0.417  	  0.192
13  	  N  	  0.385  	  0.192
14  	  N  	  0.357  	  0.192
15  	  N  	  0.333  	  0.192
16  	  N  	  0.312  	  0.192
17  	  N  	  0.294  	  0.192
18  	  N  	  0.278  	  0.192
19  	  R  	  0.316  	  0.231
20  	  N  	  0.300  	  0.231
21  	  N  	  0.286  	  0.231
22  	  N  	  0.273  	  0.231
23  	  N  	  0.261  	  0.231
24  	  N  	  0.250  	  0.231
25  	  N  	  0.240  	  0.231
26  	  N  	  0.231  	  0.231
27  	  N  	  0.222  	  0.231
28  	  N  	  0.214  	  0.231
29  	  R  	  0.241  	  0.269
30  	  N  	  0.233  	  0.269
31  	  N  	  0.226  	  0.269
32  	  N  	  0.219  	  0.269
33  	  N  	  0.212  	  0.269
34  	  N  	  0.206  	  0.269
35  	  N  	  0.200  	  0.269
36  	  N  	  0.194  	  0.269
37  	  N  	  0.189  	  0.269
38  	  N  	  0.184  	  0.269
39  	  N  	  0.179  	  0.269
40  	  N  	  0.175  	  0.269
41  	  N  	  0.171  	  0.269
42  	  N  	  0.167  	  0.269
43  	  N  	  0.163  	  0.269
44  	  N  	  0.159  	  0.269
45  	  N  	  0.156  	  0.269
46  	  N  	  0.152  	  0.269
47  	  R  	  0.170  	  0.308
48  	  N  	  0.167  	  0.308
49  	  N  	  0.163  	  0.308
50  	  N  	  0.160  	  0.308
51  	  N  	  0.157  	  0.308
52  	  N  	  0.154  	  0.308
53  	  N  	  0.151  	  0.308
54  	  N  	  0.148  	  0.308
55  	  N  	  0.145  	  0.308
56  	  N  	  0.143  	  0.308
57  	  N  	  0.140  	  0.308
58  	  N  	  0.138  	  0.308
59  	  N  	  0.136  	  0.308
60  	  R  	  0.150  	  0.346
61  	  N  	  0.148  	  0.346
62  	  N  	  0.145  	  0.346
63  	  N  	  0.143  	  0.346
64  	  N  	  0.141  	  0.346
65  	  N  	  0.138  	  0.346
66  	  N  	  0.136  	  0.346
67  	  N  	  0.134  	  0.346
68  	  N  	  0.132  	  0.346
69  	  N  	  0.130  	  0.346
70  	  N  	  0.129  	  0.346
71  	  N  	  0.127  	  0.346
72  	  N  	  0.125  	  0.346
73  	  N  	  0.123  	  0.346
74  	  N  	  0.122  	  0.346
75  	  N  	  0.120  	  0.346
76  	  N  	  0.118  	  0.346
77  	  R  	  0.130  	  0.385
78  	  N  	  0.128  	  0.385
79  	  N  	  0.127  	  0.385
80  	  N  	  0.125  	  0.385
81  	  N  	  0.123  	  0.385
82  	  N  	  0.122  	  0.385
83  	  N  	  0.120  	  0.385
84  	  R  	  0.131  	  0.423
85  	  N  	  0.129  	  0.423
86  	  R  	  0.140  	  0.462
87  	  N  	  0.138  	  0.462
88  	  N  	  0.136  	  0.462
89  	  N  	  0.135  	  0.462
90  	  N  	  0.133  	  0.462
91  	  N  	  0.132  	  0.462
92  	  N  	  0.130  	  0.462
93  	  N  	  0.129  	  0.462
94  	  N  	  0.128  	  0.462
95  	  N  	  0.126  	  0.462
96  	  N  	  0.125  	  0.462
97  	  N  	  0.124  	  0.462
98  	  N  	  0.122  	  0.462
99  	  N  	  0.121  	  0.462
100  	  R  	  0.130  	  0.500
