Query 58: algorithms or statistical packages for anova regression using least squares or generalized linear models system design capabilities statistical formula are of interest student s t test wilcoxon and sign tests multivariate and univariate components can be included

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  R  	  0.500  	  0.033
03  	  N  	  0.333  	  0.033
04  	  R  	  0.500  	  0.067
05  	  N  	  0.400  	  0.067
06  	  N  	  0.333  	  0.067
07  	  N  	  0.286  	  0.067
08  	  R  	  0.375  	  0.100
09  	  R  	  0.444  	  0.133
10  	  N  	  0.400  	  0.133
11  	  R  	  0.455  	  0.167
12  	  N  	  0.417  	  0.167
13  	  N  	  0.385  	  0.167
14  	  N  	  0.357  	  0.167
15  	  N  	  0.333  	  0.167
16  	  R  	  0.375  	  0.200
17  	  N  	  0.353  	  0.200
18  	  N  	  0.333  	  0.200
19  	  R  	  0.368  	  0.233
20  	  N  	  0.350  	  0.233
21  	  N  	  0.333  	  0.233
22  	  N  	  0.318  	  0.233
23  	  N  	  0.304  	  0.233
24  	  N  	  0.292  	  0.233
25  	  N  	  0.280  	  0.233
26  	  N  	  0.269  	  0.233
27  	  N  	  0.259  	  0.233
28  	  N  	  0.250  	  0.233
29  	  N  	  0.241  	  0.233
30  	  N  	  0.233  	  0.233
31  	  N  	  0.226  	  0.233
32  	  N  	  0.219  	  0.233
33  	  N  	  0.212  	  0.233
34  	  N  	  0.206  	  0.233
35  	  N  	  0.200  	  0.233
36  	  R  	  0.222  	  0.267
37  	  N  	  0.216  	  0.267
38  	  N  	  0.211  	  0.267
39  	  N  	  0.205  	  0.267
40  	  N  	  0.200  	  0.267
41  	  N  	  0.195  	  0.267
42  	  N  	  0.190  	  0.267
43  	  N  	  0.186  	  0.267
44  	  N  	  0.182  	  0.267
45  	  N  	  0.178  	  0.267
46  	  N  	  0.174  	  0.267
47  	  N  	  0.170  	  0.267
48  	  N  	  0.167  	  0.267
49  	  N  	  0.163  	  0.267
50  	  N  	  0.160  	  0.267
51  	  R  	  0.176  	  0.300
52  	  N  	  0.173  	  0.300
53  	  N  	  0.170  	  0.300
54  	  N  	  0.167  	  0.300
55  	  N  	  0.164  	  0.300
56  	  N  	  0.161  	  0.300
57  	  R  	  0.175  	  0.333
58  	  N  	  0.172  	  0.333
59  	  N  	  0.169  	  0.333
60  	  N  	  0.167  	  0.333
61  	  N  	  0.164  	  0.333
62  	  N  	  0.161  	  0.333
63  	  N  	  0.159  	  0.333
64  	  N  	  0.156  	  0.333
65  	  N  	  0.154  	  0.333
66  	  N  	  0.152  	  0.333
67  	  N  	  0.149  	  0.333
68  	  N  	  0.147  	  0.333
69  	  N  	  0.145  	  0.333
70  	  N  	  0.143  	  0.333
71  	  N  	  0.141  	  0.333
72  	  N  	  0.139  	  0.333
73  	  N  	  0.137  	  0.333
74  	  N  	  0.135  	  0.333
75  	  N  	  0.133  	  0.333
76  	  N  	  0.132  	  0.333
77  	  R  	  0.143  	  0.367
78  	  N  	  0.141  	  0.367
79  	  N  	  0.139  	  0.367
80  	  N  	  0.138  	  0.367
81  	  N  	  0.136  	  0.367
82  	  N  	  0.134  	  0.367
83  	  N  	  0.133  	  0.367
84  	  N  	  0.131  	  0.367
85  	  R  	  0.141  	  0.400
86  	  R  	  0.151  	  0.433
87  	  N  	  0.149  	  0.433
88  	  N  	  0.148  	  0.433
89  	  N  	  0.146  	  0.433
90  	  N  	  0.144  	  0.433
91  	  R  	  0.154  	  0.467
92  	  N  	  0.152  	  0.467
93  	  N  	  0.151  	  0.467
94  	  N  	  0.149  	  0.467
95  	  N  	  0.147  	  0.467
96  	  N  	  0.146  	  0.467
97  	  N  	  0.144  	  0.467
98  	  N  	  0.143  	  0.467
99  	  N  	  0.141  	  0.467
100  	  N  	  0.140  	  0.467
