Query 59: dictionary construction and accessing methods for fast retrieval of words or lexical items or morphologically related information hashing or indexing methods are usually applied to english spelling or natural language problems

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.023
02  	  N  	  0.500  	  0.023
03  	  R  	  0.667  	  0.047
04  	  N  	  0.500  	  0.047
05  	  R  	  0.600  	  0.070
06  	  R  	  0.667  	  0.093
07  	  R  	  0.714  	  0.116
08  	  N  	  0.625  	  0.116
09  	  N  	  0.556  	  0.116
10  	  N  	  0.500  	  0.116
11  	  N  	  0.455  	  0.116
12  	  N  	  0.417  	  0.116
13  	  N  	  0.385  	  0.116
14  	  N  	  0.357  	  0.116
15  	  R  	  0.400  	  0.140
16  	  N  	  0.375  	  0.140
17  	  N  	  0.353  	  0.140
18  	  N  	  0.333  	  0.140
19  	  N  	  0.316  	  0.140
20  	  R  	  0.350  	  0.163
21  	  N  	  0.333  	  0.163
22  	  N  	  0.318  	  0.163
23  	  N  	  0.304  	  0.163
24  	  N  	  0.292  	  0.163
25  	  N  	  0.280  	  0.163
26  	  N  	  0.269  	  0.163
27  	  R  	  0.296  	  0.186
28  	  N  	  0.286  	  0.186
29  	  N  	  0.276  	  0.186
30  	  N  	  0.267  	  0.186
31  	  N  	  0.258  	  0.186
32  	  N  	  0.250  	  0.186
33  	  N  	  0.242  	  0.186
34  	  R  	  0.265  	  0.209
35  	  N  	  0.257  	  0.209
36  	  N  	  0.250  	  0.209
37  	  N  	  0.243  	  0.209
38  	  N  	  0.237  	  0.209
39  	  N  	  0.231  	  0.209
40  	  N  	  0.225  	  0.209
41  	  N  	  0.220  	  0.209
42  	  N  	  0.214  	  0.209
43  	  N  	  0.209  	  0.209
44  	  N  	  0.205  	  0.209
45  	  N  	  0.200  	  0.209
46  	  N  	  0.196  	  0.209
47  	  N  	  0.191  	  0.209
48  	  N  	  0.188  	  0.209
49  	  N  	  0.184  	  0.209
50  	  N  	  0.180  	  0.209
51  	  N  	  0.176  	  0.209
52  	  N  	  0.173  	  0.209
53  	  N  	  0.170  	  0.209
54  	  N  	  0.167  	  0.209
55  	  N  	  0.164  	  0.209
56  	  N  	  0.161  	  0.209
57  	  N  	  0.158  	  0.209
58  	  N  	  0.155  	  0.209
59  	  N  	  0.153  	  0.209
60  	  N  	  0.150  	  0.209
61  	  N  	  0.148  	  0.209
62  	  N  	  0.145  	  0.209
63  	  N  	  0.143  	  0.209
64  	  N  	  0.141  	  0.209
65  	  N  	  0.138  	  0.209
66  	  N  	  0.136  	  0.209
67  	  N  	  0.134  	  0.209
68  	  N  	  0.132  	  0.209
69  	  N  	  0.130  	  0.209
70  	  N  	  0.129  	  0.209
71  	  N  	  0.127  	  0.209
72  	  N  	  0.125  	  0.209
73  	  N  	  0.123  	  0.209
74  	  N  	  0.122  	  0.209
75  	  N  	  0.120  	  0.209
76  	  N  	  0.118  	  0.209
77  	  N  	  0.117  	  0.209
78  	  N  	  0.115  	  0.209
79  	  N  	  0.114  	  0.209
80  	  N  	  0.113  	  0.209
81  	  N  	  0.111  	  0.209
82  	  N  	  0.110  	  0.209
83  	  N  	  0.108  	  0.209
84  	  N  	  0.107  	  0.209
85  	  N  	  0.106  	  0.209
86  	  N  	  0.105  	  0.209
87  	  R  	  0.115  	  0.233
88  	  N  	  0.114  	  0.233
89  	  N  	  0.112  	  0.233
90  	  N  	  0.111  	  0.233
91  	  N  	  0.110  	  0.233
92  	  N  	  0.109  	  0.233
93  	  N  	  0.108  	  0.233
94  	  N  	  0.106  	  0.233
95  	  N  	  0.105  	  0.233
96  	  N  	  0.104  	  0.233
97  	  N  	  0.103  	  0.233
98  	  N  	  0.102  	  0.233
99  	  N  	  0.101  	  0.233
100  	  N  	  0.100  	  0.233
