Query 60: hardware and software relating to database management systems database packages back end computers special associative hardware with microcomputers attached to disk heads or things like rap relational or network codasyl or hierarchical models systems like system r ims adabas total etc

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  R  	  0.500  	  0.037
03  	  N  	  0.333  	  0.037
04  	  N  	  0.250  	  0.037
05  	  N  	  0.200  	  0.037
06  	  N  	  0.167  	  0.037
07  	  N  	  0.143  	  0.037
08  	  N  	  0.125  	  0.037
09  	  N  	  0.111  	  0.037
10  	  N  	  0.100  	  0.037
11  	  R  	  0.182  	  0.074
12  	  N  	  0.167  	  0.074
13  	  N  	  0.154  	  0.074
14  	  N  	  0.143  	  0.074
15  	  N  	  0.133  	  0.074
16  	  N  	  0.125  	  0.074
17  	  N  	  0.118  	  0.074
18  	  N  	  0.111  	  0.074
19  	  N  	  0.105  	  0.074
20  	  N  	  0.100  	  0.074
21  	  N  	  0.095  	  0.074
22  	  N  	  0.091  	  0.074
23  	  N  	  0.087  	  0.074
24  	  N  	  0.083  	  0.074
25  	  N  	  0.080  	  0.074
26  	  N  	  0.077  	  0.074
27  	  N  	  0.074  	  0.074
28  	  N  	  0.071  	  0.074
29  	  R  	  0.103  	  0.111
30  	  N  	  0.100  	  0.111
31  	  N  	  0.097  	  0.111
32  	  N  	  0.094  	  0.111
33  	  N  	  0.091  	  0.111
34  	  N  	  0.088  	  0.111
35  	  N  	  0.086  	  0.111
36  	  N  	  0.083  	  0.111
37  	  N  	  0.081  	  0.111
38  	  N  	  0.079  	  0.111
39  	  N  	  0.077  	  0.111
40  	  N  	  0.075  	  0.111
41  	  N  	  0.073  	  0.111
42  	  N  	  0.071  	  0.111
43  	  N  	  0.070  	  0.111
44  	  N  	  0.068  	  0.111
45  	  N  	  0.067  	  0.111
46  	  N  	  0.065  	  0.111
47  	  N  	  0.064  	  0.111
48  	  N  	  0.062  	  0.111
49  	  N  	  0.061  	  0.111
50  	  N  	  0.060  	  0.111
51  	  N  	  0.059  	  0.111
52  	  N  	  0.058  	  0.111
53  	  N  	  0.057  	  0.111
54  	  N  	  0.056  	  0.111
55  	  R  	  0.073  	  0.148
56  	  N  	  0.071  	  0.148
57  	  N  	  0.070  	  0.148
58  	  R  	  0.086  	  0.185
59  	  R  	  0.102  	  0.222
60  	  N  	  0.100  	  0.222
61  	  N  	  0.098  	  0.222
62  	  R  	  0.113  	  0.259
63  	  N  	  0.111  	  0.259
64  	  N  	  0.109  	  0.259
65  	  N  	  0.108  	  0.259
66  	  N  	  0.106  	  0.259
67  	  N  	  0.104  	  0.259
68  	  R  	  0.118  	  0.296
69  	  N  	  0.116  	  0.296
70  	  N  	  0.114  	  0.296
71  	  N  	  0.113  	  0.296
72  	  N  	  0.111  	  0.296
73  	  N  	  0.110  	  0.296
74  	  N  	  0.108  	  0.296
75  	  N  	  0.107  	  0.296
76  	  N  	  0.105  	  0.296
77  	  N  	  0.104  	  0.296
78  	  N  	  0.103  	  0.296
79  	  N  	  0.101  	  0.296
80  	  N  	  0.100  	  0.296
81  	  N  	  0.099  	  0.296
82  	  N  	  0.098  	  0.296
83  	  N  	  0.096  	  0.296
84  	  N  	  0.095  	  0.296
85  	  N  	  0.094  	  0.296
86  	  N  	  0.093  	  0.296
87  	  N  	  0.092  	  0.296
88  	  R  	  0.102  	  0.333
89  	  N  	  0.101  	  0.333
90  	  N  	  0.100  	  0.333
91  	  N  	  0.099  	  0.333
92  	  R  	  0.109  	  0.370
93  	  N  	  0.108  	  0.370
94  	  N  	  0.106  	  0.370
95  	  N  	  0.105  	  0.370
96  	  N  	  0.104  	  0.370
97  	  N  	  0.103  	  0.370
98  	  N  	  0.102  	  0.370
99  	  N  	  0.101  	  0.370
100  	  N  	  0.100  	  0.370
