Query 61: information retrieval articles by gerard salton or others about clustering bibliographic coupling use of citations or co citations the vector space model boolean search methods using inverted files feedback etc salton g

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.032
02  	  R  	  1.000  	  0.065
03  	  R  	  1.000  	  0.097
04  	  R  	  1.000  	  0.129
05  	  N  	  0.800  	  0.129
06  	  R  	  0.833  	  0.161
07  	  R  	  0.857  	  0.194
08  	  R  	  0.875  	  0.226
09  	  R  	  0.889  	  0.258
10  	  R  	  0.900  	  0.290
11  	  N  	  0.818  	  0.290
12  	  N  	  0.750  	  0.290
13  	  R  	  0.769  	  0.323
14  	  N  	  0.714  	  0.323
15  	  N  	  0.667  	  0.323
16  	  N  	  0.625  	  0.323
17  	  N  	  0.588  	  0.323
18  	  N  	  0.556  	  0.323
19  	  N  	  0.526  	  0.323
20  	  N  	  0.500  	  0.323
21  	  N  	  0.476  	  0.323
22  	  N  	  0.455  	  0.323
23  	  N  	  0.435  	  0.323
24  	  N  	  0.417  	  0.323
25  	  N  	  0.400  	  0.323
26  	  N  	  0.385  	  0.323
27  	  N  	  0.370  	  0.323
28  	  R  	  0.393  	  0.355
29  	  N  	  0.379  	  0.355
30  	  N  	  0.367  	  0.355
31  	  N  	  0.355  	  0.355
32  	  N  	  0.344  	  0.355
33  	  N  	  0.333  	  0.355
34  	  N  	  0.324  	  0.355
35  	  N  	  0.314  	  0.355
36  	  N  	  0.306  	  0.355
37  	  N  	  0.297  	  0.355
38  	  N  	  0.289  	  0.355
39  	  N  	  0.282  	  0.355
40  	  N  	  0.275  	  0.355
41  	  N  	  0.268  	  0.355
42  	  N  	  0.262  	  0.355
43  	  N  	  0.256  	  0.355
44  	  N  	  0.250  	  0.355
45  	  N  	  0.244  	  0.355
46  	  N  	  0.239  	  0.355
47  	  N  	  0.234  	  0.355
48  	  N  	  0.229  	  0.355
49  	  N  	  0.224  	  0.355
50  	  N  	  0.220  	  0.355
51  	  N  	  0.216  	  0.355
52  	  N  	  0.212  	  0.355
53  	  N  	  0.208  	  0.355
54  	  N  	  0.204  	  0.355
55  	  N  	  0.200  	  0.355
56  	  N  	  0.196  	  0.355
57  	  N  	  0.193  	  0.355
58  	  N  	  0.190  	  0.355
59  	  N  	  0.186  	  0.355
60  	  N  	  0.183  	  0.355
61  	  N  	  0.180  	  0.355
62  	  N  	  0.177  	  0.355
63  	  N  	  0.175  	  0.355
64  	  N  	  0.172  	  0.355
65  	  N  	  0.169  	  0.355
66  	  N  	  0.167  	  0.355
67  	  N  	  0.164  	  0.355
68  	  N  	  0.162  	  0.355
69  	  N  	  0.159  	  0.355
70  	  N  	  0.157  	  0.355
71  	  N  	  0.155  	  0.355
72  	  N  	  0.153  	  0.355
73  	  N  	  0.151  	  0.355
74  	  N  	  0.149  	  0.355
75  	  N  	  0.147  	  0.355
76  	  N  	  0.145  	  0.355
77  	  N  	  0.143  	  0.355
78  	  R  	  0.154  	  0.387
79  	  N  	  0.152  	  0.387
80  	  N  	  0.150  	  0.387
81  	  N  	  0.148  	  0.387
82  	  N  	  0.146  	  0.387
83  	  N  	  0.145  	  0.387
84  	  N  	  0.143  	  0.387
85  	  N  	  0.141  	  0.387
86  	  N  	  0.140  	  0.387
87  	  N  	  0.138  	  0.387
88  	  N  	  0.136  	  0.387
89  	  N  	  0.135  	  0.387
90  	  N  	  0.133  	  0.387
91  	  R  	  0.143  	  0.419
92  	  N  	  0.141  	  0.419
93  	  N  	  0.140  	  0.419
94  	  N  	  0.138  	  0.419
95  	  N  	  0.137  	  0.419
96  	  N  	  0.135  	  0.419
97  	  N  	  0.134  	  0.419
98  	  N  	  0.133  	  0.419
99  	  N  	  0.131  	  0.419
100  	  N  	  0.130  	  0.419
