Query 7: i am interested in distributed algorithms concurrent programs in which processes communicate and synchronize by using message passing areas of particular interest include fault tolerance and techniques for understanding the correctness of these algorithms

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.036
02  	  R  	  1.000  	  0.071
03  	  N  	  0.667  	  0.071
04  	  R  	  0.750  	  0.107
05  	  N  	  0.600  	  0.107
06  	  N  	  0.500  	  0.107
07  	  R  	  0.571  	  0.143
08  	  N  	  0.500  	  0.143
09  	  R  	  0.556  	  0.179
10  	  R  	  0.600  	  0.214
11  	  R  	  0.636  	  0.250
12  	  N  	  0.583  	  0.250
13  	  N  	  0.538  	  0.250
14  	  N  	  0.500  	  0.250
15  	  N  	  0.467  	  0.250
16  	  R  	  0.500  	  0.286
17  	  N  	  0.471  	  0.286
18  	  N  	  0.444  	  0.286
19  	  N  	  0.421  	  0.286
20  	  N  	  0.400  	  0.286
21  	  N  	  0.381  	  0.286
22  	  N  	  0.364  	  0.286
23  	  N  	  0.348  	  0.286
24  	  N  	  0.333  	  0.286
25  	  N  	  0.320  	  0.286
26  	  N  	  0.308  	  0.286
27  	  N  	  0.296  	  0.286
28  	  N  	  0.286  	  0.286
29  	  N  	  0.276  	  0.286
30  	  N  	  0.267  	  0.286
31  	  N  	  0.258  	  0.286
32  	  N  	  0.250  	  0.286
33  	  N  	  0.242  	  0.286
34  	  N  	  0.235  	  0.286
35  	  N  	  0.229  	  0.286
36  	  N  	  0.222  	  0.286
37  	  N  	  0.216  	  0.286
38  	  N  	  0.211  	  0.286
39  	  N  	  0.205  	  0.286
40  	  N  	  0.200  	  0.286
41  	  N  	  0.195  	  0.286
42  	  N  	  0.190  	  0.286
43  	  N  	  0.186  	  0.286
44  	  N  	  0.182  	  0.286
45  	  N  	  0.178  	  0.286
46  	  N  	  0.174  	  0.286
47  	  N  	  0.170  	  0.286
48  	  N  	  0.167  	  0.286
49  	  N  	  0.163  	  0.286
50  	  N  	  0.160  	  0.286
51  	  N  	  0.157  	  0.286
52  	  N  	  0.154  	  0.286
53  	  N  	  0.151  	  0.286
54  	  N  	  0.148  	  0.286
55  	  N  	  0.145  	  0.286
56  	  N  	  0.143  	  0.286
57  	  N  	  0.140  	  0.286
58  	  N  	  0.138  	  0.286
59  	  N  	  0.136  	  0.286
60  	  N  	  0.133  	  0.286
61  	  N  	  0.131  	  0.286
62  	  N  	  0.129  	  0.286
63  	  N  	  0.127  	  0.286
64  	  N  	  0.125  	  0.286
65  	  N  	  0.123  	  0.286
66  	  N  	  0.121  	  0.286
67  	  R  	  0.134  	  0.321
68  	  N  	  0.132  	  0.321
69  	  N  	  0.130  	  0.321
70  	  N  	  0.129  	  0.321
71  	  N  	  0.127  	  0.321
72  	  N  	  0.125  	  0.321
73  	  N  	  0.123  	  0.321
74  	  N  	  0.122  	  0.321
75  	  N  	  0.120  	  0.321
76  	  R  	  0.132  	  0.357
77  	  N  	  0.130  	  0.357
78  	  N  	  0.128  	  0.357
79  	  N  	  0.127  	  0.357
80  	  N  	  0.125  	  0.357
81  	  N  	  0.123  	  0.357
82  	  N  	  0.122  	  0.357
83  	  N  	  0.120  	  0.357
84  	  N  	  0.119  	  0.357
85  	  N  	  0.118  	  0.357
86  	  N  	  0.116  	  0.357
87  	  N  	  0.115  	  0.357
88  	  R  	  0.125  	  0.393
89  	  N  	  0.124  	  0.393
90  	  N  	  0.122  	  0.393
91  	  N  	  0.121  	  0.393
92  	  N  	  0.120  	  0.393
93  	  N  	  0.118  	  0.393
94  	  N  	  0.117  	  0.393
95  	  N  	  0.116  	  0.393
96  	  N  	  0.115  	  0.393
97  	  N  	  0.113  	  0.393
98  	  N  	  0.112  	  0.393
99  	  N  	  0.111  	  0.393
100  	  N  	  0.110  	  0.393
