Query 11: setl very high level languages

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  N  	  0.000  	  0.000
03  	  R  	  0.333  	  0.053
04  	  N  	  0.250  	  0.053
05  	  N  	  0.200  	  0.053
06  	  R  	  0.333  	  0.105
07  	  R  	  0.429  	  0.158
08  	  N  	  0.375  	  0.158
09  	  R  	  0.444  	  0.211
10  	  N  	  0.400  	  0.211
11  	  R  	  0.455  	  0.263
12  	  N  	  0.417  	  0.263
13  	  N  	  0.385  	  0.263
14  	  N  	  0.357  	  0.263
15  	  N  	  0.333  	  0.263
16  	  N  	  0.312  	  0.263
17  	  N  	  0.294  	  0.263
18  	  N  	  0.278  	  0.263
19  	  N  	  0.263  	  0.263
20  	  N  	  0.250  	  0.263
21  	  R  	  0.286  	  0.316
22  	  N  	  0.273  	  0.316
23  	  N  	  0.261  	  0.316
24  	  N  	  0.250  	  0.316
25  	  N  	  0.240  	  0.316
26  	  R  	  0.269  	  0.368
27  	  N  	  0.259  	  0.368
28  	  N  	  0.250  	  0.368
29  	  N  	  0.241  	  0.368
30  	  N  	  0.233  	  0.368
31  	  N  	  0.226  	  0.368
32  	  N  	  0.219  	  0.368
33  	  N  	  0.212  	  0.368
34  	  N  	  0.206  	  0.368
35  	  R  	  0.229  	  0.421
36  	  N  	  0.222  	  0.421
37  	  N  	  0.216  	  0.421
38  	  N  	  0.211  	  0.421
39  	  N  	  0.205  	  0.421
40  	  N  	  0.200  	  0.421
41  	  N  	  0.195  	  0.421
42  	  N  	  0.190  	  0.421
43  	  N  	  0.186  	  0.421
44  	  N  	  0.182  	  0.421
45  	  N  	  0.178  	  0.421
46  	  N  	  0.174  	  0.421
47  	  R  	  0.191  	  0.474
48  	  N  	  0.188  	  0.474
49  	  N  	  0.184  	  0.474
50  	  N  	  0.180  	  0.474
51  	  N  	  0.176  	  0.474
52  	  N  	  0.173  	  0.474
53  	  R  	  0.189  	  0.526
54  	  R  	  0.204  	  0.579
55  	  N  	  0.200  	  0.579
56  	  N  	  0.196  	  0.579
57  	  N  	  0.193  	  0.579
58  	  N  	  0.190  	  0.579
59  	  N  	  0.186  	  0.579
60  	  R  	  0.200  	  0.632
61  	  N  	  0.197  	  0.632
62  	  N  	  0.194  	  0.632
63  	  N  	  0.190  	  0.632
64  	  N  	  0.188  	  0.632
65  	  N  	  0.185  	  0.632
66  	  N  	  0.182  	  0.632
67  	  N  	  0.179  	  0.632
68  	  N  	  0.176  	  0.632
69  	  N  	  0.174  	  0.632
70  	  N  	  0.171  	  0.632
71  	  N  	  0.169  	  0.632
72  	  N  	  0.167  	  0.632
73  	  N  	  0.164  	  0.632
74  	  N  	  0.162  	  0.632
75  	  N  	  0.160  	  0.632
76  	  N  	  0.158  	  0.632
77  	  N  	  0.156  	  0.632
78  	  R  	  0.167  	  0.684
79  	  N  	  0.165  	  0.684
80  	  N  	  0.163  	  0.684
81  	  N  	  0.160  	  0.684
82  	  N  	  0.159  	  0.684
83  	  N  	  0.157  	  0.684
84  	  N  	  0.155  	  0.684
85  	  N  	  0.153  	  0.684
86  	  R  	  0.163  	  0.737
87  	  N  	  0.161  	  0.737
88  	  N  	  0.159  	  0.737
89  	  N  	  0.157  	  0.737
90  	  N  	  0.156  	  0.737
91  	  N  	  0.154  	  0.737
92  	  N  	  0.152  	  0.737
93  	  N  	  0.151  	  0.737
94  	  N  	  0.149  	  0.737
95  	  N  	  0.147  	  0.737
96  	  N  	  0.146  	  0.737
97  	  N  	  0.144  	  0.737
98  	  N  	  0.143  	  0.737
99  	  N  	  0.141  	  0.737
100  	  N  	  0.140  	  0.737
