Query 13: code optimization for space efficiency

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  R  	  0.500  	  0.091
03  	  N  	  0.333  	  0.091
04  	  N  	  0.250  	  0.091
05  	  R  	  0.400  	  0.182
06  	  N  	  0.333  	  0.182
07  	  N  	  0.286  	  0.182
08  	  N  	  0.250  	  0.182
09  	  N  	  0.222  	  0.182
10  	  R  	  0.300  	  0.273
11  	  N  	  0.273  	  0.273
12  	  N  	  0.250  	  0.273
13  	  N  	  0.231  	  0.273
14  	  N  	  0.214  	  0.273
15  	  N  	  0.200  	  0.273
16  	  N  	  0.188  	  0.273
17  	  N  	  0.176  	  0.273
18  	  N  	  0.167  	  0.273
19  	  R  	  0.211  	  0.364
20  	  N  	  0.200  	  0.364
21  	  N  	  0.190  	  0.364
22  	  N  	  0.182  	  0.364
23  	  N  	  0.174  	  0.364
24  	  N  	  0.167  	  0.364
25  	  N  	  0.160  	  0.364
26  	  N  	  0.154  	  0.364
27  	  R  	  0.185  	  0.455
28  	  N  	  0.179  	  0.455
29  	  N  	  0.172  	  0.455
30  	  N  	  0.167  	  0.455
31  	  N  	  0.161  	  0.455
32  	  N  	  0.156  	  0.455
33  	  N  	  0.152  	  0.455
34  	  N  	  0.147  	  0.455
35  	  N  	  0.143  	  0.455
36  	  N  	  0.139  	  0.455
37  	  N  	  0.135  	  0.455
38  	  N  	  0.132  	  0.455
39  	  N  	  0.128  	  0.455
40  	  N  	  0.125  	  0.455
41  	  N  	  0.122  	  0.455
42  	  N  	  0.119  	  0.455
43  	  N  	  0.116  	  0.455
44  	  N  	  0.114  	  0.455
45  	  N  	  0.111  	  0.455
46  	  N  	  0.109  	  0.455
47  	  N  	  0.106  	  0.455
48  	  N  	  0.104  	  0.455
49  	  N  	  0.102  	  0.455
50  	  N  	  0.100  	  0.455
51  	  N  	  0.098  	  0.455
52  	  N  	  0.096  	  0.455
53  	  N  	  0.094  	  0.455
54  	  N  	  0.093  	  0.455
55  	  N  	  0.091  	  0.455
56  	  N  	  0.089  	  0.455
57  	  N  	  0.088  	  0.455
58  	  N  	  0.086  	  0.455
59  	  N  	  0.085  	  0.455
60  	  N  	  0.083  	  0.455
61  	  N  	  0.082  	  0.455
62  	  N  	  0.081  	  0.455
63  	  N  	  0.079  	  0.455
64  	  N  	  0.078  	  0.455
65  	  N  	  0.077  	  0.455
66  	  N  	  0.076  	  0.455
67  	  N  	  0.075  	  0.455
68  	  N  	  0.074  	  0.455
69  	  N  	  0.072  	  0.455
70  	  N  	  0.071  	  0.455
71  	  N  	  0.070  	  0.455
72  	  N  	  0.069  	  0.455
73  	  N  	  0.068  	  0.455
74  	  N  	  0.068  	  0.455
75  	  N  	  0.067  	  0.455
76  	  N  	  0.066  	  0.455
77  	  N  	  0.065  	  0.455
78  	  N  	  0.064  	  0.455
79  	  N  	  0.063  	  0.455
80  	  N  	  0.062  	  0.455
81  	  N  	  0.062  	  0.455
82  	  N  	  0.061  	  0.455
83  	  N  	  0.060  	  0.455
84  	  N  	  0.060  	  0.455
85  	  N  	  0.059  	  0.455
86  	  N  	  0.058  	  0.455
87  	  N  	  0.057  	  0.455
88  	  N  	  0.057  	  0.455
89  	  N  	  0.056  	  0.455
90  	  N  	  0.056  	  0.455
91  	  N  	  0.055  	  0.455
92  	  N  	  0.054  	  0.455
93  	  N  	  0.054  	  0.455
94  	  N  	  0.053  	  0.455
95  	  N  	  0.053  	  0.455
96  	  N  	  0.052  	  0.455
97  	  N  	  0.052  	  0.455
98  	  R  	  0.061  	  0.545
99  	  N  	  0.061  	  0.545
100  	  N  	  0.060  	  0.545
