Query 17: optimization of intermediate and machine code

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  N  	  0.000  	  0.000
03  	  N  	  0.000  	  0.000
04  	  N  	  0.000  	  0.000
05  	  N  	  0.000  	  0.000
06  	  N  	  0.000  	  0.000
07  	  N  	  0.000  	  0.000
08  	  N  	  0.000  	  0.000
09  	  N  	  0.000  	  0.000
10  	  N  	  0.000  	  0.000
11  	  N  	  0.000  	  0.000
12  	  N  	  0.000  	  0.000
13  	  N  	  0.000  	  0.000
14  	  N  	  0.000  	  0.000
15  	  N  	  0.000  	  0.000
16  	  N  	  0.000  	  0.000
17  	  N  	  0.000  	  0.000
18  	  N  	  0.000  	  0.000
19  	  N  	  0.000  	  0.000
20  	  N  	  0.000  	  0.000
21  	  N  	  0.000  	  0.000
22  	  N  	  0.000  	  0.000
23  	  N  	  0.000  	  0.000
24  	  N  	  0.000  	  0.000
25  	  N  	  0.000  	  0.000
26  	  N  	  0.000  	  0.000
27  	  N  	  0.000  	  0.000
28  	  N  	  0.000  	  0.000
29  	  N  	  0.000  	  0.000
30  	  N  	  0.000  	  0.000
31  	  N  	  0.000  	  0.000
32  	  N  	  0.000  	  0.000
33  	  N  	  0.000  	  0.000
34  	  N  	  0.000  	  0.000
35  	  N  	  0.000  	  0.000
36  	  N  	  0.000  	  0.000
37  	  R  	  0.027  	  0.062
38  	  N  	  0.026  	  0.062
39  	  N  	  0.026  	  0.062
40  	  N  	  0.025  	  0.062
41  	  N  	  0.024  	  0.062
42  	  N  	  0.024  	  0.062
43  	  N  	  0.023  	  0.062
44  	  N  	  0.023  	  0.062
45  	  N  	  0.022  	  0.062
46  	  N  	  0.022  	  0.062
47  	  N  	  0.021  	  0.062
48  	  N  	  0.021  	  0.062
49  	  N  	  0.020  	  0.062
50  	  N  	  0.020  	  0.062
51  	  R  	  0.039  	  0.125
52  	  N  	  0.038  	  0.125
53  	  N  	  0.038  	  0.125
54  	  N  	  0.037  	  0.125
55  	  N  	  0.036  	  0.125
56  	  N  	  0.036  	  0.125
57  	  N  	  0.035  	  0.125
58  	  N  	  0.034  	  0.125
59  	  N  	  0.034  	  0.125
60  	  N  	  0.033  	  0.125
61  	  N  	  0.033  	  0.125
62  	  N  	  0.032  	  0.125
63  	  N  	  0.032  	  0.125
64  	  N  	  0.031  	  0.125
65  	  N  	  0.031  	  0.125
66  	  N  	  0.030  	  0.125
67  	  N  	  0.030  	  0.125
68  	  N  	  0.029  	  0.125
69  	  N  	  0.029  	  0.125
70  	  N  	  0.029  	  0.125
71  	  N  	  0.028  	  0.125
72  	  N  	  0.028  	  0.125
73  	  N  	  0.027  	  0.125
74  	  N  	  0.027  	  0.125
75  	  N  	  0.027  	  0.125
76  	  N  	  0.026  	  0.125
77  	  N  	  0.026  	  0.125
78  	  N  	  0.026  	  0.125
79  	  N  	  0.025  	  0.125
80  	  N  	  0.025  	  0.125
81  	  N  	  0.025  	  0.125
82  	  N  	  0.024  	  0.125
83  	  N  	  0.024  	  0.125
84  	  N  	  0.024  	  0.125
85  	  N  	  0.024  	  0.125
86  	  N  	  0.023  	  0.125
87  	  N  	  0.023  	  0.125
88  	  N  	  0.023  	  0.125
89  	  N  	  0.022  	  0.125
90  	  N  	  0.022  	  0.125
91  	  N  	  0.022  	  0.125
92  	  N  	  0.022  	  0.125
93  	  N  	  0.022  	  0.125
94  	  N  	  0.021  	  0.125
95  	  N  	  0.021  	  0.125
96  	  N  	  0.021  	  0.125
97  	  N  	  0.021  	  0.125
98  	  N  	  0.020  	  0.125
99  	  N  	  0.020  	  0.125
100  	  N  	  0.020  	  0.125
