Query 21: computational complexity intractability class complete reductions algorithms and efficiency

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  N  	  0.000  	  0.000
03  	  N  	  0.000  	  0.000
04  	  R  	  0.250  	  0.091
05  	  N  	  0.200  	  0.091
06  	  N  	  0.167  	  0.091
07  	  N  	  0.143  	  0.091
08  	  N  	  0.125  	  0.091
09  	  N  	  0.111  	  0.091
10  	  N  	  0.100  	  0.091
11  	  N  	  0.091  	  0.091
12  	  N  	  0.083  	  0.091
13  	  N  	  0.077  	  0.091
14  	  N  	  0.071  	  0.091
15  	  N  	  0.067  	  0.091
16  	  N  	  0.062  	  0.091
17  	  N  	  0.059  	  0.091
18  	  N  	  0.056  	  0.091
19  	  N  	  0.053  	  0.091
20  	  N  	  0.050  	  0.091
21  	  N  	  0.048  	  0.091
22  	  N  	  0.045  	  0.091
23  	  N  	  0.043  	  0.091
24  	  N  	  0.042  	  0.091
25  	  N  	  0.040  	  0.091
26  	  N  	  0.038  	  0.091
27  	  N  	  0.037  	  0.091
28  	  N  	  0.036  	  0.091
29  	  N  	  0.034  	  0.091
30  	  N  	  0.033  	  0.091
31  	  R  	  0.065  	  0.182
32  	  N  	  0.062  	  0.182
33  	  N  	  0.061  	  0.182
34  	  N  	  0.059  	  0.182
35  	  N  	  0.057  	  0.182
36  	  N  	  0.056  	  0.182
37  	  N  	  0.054  	  0.182
38  	  N  	  0.053  	  0.182
39  	  N  	  0.051  	  0.182
40  	  N  	  0.050  	  0.182
41  	  N  	  0.049  	  0.182
42  	  N  	  0.048  	  0.182
43  	  N  	  0.047  	  0.182
44  	  N  	  0.045  	  0.182
45  	  N  	  0.044  	  0.182
46  	  N  	  0.043  	  0.182
47  	  N  	  0.043  	  0.182
48  	  N  	  0.042  	  0.182
49  	  N  	  0.041  	  0.182
50  	  N  	  0.040  	  0.182
51  	  N  	  0.039  	  0.182
52  	  N  	  0.038  	  0.182
53  	  N  	  0.038  	  0.182
54  	  N  	  0.037  	  0.182
55  	  N  	  0.036  	  0.182
56  	  N  	  0.036  	  0.182
57  	  R  	  0.053  	  0.273
58  	  N  	  0.052  	  0.273
59  	  N  	  0.051  	  0.273
60  	  N  	  0.050  	  0.273
61  	  N  	  0.049  	  0.273
62  	  N  	  0.048  	  0.273
63  	  N  	  0.048  	  0.273
64  	  N  	  0.047  	  0.273
65  	  N  	  0.046  	  0.273
66  	  N  	  0.045  	  0.273
67  	  N  	  0.045  	  0.273
68  	  N  	  0.044  	  0.273
69  	  N  	  0.043  	  0.273
70  	  N  	  0.043  	  0.273
71  	  N  	  0.042  	  0.273
72  	  N  	  0.042  	  0.273
73  	  N  	  0.041  	  0.273
74  	  R  	  0.054  	  0.364
75  	  N  	  0.053  	  0.364
76  	  N  	  0.053  	  0.364
77  	  N  	  0.052  	  0.364
78  	  N  	  0.051  	  0.364
79  	  N  	  0.051  	  0.364
80  	  N  	  0.050  	  0.364
81  	  N  	  0.049  	  0.364
82  	  N  	  0.049  	  0.364
83  	  N  	  0.048  	  0.364
84  	  N  	  0.048  	  0.364
85  	  N  	  0.047  	  0.364
86  	  N  	  0.047  	  0.364
87  	  N  	  0.046  	  0.364
88  	  N  	  0.045  	  0.364
89  	  N  	  0.045  	  0.364
90  	  N  	  0.044  	  0.364
91  	  N  	  0.044  	  0.364
92  	  N  	  0.043  	  0.364
93  	  N  	  0.043  	  0.364
94  	  N  	  0.043  	  0.364
95  	  N  	  0.042  	  0.364
96  	  N  	  0.042  	  0.364
97  	  N  	  0.041  	  0.364
98  	  N  	  0.041  	  0.364
99  	  N  	  0.040  	  0.364
100  	  N  	  0.040  	  0.364
