Query 22: i am interested in hidden line and hidden surface algorithms for cylinders toroids spheres and cones this is a rather specialized topic in computer graphics

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.059
02  	  R  	  1.000  	  0.118
03  	  R  	  1.000  	  0.176
04  	  R  	  1.000  	  0.235
05  	  R  	  1.000  	  0.294
06  	  R  	  1.000  	  0.353
07  	  N  	  0.857  	  0.353
08  	  R  	  0.875  	  0.412
09  	  R  	  0.889  	  0.471
10  	  N  	  0.800  	  0.471
11  	  N  	  0.727  	  0.471
12  	  N  	  0.667  	  0.471
13  	  R  	  0.692  	  0.529
14  	  R  	  0.714  	  0.588
15  	  N  	  0.667  	  0.588
16  	  N  	  0.625  	  0.588
17  	  N  	  0.588  	  0.588
18  	  N  	  0.556  	  0.588
19  	  N  	  0.526  	  0.588
20  	  N  	  0.500  	  0.588
21  	  N  	  0.476  	  0.588
22  	  N  	  0.455  	  0.588
23  	  N  	  0.435  	  0.588
24  	  N  	  0.417  	  0.588
25  	  R  	  0.440  	  0.647
26  	  N  	  0.423  	  0.647
27  	  N  	  0.407  	  0.647
28  	  N  	  0.393  	  0.647
29  	  N  	  0.379  	  0.647
30  	  N  	  0.367  	  0.647
31  	  N  	  0.355  	  0.647
32  	  N  	  0.344  	  0.647
33  	  N  	  0.333  	  0.647
34  	  N  	  0.324  	  0.647
35  	  N  	  0.314  	  0.647
36  	  N  	  0.306  	  0.647
37  	  N  	  0.297  	  0.647
38  	  N  	  0.289  	  0.647
39  	  N  	  0.282  	  0.647
40  	  N  	  0.275  	  0.647
41  	  N  	  0.268  	  0.647
42  	  N  	  0.262  	  0.647
43  	  N  	  0.256  	  0.647
44  	  N  	  0.250  	  0.647
45  	  R  	  0.267  	  0.706
46  	  N  	  0.261  	  0.706
47  	  N  	  0.255  	  0.706
48  	  N  	  0.250  	  0.706
49  	  N  	  0.245  	  0.706
50  	  N  	  0.240  	  0.706
51  	  N  	  0.235  	  0.706
52  	  N  	  0.231  	  0.706
53  	  N  	  0.226  	  0.706
54  	  N  	  0.222  	  0.706
55  	  N  	  0.218  	  0.706
56  	  N  	  0.214  	  0.706
57  	  N  	  0.211  	  0.706
58  	  N  	  0.207  	  0.706
59  	  N  	  0.203  	  0.706
60  	  N  	  0.200  	  0.706
61  	  N  	  0.197  	  0.706
62  	  N  	  0.194  	  0.706
63  	  N  	  0.190  	  0.706
64  	  N  	  0.188  	  0.706
65  	  N  	  0.185  	  0.706
66  	  N  	  0.182  	  0.706
67  	  N  	  0.179  	  0.706
68  	  N  	  0.176  	  0.706
69  	  N  	  0.174  	  0.706
70  	  N  	  0.171  	  0.706
71  	  N  	  0.169  	  0.706
72  	  N  	  0.167  	  0.706
73  	  N  	  0.164  	  0.706
74  	  N  	  0.162  	  0.706
75  	  N  	  0.160  	  0.706
76  	  N  	  0.158  	  0.706
77  	  N  	  0.156  	  0.706
78  	  N  	  0.154  	  0.706
79  	  N  	  0.152  	  0.706
80  	  N  	  0.150  	  0.706
81  	  N  	  0.148  	  0.706
82  	  N  	  0.146  	  0.706
83  	  N  	  0.145  	  0.706
84  	  N  	  0.143  	  0.706
85  	  N  	  0.141  	  0.706
86  	  N  	  0.140  	  0.706
87  	  N  	  0.138  	  0.706
88  	  N  	  0.136  	  0.706
89  	  N  	  0.135  	  0.706
90  	  N  	  0.133  	  0.706
91  	  N  	  0.132  	  0.706
92  	  N  	  0.130  	  0.706
93  	  N  	  0.129  	  0.706
94  	  N  	  0.128  	  0.706
95  	  N  	  0.126  	  0.706
96  	  N  	  0.125  	  0.706
97  	  N  	  0.124  	  0.706
98  	  N  	  0.122  	  0.706
99  	  N  	  0.121  	  0.706
100  	  N  	  0.120  	  0.706
