Query 36: fast algorithm for context free language recognition or parsing

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  R  	  0.500  	  0.050
03  	  N  	  0.333  	  0.050
04  	  N  	  0.250  	  0.050
05  	  N  	  0.200  	  0.050
06  	  N  	  0.167  	  0.050
07  	  N  	  0.143  	  0.050
08  	  N  	  0.125  	  0.050
09  	  R  	  0.222  	  0.100
10  	  N  	  0.200  	  0.100
11  	  N  	  0.182  	  0.100
12  	  N  	  0.167  	  0.100
13  	  N  	  0.154  	  0.100
14  	  N  	  0.143  	  0.100
15  	  N  	  0.133  	  0.100
16  	  N  	  0.125  	  0.100
17  	  N  	  0.118  	  0.100
18  	  N  	  0.111  	  0.100
19  	  N  	  0.105  	  0.100
20  	  N  	  0.100  	  0.100
21  	  N  	  0.095  	  0.100
22  	  N  	  0.091  	  0.100
23  	  N  	  0.087  	  0.100
24  	  N  	  0.083  	  0.100
25  	  N  	  0.080  	  0.100
26  	  N  	  0.077  	  0.100
27  	  N  	  0.074  	  0.100
28  	  N  	  0.071  	  0.100
29  	  N  	  0.069  	  0.100
30  	  N  	  0.067  	  0.100
31  	  N  	  0.065  	  0.100
32  	  N  	  0.062  	  0.100
33  	  R  	  0.091  	  0.150
34  	  N  	  0.088  	  0.150
35  	  N  	  0.086  	  0.150
36  	  N  	  0.083  	  0.150
37  	  N  	  0.081  	  0.150
38  	  N  	  0.079  	  0.150
39  	  N  	  0.077  	  0.150
40  	  N  	  0.075  	  0.150
41  	  N  	  0.073  	  0.150
42  	  N  	  0.071  	  0.150
43  	  N  	  0.070  	  0.150
44  	  N  	  0.068  	  0.150
45  	  N  	  0.067  	  0.150
46  	  N  	  0.065  	  0.150
47  	  N  	  0.064  	  0.150
48  	  N  	  0.062  	  0.150
49  	  N  	  0.061  	  0.150
50  	  N  	  0.060  	  0.150
51  	  N  	  0.059  	  0.150
52  	  N  	  0.058  	  0.150
53  	  N  	  0.057  	  0.150
54  	  N  	  0.056  	  0.150
55  	  N  	  0.055  	  0.150
56  	  N  	  0.054  	  0.150
57  	  N  	  0.053  	  0.150
58  	  N  	  0.052  	  0.150
59  	  N  	  0.051  	  0.150
60  	  N  	  0.050  	  0.150
61  	  N  	  0.049  	  0.150
62  	  N  	  0.048  	  0.150
63  	  N  	  0.048  	  0.150
64  	  N  	  0.047  	  0.150
65  	  N  	  0.046  	  0.150
66  	  N  	  0.045  	  0.150
67  	  N  	  0.045  	  0.150
68  	  N  	  0.044  	  0.150
69  	  N  	  0.043  	  0.150
70  	  N  	  0.043  	  0.150
71  	  N  	  0.042  	  0.150
72  	  N  	  0.042  	  0.150
73  	  N  	  0.041  	  0.150
74  	  N  	  0.041  	  0.150
75  	  N  	  0.040  	  0.150
76  	  N  	  0.039  	  0.150
77  	  N  	  0.039  	  0.150
78  	  N  	  0.038  	  0.150
79  	  R  	  0.051  	  0.200
80  	  N  	  0.050  	  0.200
81  	  N  	  0.049  	  0.200
82  	  N  	  0.049  	  0.200
83  	  N  	  0.048  	  0.200
84  	  N  	  0.048  	  0.200
85  	  N  	  0.047  	  0.200
86  	  N  	  0.047  	  0.200
87  	  N  	  0.046  	  0.200
88  	  N  	  0.045  	  0.200
89  	  R  	  0.056  	  0.250
90  	  N  	  0.056  	  0.250
91  	  N  	  0.055  	  0.250
92  	  N  	  0.054  	  0.250
93  	  N  	  0.054  	  0.250
94  	  N  	  0.053  	  0.250
95  	  N  	  0.053  	  0.250
96  	  N  	  0.052  	  0.250
97  	  N  	  0.052  	  0.250
98  	  N  	  0.051  	  0.250
99  	  N  	  0.051  	  0.250
100  	  N  	  0.050  	  0.250
