Query 38: what is the type of a module i don t want the entire literature on abstract data types here but i m not sure how to phrase this to avoid it i m interested in questions about how one can check that a module matches contexts in which it is used

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.062
02  	  N  	  0.500  	  0.062
03  	  N  	  0.333  	  0.062
04  	  N  	  0.250  	  0.062
05  	  N  	  0.200  	  0.062
06  	  N  	  0.167  	  0.062
07  	  R  	  0.286  	  0.125
08  	  N  	  0.250  	  0.125
09  	  N  	  0.222  	  0.125
10  	  R  	  0.300  	  0.188
11  	  N  	  0.273  	  0.188
12  	  N  	  0.250  	  0.188
13  	  N  	  0.231  	  0.188
14  	  N  	  0.214  	  0.188
15  	  N  	  0.200  	  0.188
16  	  N  	  0.188  	  0.188
17  	  N  	  0.176  	  0.188
18  	  N  	  0.167  	  0.188
19  	  N  	  0.158  	  0.188
20  	  N  	  0.150  	  0.188
21  	  N  	  0.143  	  0.188
22  	  N  	  0.136  	  0.188
23  	  N  	  0.130  	  0.188
24  	  N  	  0.125  	  0.188
25  	  N  	  0.120  	  0.188
26  	  N  	  0.115  	  0.188
27  	  N  	  0.111  	  0.188
28  	  N  	  0.107  	  0.188
29  	  N  	  0.103  	  0.188
30  	  N  	  0.100  	  0.188
31  	  N  	  0.097  	  0.188
32  	  N  	  0.094  	  0.188
33  	  N  	  0.091  	  0.188
34  	  N  	  0.088  	  0.188
35  	  N  	  0.086  	  0.188
36  	  N  	  0.083  	  0.188
37  	  N  	  0.081  	  0.188
38  	  N  	  0.079  	  0.188
39  	  N  	  0.077  	  0.188
40  	  N  	  0.075  	  0.188
41  	  N  	  0.073  	  0.188
42  	  N  	  0.071  	  0.188
43  	  N  	  0.070  	  0.188
44  	  N  	  0.068  	  0.188
45  	  N  	  0.067  	  0.188
46  	  N  	  0.065  	  0.188
47  	  N  	  0.064  	  0.188
48  	  N  	  0.062  	  0.188
49  	  N  	  0.061  	  0.188
50  	  N  	  0.060  	  0.188
51  	  N  	  0.059  	  0.188
52  	  R  	  0.077  	  0.250
53  	  N  	  0.075  	  0.250
54  	  N  	  0.074  	  0.250
55  	  N  	  0.073  	  0.250
56  	  N  	  0.071  	  0.250
57  	  N  	  0.070  	  0.250
58  	  N  	  0.069  	  0.250
59  	  N  	  0.068  	  0.250
60  	  N  	  0.067  	  0.250
61  	  N  	  0.066  	  0.250
62  	  N  	  0.065  	  0.250
63  	  N  	  0.063  	  0.250
64  	  N  	  0.062  	  0.250
65  	  N  	  0.062  	  0.250
66  	  N  	  0.061  	  0.250
67  	  N  	  0.060  	  0.250
68  	  N  	  0.059  	  0.250
69  	  N  	  0.058  	  0.250
70  	  N  	  0.057  	  0.250
71  	  N  	  0.056  	  0.250
72  	  N  	  0.056  	  0.250
73  	  N  	  0.055  	  0.250
74  	  N  	  0.054  	  0.250
75  	  N  	  0.053  	  0.250
76  	  N  	  0.053  	  0.250
77  	  N  	  0.052  	  0.250
78  	  N  	  0.051  	  0.250
79  	  N  	  0.051  	  0.250
80  	  N  	  0.050  	  0.250
81  	  N  	  0.049  	  0.250
82  	  N  	  0.049  	  0.250
83  	  N  	  0.048  	  0.250
84  	  N  	  0.048  	  0.250
85  	  N  	  0.047  	  0.250
86  	  N  	  0.047  	  0.250
87  	  N  	  0.046  	  0.250
88  	  N  	  0.045  	  0.250
89  	  N  	  0.045  	  0.250
90  	  N  	  0.044  	  0.250
91  	  N  	  0.044  	  0.250
92  	  N  	  0.043  	  0.250
93  	  N  	  0.043  	  0.250
94  	  N  	  0.043  	  0.250
95  	  N  	  0.042  	  0.250
96  	  N  	  0.042  	  0.250
97  	  N  	  0.041  	  0.250
98  	  N  	  0.041  	  0.250
99  	  N  	  0.040  	  0.250
100  	  N  	  0.040  	  0.250
