Query 43: analysis and perception of shape by humans and computers shape descriptions shape recognition by computer two dimensional shapes measures of circularity shape matching

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  N  	  0.000  	  0.000
03  	  N  	  0.000  	  0.000
04  	  N  	  0.000  	  0.000
05  	  N  	  0.000  	  0.000
06  	  N  	  0.000  	  0.000
07  	  N  	  0.000  	  0.000
08  	  N  	  0.000  	  0.000
09  	  N  	  0.000  	  0.000
10  	  N  	  0.000  	  0.000
11  	  N  	  0.000  	  0.000
12  	  N  	  0.000  	  0.000
13  	  N  	  0.000  	  0.000
14  	  N  	  0.000  	  0.000
15  	  N  	  0.000  	  0.000
16  	  N  	  0.000  	  0.000
17  	  N  	  0.000  	  0.000
18  	  N  	  0.000  	  0.000
19  	  N  	  0.000  	  0.000
20  	  N  	  0.000  	  0.000
21  	  N  	  0.000  	  0.000
22  	  N  	  0.000  	  0.000
23  	  N  	  0.000  	  0.000
24  	  N  	  0.000  	  0.000
25  	  R  	  0.040  	  0.024
26  	  N  	  0.038  	  0.024
27  	  N  	  0.037  	  0.024
28  	  N  	  0.036  	  0.024
29  	  N  	  0.034  	  0.024
30  	  N  	  0.033  	  0.024
31  	  N  	  0.032  	  0.024
32  	  N  	  0.031  	  0.024
33  	  N  	  0.030  	  0.024
34  	  N  	  0.029  	  0.024
35  	  N  	  0.029  	  0.024
36  	  N  	  0.028  	  0.024
37  	  N  	  0.027  	  0.024
38  	  N  	  0.026  	  0.024
39  	  N  	  0.026  	  0.024
40  	  N  	  0.025  	  0.024
41  	  N  	  0.024  	  0.024
42  	  N  	  0.024  	  0.024
43  	  N  	  0.023  	  0.024
44  	  N  	  0.023  	  0.024
45  	  N  	  0.022  	  0.024
46  	  N  	  0.022  	  0.024
47  	  R  	  0.043  	  0.049
48  	  N  	  0.042  	  0.049
49  	  N  	  0.041  	  0.049
50  	  N  	  0.040  	  0.049
51  	  N  	  0.039  	  0.049
52  	  N  	  0.038  	  0.049
53  	  N  	  0.038  	  0.049
54  	  N  	  0.037  	  0.049
55  	  N  	  0.036  	  0.049
56  	  N  	  0.036  	  0.049
57  	  N  	  0.035  	  0.049
58  	  N  	  0.034  	  0.049
59  	  N  	  0.034  	  0.049
60  	  N  	  0.033  	  0.049
61  	  N  	  0.033  	  0.049
62  	  N  	  0.032  	  0.049
63  	  N  	  0.032  	  0.049
64  	  N  	  0.031  	  0.049
65  	  N  	  0.031  	  0.049
66  	  N  	  0.030  	  0.049
67  	  N  	  0.030  	  0.049
68  	  N  	  0.029  	  0.049
69  	  R  	  0.043  	  0.073
70  	  N  	  0.043  	  0.073
71  	  N  	  0.042  	  0.073
72  	  N  	  0.042  	  0.073
73  	  N  	  0.041  	  0.073
74  	  N  	  0.041  	  0.073
75  	  N  	  0.040  	  0.073
76  	  N  	  0.039  	  0.073
77  	  N  	  0.039  	  0.073
78  	  N  	  0.038  	  0.073
79  	  N  	  0.038  	  0.073
80  	  N  	  0.037  	  0.073
81  	  N  	  0.037  	  0.073
82  	  N  	  0.037  	  0.073
83  	  N  	  0.036  	  0.073
84  	  N  	  0.036  	  0.073
85  	  N  	  0.035  	  0.073
86  	  N  	  0.035  	  0.073
87  	  N  	  0.034  	  0.073
88  	  N  	  0.034  	  0.073
89  	  N  	  0.034  	  0.073
90  	  N  	  0.033  	  0.073
91  	  N  	  0.033  	  0.073
92  	  N  	  0.033  	  0.073
93  	  N  	  0.032  	  0.073
94  	  N  	  0.032  	  0.073
95  	  R  	  0.042  	  0.098
96  	  N  	  0.042  	  0.098
97  	  N  	  0.041  	  0.098
98  	  N  	  0.041  	  0.098
99  	  N  	  0.040  	  0.098
100  	  N  	  0.040  	  0.098
