Query 61: information retrieval articles by gerard salton or others about clustering bibliographic coupling use of citations or co citations the vector space model boolean search methods using inverted files feedback etc salton g

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  N  	  0.000  	  0.000
03  	  N  	  0.000  	  0.000
04  	  N  	  0.000  	  0.000
05  	  R  	  0.200  	  0.032
06  	  R  	  0.333  	  0.065
07  	  N  	  0.286  	  0.065
08  	  R  	  0.375  	  0.097
09  	  N  	  0.333  	  0.097
10  	  N  	  0.300  	  0.097
11  	  N  	  0.273  	  0.097
12  	  R  	  0.333  	  0.129
13  	  N  	  0.308  	  0.129
14  	  R  	  0.357  	  0.161
15  	  N  	  0.333  	  0.161
16  	  R  	  0.375  	  0.194
17  	  N  	  0.353  	  0.194
18  	  N  	  0.333  	  0.194
19  	  R  	  0.368  	  0.226
20  	  N  	  0.350  	  0.226
21  	  N  	  0.333  	  0.226
22  	  R  	  0.364  	  0.258
23  	  N  	  0.348  	  0.258
24  	  N  	  0.333  	  0.258
25  	  R  	  0.360  	  0.290
26  	  R  	  0.385  	  0.323
27  	  R  	  0.407  	  0.355
28  	  N  	  0.393  	  0.355
29  	  R  	  0.414  	  0.387
30  	  N  	  0.400  	  0.387
31  	  N  	  0.387  	  0.387
32  	  N  	  0.375  	  0.387
33  	  N  	  0.364  	  0.387
34  	  R  	  0.382  	  0.419
35  	  N  	  0.371  	  0.419
36  	  N  	  0.361  	  0.419
37  	  N  	  0.351  	  0.419
38  	  N  	  0.342  	  0.419
39  	  N  	  0.333  	  0.419
40  	  N  	  0.325  	  0.419
41  	  R  	  0.341  	  0.452
42  	  N  	  0.333  	  0.452
43  	  R  	  0.349  	  0.484
44  	  N  	  0.341  	  0.484
45  	  R  	  0.356  	  0.516
46  	  N  	  0.348  	  0.516
47  	  N  	  0.340  	  0.516
48  	  N  	  0.333  	  0.516
49  	  N  	  0.327  	  0.516
50  	  N  	  0.320  	  0.516
51  	  N  	  0.314  	  0.516
52  	  N  	  0.308  	  0.516
53  	  N  	  0.302  	  0.516
54  	  N  	  0.296  	  0.516
55  	  N  	  0.291  	  0.516
56  	  N  	  0.286  	  0.516
57  	  N  	  0.281  	  0.516
58  	  N  	  0.276  	  0.516
59  	  N  	  0.271  	  0.516
60  	  N  	  0.267  	  0.516
61  	  N  	  0.262  	  0.516
62  	  R  	  0.274  	  0.548
63  	  N  	  0.270  	  0.548
64  	  R  	  0.281  	  0.581
65  	  N  	  0.277  	  0.581
66  	  N  	  0.273  	  0.581
67  	  N  	  0.269  	  0.581
68  	  N  	  0.265  	  0.581
69  	  N  	  0.261  	  0.581
70  	  N  	  0.257  	  0.581
71  	  N  	  0.254  	  0.581
72  	  N  	  0.250  	  0.581
73  	  N  	  0.247  	  0.581
74  	  N  	  0.243  	  0.581
75  	  N  	  0.240  	  0.581
76  	  N  	  0.237  	  0.581
77  	  N  	  0.234  	  0.581
78  	  N  	  0.231  	  0.581
79  	  N  	  0.228  	  0.581
80  	  N  	  0.225  	  0.581
81  	  R  	  0.235  	  0.613
82  	  N  	  0.232  	  0.613
83  	  N  	  0.229  	  0.613
84  	  R  	  0.238  	  0.645
85  	  N  	  0.235  	  0.645
86  	  N  	  0.233  	  0.645
87  	  N  	  0.230  	  0.645
88  	  N  	  0.227  	  0.645
89  	  N  	  0.225  	  0.645
90  	  N  	  0.222  	  0.645
91  	  N  	  0.220  	  0.645
92  	  N  	  0.217  	  0.645
93  	  N  	  0.215  	  0.645
94  	  N  	  0.213  	  0.645
95  	  N  	  0.211  	  0.645
96  	  N  	  0.208  	  0.645
97  	  N  	  0.206  	  0.645
98  	  N  	  0.204  	  0.645
99  	  N  	  0.202  	  0.645
100  	  N  	  0.200  	  0.645
