Query 63: algorithms for parallel computation and especially comparisons between parallel and sequential algorithms

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  N  	  0.000  	  0.000
03  	  N  	  0.000  	  0.000
04  	  R  	  0.250  	  0.083
05  	  N  	  0.200  	  0.083
06  	  N  	  0.167  	  0.083
07  	  N  	  0.143  	  0.083
08  	  N  	  0.125  	  0.083
09  	  N  	  0.111  	  0.083
10  	  R  	  0.200  	  0.167
11  	  N  	  0.182  	  0.167
12  	  N  	  0.167  	  0.167
13  	  N  	  0.154  	  0.167
14  	  N  	  0.143  	  0.167
15  	  N  	  0.133  	  0.167
16  	  N  	  0.125  	  0.167
17  	  N  	  0.118  	  0.167
18  	  N  	  0.111  	  0.167
19  	  N  	  0.105  	  0.167
20  	  R  	  0.150  	  0.250
21  	  N  	  0.143  	  0.250
22  	  N  	  0.136  	  0.250
23  	  R  	  0.174  	  0.333
24  	  N  	  0.167  	  0.333
25  	  N  	  0.160  	  0.333
26  	  N  	  0.154  	  0.333
27  	  N  	  0.148  	  0.333
28  	  N  	  0.143  	  0.333
29  	  N  	  0.138  	  0.333
30  	  N  	  0.133  	  0.333
31  	  N  	  0.129  	  0.333
32  	  N  	  0.125  	  0.333
33  	  N  	  0.121  	  0.333
34  	  N  	  0.118  	  0.333
35  	  N  	  0.114  	  0.333
36  	  N  	  0.111  	  0.333
37  	  N  	  0.108  	  0.333
38  	  N  	  0.105  	  0.333
39  	  R  	  0.128  	  0.417
40  	  N  	  0.125  	  0.417
41  	  N  	  0.122  	  0.417
42  	  R  	  0.143  	  0.500
43  	  N  	  0.140  	  0.500
44  	  N  	  0.136  	  0.500
45  	  N  	  0.133  	  0.500
46  	  N  	  0.130  	  0.500
47  	  N  	  0.128  	  0.500
48  	  N  	  0.125  	  0.500
49  	  N  	  0.122  	  0.500
50  	  N  	  0.120  	  0.500
51  	  N  	  0.118  	  0.500
52  	  N  	  0.115  	  0.500
53  	  N  	  0.113  	  0.500
54  	  N  	  0.111  	  0.500
55  	  N  	  0.109  	  0.500
56  	  N  	  0.107  	  0.500
57  	  N  	  0.105  	  0.500
58  	  N  	  0.103  	  0.500
59  	  N  	  0.102  	  0.500
60  	  N  	  0.100  	  0.500
61  	  N  	  0.098  	  0.500
62  	  N  	  0.097  	  0.500
63  	  N  	  0.095  	  0.500
64  	  N  	  0.094  	  0.500
65  	  N  	  0.092  	  0.500
66  	  N  	  0.091  	  0.500
67  	  N  	  0.090  	  0.500
68  	  N  	  0.088  	  0.500
69  	  N  	  0.087  	  0.500
70  	  N  	  0.086  	  0.500
71  	  N  	  0.085  	  0.500
72  	  N  	  0.083  	  0.500
73  	  N  	  0.082  	  0.500
74  	  N  	  0.081  	  0.500
75  	  N  	  0.080  	  0.500
76  	  N  	  0.079  	  0.500
77  	  N  	  0.078  	  0.500
78  	  R  	  0.090  	  0.583
79  	  N  	  0.089  	  0.583
80  	  N  	  0.087  	  0.583
81  	  N  	  0.086  	  0.583
82  	  N  	  0.085  	  0.583
83  	  N  	  0.084  	  0.583
84  	  N  	  0.083  	  0.583
85  	  N  	  0.082  	  0.583
86  	  N  	  0.081  	  0.583
87  	  N  	  0.080  	  0.583
88  	  N  	  0.080  	  0.583
89  	  N  	  0.079  	  0.583
90  	  N  	  0.078  	  0.583
91  	  N  	  0.077  	  0.583
92  	  N  	  0.076  	  0.583
93  	  N  	  0.075  	  0.583
94  	  N  	  0.074  	  0.583
95  	  R  	  0.084  	  0.667
96  	  N  	  0.083  	  0.667
97  	  N  	  0.082  	  0.667
98  	  N  	  0.082  	  0.667
99  	  N  	  0.081  	  0.667
100  	  N  	  0.080  	  0.667
