Query 11: setl very high level languages

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.053
02  	  R  	  1.000  	  0.105
03  	  N  	  0.667  	  0.105
04  	  N  	  0.500  	  0.105
05  	  R  	  0.600  	  0.158
06  	  N  	  0.500  	  0.158
07  	  N  	  0.429  	  0.158
08  	  R  	  0.500  	  0.211
09  	  R  	  0.556  	  0.263
10  	  N  	  0.500  	  0.263
11  	  N  	  0.455  	  0.263
12  	  R  	  0.500  	  0.316
13  	  R  	  0.538  	  0.368
14  	  N  	  0.500  	  0.368
15  	  R  	  0.533  	  0.421
16  	  R  	  0.562  	  0.474
17  	  N  	  0.529  	  0.474
18  	  N  	  0.500  	  0.474
19  	  R  	  0.526  	  0.526
20  	  N  	  0.500  	  0.526
21  	  N  	  0.476  	  0.526
22  	  N  	  0.455  	  0.526
23  	  N  	  0.435  	  0.526
24  	  N  	  0.417  	  0.526
25  	  N  	  0.400  	  0.526
26  	  N  	  0.385  	  0.526
27  	  R  	  0.407  	  0.579
28  	  R  	  0.429  	  0.632
29  	  N  	  0.414  	  0.632
30  	  N  	  0.400  	  0.632
31  	  N  	  0.387  	  0.632
32  	  N  	  0.375  	  0.632
33  	  N  	  0.364  	  0.632
34  	  N  	  0.353  	  0.632
35  	  N  	  0.343  	  0.632
36  	  N  	  0.333  	  0.632
37  	  N  	  0.324  	  0.632
38  	  N  	  0.316  	  0.632
39  	  N  	  0.308  	  0.632
40  	  N  	  0.300  	  0.632
41  	  N  	  0.293  	  0.632
42  	  N  	  0.286  	  0.632
43  	  N  	  0.279  	  0.632
44  	  N  	  0.273  	  0.632
45  	  N  	  0.267  	  0.632
46  	  N  	  0.261  	  0.632
47  	  N  	  0.255  	  0.632
48  	  N  	  0.250  	  0.632
49  	  N  	  0.245  	  0.632
50  	  N  	  0.240  	  0.632
51  	  N  	  0.235  	  0.632
52  	  N  	  0.231  	  0.632
53  	  N  	  0.226  	  0.632
54  	  N  	  0.222  	  0.632
55  	  N  	  0.218  	  0.632
56  	  N  	  0.214  	  0.632
57  	  N  	  0.211  	  0.632
58  	  N  	  0.207  	  0.632
59  	  N  	  0.203  	  0.632
60  	  N  	  0.200  	  0.632
61  	  N  	  0.197  	  0.632
62  	  N  	  0.194  	  0.632
63  	  N  	  0.190  	  0.632
64  	  N  	  0.188  	  0.632
65  	  N  	  0.185  	  0.632
66  	  N  	  0.182  	  0.632
67  	  N  	  0.179  	  0.632
68  	  N  	  0.176  	  0.632
69  	  N  	  0.174  	  0.632
70  	  N  	  0.171  	  0.632
71  	  N  	  0.169  	  0.632
72  	  N  	  0.167  	  0.632
73  	  N  	  0.164  	  0.632
74  	  N  	  0.162  	  0.632
75  	  N  	  0.160  	  0.632
76  	  N  	  0.158  	  0.632
77  	  N  	  0.156  	  0.632
78  	  N  	  0.154  	  0.632
79  	  R  	  0.165  	  0.684
80  	  N  	  0.163  	  0.684
81  	  N  	  0.160  	  0.684
82  	  N  	  0.159  	  0.684
83  	  N  	  0.157  	  0.684
84  	  N  	  0.155  	  0.684
85  	  N  	  0.153  	  0.684
86  	  N  	  0.151  	  0.684
87  	  N  	  0.149  	  0.684
88  	  N  	  0.148  	  0.684
89  	  N  	  0.146  	  0.684
90  	  N  	  0.144  	  0.684
91  	  N  	  0.143  	  0.684
92  	  N  	  0.141  	  0.684
93  	  N  	  0.140  	  0.684
94  	  N  	  0.138  	  0.684
95  	  N  	  0.137  	  0.684
96  	  N  	  0.135  	  0.684
97  	  N  	  0.134  	  0.684
98  	  N  	  0.133  	  0.684
99  	  N  	  0.131  	  0.684
100  	  N  	  0.130  	  0.684
