Query 14: find all discussions of optimal implementations of sort algorithms for database management applications

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  N  	  0.000  	  0.000
03  	  N  	  0.000  	  0.000
04  	  N  	  0.000  	  0.000
05  	  N  	  0.000  	  0.000
06  	  N  	  0.000  	  0.000
07  	  R  	  0.143  	  0.023
08  	  N  	  0.125  	  0.023
09  	  N  	  0.111  	  0.023
10  	  R  	  0.200  	  0.045
11  	  R  	  0.273  	  0.068
12  	  N  	  0.250  	  0.068
13  	  N  	  0.231  	  0.068
14  	  N  	  0.214  	  0.068
15  	  N  	  0.200  	  0.068
16  	  N  	  0.188  	  0.068
17  	  N  	  0.176  	  0.068
18  	  N  	  0.167  	  0.068
19  	  R  	  0.211  	  0.091
20  	  N  	  0.200  	  0.091
21  	  N  	  0.190  	  0.091
22  	  N  	  0.182  	  0.091
23  	  N  	  0.174  	  0.091
24  	  N  	  0.167  	  0.091
25  	  N  	  0.160  	  0.091
26  	  N  	  0.154  	  0.091
27  	  N  	  0.148  	  0.091
28  	  N  	  0.143  	  0.091
29  	  N  	  0.138  	  0.091
30  	  N  	  0.133  	  0.091
31  	  N  	  0.129  	  0.091
32  	  R  	  0.156  	  0.114
33  	  N  	  0.152  	  0.114
34  	  R  	  0.176  	  0.136
35  	  N  	  0.171  	  0.136
36  	  N  	  0.167  	  0.136
37  	  N  	  0.162  	  0.136
38  	  R  	  0.184  	  0.159
39  	  N  	  0.179  	  0.159
40  	  N  	  0.175  	  0.159
41  	  N  	  0.171  	  0.159
42  	  R  	  0.190  	  0.182
43  	  N  	  0.186  	  0.182
44  	  N  	  0.182  	  0.182
45  	  N  	  0.178  	  0.182
46  	  N  	  0.174  	  0.182
47  	  R  	  0.191  	  0.205
48  	  N  	  0.188  	  0.205
49  	  N  	  0.184  	  0.205
50  	  N  	  0.180  	  0.205
51  	  N  	  0.176  	  0.205
52  	  N  	  0.173  	  0.205
53  	  N  	  0.170  	  0.205
54  	  N  	  0.167  	  0.205
55  	  N  	  0.164  	  0.205
56  	  N  	  0.161  	  0.205
57  	  R  	  0.175  	  0.227
58  	  N  	  0.172  	  0.227
59  	  N  	  0.169  	  0.227
60  	  N  	  0.167  	  0.227
61  	  N  	  0.164  	  0.227
62  	  N  	  0.161  	  0.227
63  	  N  	  0.159  	  0.227
64  	  N  	  0.156  	  0.227
65  	  R  	  0.169  	  0.250
66  	  N  	  0.167  	  0.250
67  	  N  	  0.164  	  0.250
68  	  N  	  0.162  	  0.250
69  	  N  	  0.159  	  0.250
70  	  N  	  0.157  	  0.250
71  	  N  	  0.155  	  0.250
72  	  N  	  0.153  	  0.250
73  	  N  	  0.151  	  0.250
74  	  N  	  0.149  	  0.250
75  	  N  	  0.147  	  0.250
76  	  N  	  0.145  	  0.250
77  	  N  	  0.143  	  0.250
78  	  N  	  0.141  	  0.250
79  	  N  	  0.139  	  0.250
80  	  N  	  0.138  	  0.250
81  	  N  	  0.136  	  0.250
82  	  N  	  0.134  	  0.250
83  	  N  	  0.133  	  0.250
84  	  N  	  0.131  	  0.250
85  	  N  	  0.129  	  0.250
86  	  N  	  0.128  	  0.250
87  	  N  	  0.126  	  0.250
88  	  N  	  0.125  	  0.250
89  	  N  	  0.124  	  0.250
90  	  N  	  0.122  	  0.250
91  	  N  	  0.121  	  0.250
92  	  N  	  0.120  	  0.250
93  	  N  	  0.118  	  0.250
94  	  N  	  0.117  	  0.250
95  	  N  	  0.116  	  0.250
96  	  N  	  0.115  	  0.250
97  	  N  	  0.113  	  0.250
98  	  N  	  0.112  	  0.250
99  	  N  	  0.111  	  0.250
100  	  N  	  0.110  	  0.250
