Query 17: optimization of intermediate and machine code

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.062
02  	  N  	  0.500  	  0.062
03  	  R  	  0.667  	  0.125
04  	  N  	  0.500  	  0.125
05  	  N  	  0.400  	  0.125
06  	  N  	  0.333  	  0.125
07  	  R  	  0.429  	  0.188
08  	  R  	  0.500  	  0.250
09  	  N  	  0.444  	  0.250
10  	  N  	  0.400  	  0.250
11  	  N  	  0.364  	  0.250
12  	  N  	  0.333  	  0.250
13  	  N  	  0.308  	  0.250
14  	  N  	  0.286  	  0.250
15  	  N  	  0.267  	  0.250
16  	  N  	  0.250  	  0.250
17  	  N  	  0.235  	  0.250
18  	  N  	  0.222  	  0.250
19  	  N  	  0.211  	  0.250
20  	  N  	  0.200  	  0.250
21  	  N  	  0.190  	  0.250
22  	  N  	  0.182  	  0.250
23  	  R  	  0.217  	  0.312
24  	  N  	  0.208  	  0.312
25  	  N  	  0.200  	  0.312
26  	  N  	  0.192  	  0.312
27  	  N  	  0.185  	  0.312
28  	  R  	  0.214  	  0.375
29  	  N  	  0.207  	  0.375
30  	  N  	  0.200  	  0.375
31  	  N  	  0.194  	  0.375
32  	  N  	  0.188  	  0.375
33  	  N  	  0.182  	  0.375
34  	  N  	  0.176  	  0.375
35  	  N  	  0.171  	  0.375
36  	  N  	  0.167  	  0.375
37  	  N  	  0.162  	  0.375
38  	  N  	  0.158  	  0.375
39  	  N  	  0.154  	  0.375
40  	  N  	  0.150  	  0.375
41  	  N  	  0.146  	  0.375
42  	  N  	  0.143  	  0.375
43  	  N  	  0.140  	  0.375
44  	  N  	  0.136  	  0.375
45  	  N  	  0.133  	  0.375
46  	  N  	  0.130  	  0.375
47  	  N  	  0.128  	  0.375
48  	  N  	  0.125  	  0.375
49  	  N  	  0.122  	  0.375
50  	  N  	  0.120  	  0.375
51  	  N  	  0.118  	  0.375
52  	  N  	  0.115  	  0.375
53  	  N  	  0.113  	  0.375
54  	  N  	  0.111  	  0.375
55  	  N  	  0.109  	  0.375
56  	  N  	  0.107  	  0.375
57  	  N  	  0.105  	  0.375
58  	  N  	  0.103  	  0.375
59  	  N  	  0.102  	  0.375
60  	  N  	  0.100  	  0.375
61  	  N  	  0.098  	  0.375
62  	  N  	  0.097  	  0.375
63  	  N  	  0.095  	  0.375
64  	  N  	  0.094  	  0.375
65  	  N  	  0.092  	  0.375
66  	  N  	  0.091  	  0.375
67  	  N  	  0.090  	  0.375
68  	  N  	  0.088  	  0.375
69  	  N  	  0.087  	  0.375
70  	  N  	  0.086  	  0.375
71  	  N  	  0.085  	  0.375
72  	  N  	  0.083  	  0.375
73  	  N  	  0.082  	  0.375
74  	  N  	  0.081  	  0.375
75  	  N  	  0.080  	  0.375
76  	  N  	  0.079  	  0.375
77  	  N  	  0.078  	  0.375
78  	  N  	  0.077  	  0.375
79  	  N  	  0.076  	  0.375
80  	  N  	  0.075  	  0.375
81  	  N  	  0.074  	  0.375
82  	  N  	  0.073  	  0.375
83  	  N  	  0.072  	  0.375
84  	  N  	  0.071  	  0.375
85  	  N  	  0.071  	  0.375
86  	  N  	  0.070  	  0.375
87  	  N  	  0.069  	  0.375
88  	  R  	  0.080  	  0.438
89  	  R  	  0.090  	  0.500
90  	  N  	  0.089  	  0.500
91  	  N  	  0.088  	  0.500
92  	  N  	  0.087  	  0.500
93  	  N  	  0.086  	  0.500
94  	  N  	  0.085  	  0.500
95  	  N  	  0.084  	  0.500
96  	  N  	  0.083  	  0.500
97  	  N  	  0.082  	  0.500
98  	  N  	  0.082  	  0.500
99  	  N  	  0.081  	  0.500
100  	  N  	  0.080  	  0.500
