Query 21: computational complexity intractability class complete reductions algorithms and efficiency

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  R  	  0.500  	  0.091
03  	  N  	  0.333  	  0.091
04  	  R  	  0.500  	  0.182
05  	  N  	  0.400  	  0.182
06  	  N  	  0.333  	  0.182
07  	  N  	  0.286  	  0.182
08  	  N  	  0.250  	  0.182
09  	  N  	  0.222  	  0.182
10  	  N  	  0.200  	  0.182
11  	  R  	  0.273  	  0.273
12  	  N  	  0.250  	  0.273
13  	  N  	  0.231  	  0.273
14  	  N  	  0.214  	  0.273
15  	  N  	  0.200  	  0.273
16  	  N  	  0.188  	  0.273
17  	  N  	  0.176  	  0.273
18  	  N  	  0.167  	  0.273
19  	  N  	  0.158  	  0.273
20  	  N  	  0.150  	  0.273
21  	  N  	  0.143  	  0.273
22  	  N  	  0.136  	  0.273
23  	  N  	  0.130  	  0.273
24  	  N  	  0.125  	  0.273
25  	  N  	  0.120  	  0.273
26  	  N  	  0.115  	  0.273
27  	  N  	  0.111  	  0.273
28  	  N  	  0.107  	  0.273
29  	  N  	  0.103  	  0.273
30  	  N  	  0.100  	  0.273
31  	  N  	  0.097  	  0.273
32  	  R  	  0.125  	  0.364
33  	  N  	  0.121  	  0.364
34  	  N  	  0.118  	  0.364
35  	  N  	  0.114  	  0.364
36  	  N  	  0.111  	  0.364
37  	  N  	  0.108  	  0.364
38  	  N  	  0.105  	  0.364
39  	  N  	  0.103  	  0.364
40  	  N  	  0.100  	  0.364
41  	  N  	  0.098  	  0.364
42  	  N  	  0.095  	  0.364
43  	  N  	  0.093  	  0.364
44  	  N  	  0.091  	  0.364
45  	  N  	  0.089  	  0.364
46  	  N  	  0.087  	  0.364
47  	  R  	  0.106  	  0.455
48  	  N  	  0.104  	  0.455
49  	  N  	  0.102  	  0.455
50  	  N  	  0.100  	  0.455
51  	  N  	  0.098  	  0.455
52  	  N  	  0.096  	  0.455
53  	  N  	  0.094  	  0.455
54  	  N  	  0.093  	  0.455
55  	  N  	  0.091  	  0.455
56  	  N  	  0.089  	  0.455
57  	  N  	  0.088  	  0.455
58  	  N  	  0.086  	  0.455
59  	  N  	  0.085  	  0.455
60  	  N  	  0.083  	  0.455
61  	  N  	  0.082  	  0.455
62  	  N  	  0.081  	  0.455
63  	  N  	  0.079  	  0.455
64  	  N  	  0.078  	  0.455
65  	  N  	  0.077  	  0.455
66  	  R  	  0.091  	  0.545
67  	  N  	  0.090  	  0.545
68  	  N  	  0.088  	  0.545
69  	  N  	  0.087  	  0.545
70  	  N  	  0.086  	  0.545
71  	  N  	  0.085  	  0.545
72  	  N  	  0.083  	  0.545
73  	  N  	  0.082  	  0.545
74  	  N  	  0.081  	  0.545
75  	  N  	  0.080  	  0.545
76  	  N  	  0.079  	  0.545
77  	  N  	  0.078  	  0.545
78  	  N  	  0.077  	  0.545
79  	  N  	  0.076  	  0.545
80  	  N  	  0.075  	  0.545
81  	  N  	  0.074  	  0.545
82  	  N  	  0.073  	  0.545
83  	  N  	  0.072  	  0.545
84  	  N  	  0.071  	  0.545
85  	  N  	  0.071  	  0.545
86  	  N  	  0.070  	  0.545
87  	  N  	  0.069  	  0.545
88  	  N  	  0.068  	  0.545
89  	  N  	  0.067  	  0.545
90  	  N  	  0.067  	  0.545
91  	  N  	  0.066  	  0.545
92  	  N  	  0.065  	  0.545
93  	  N  	  0.065  	  0.545
94  	  N  	  0.064  	  0.545
95  	  N  	  0.063  	  0.545
96  	  N  	  0.062  	  0.545
97  	  N  	  0.062  	  0.545
98  	  N  	  0.061  	  0.545
99  	  R  	  0.071  	  0.636
100  	  N  	  0.070  	  0.636
