Query 22: i am interested in hidden line and hidden surface algorithms for cylinders toroids spheres and cones this is a rather specialized topic in computer graphics

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.059
02  	  R  	  1.000  	  0.118
03  	  R  	  1.000  	  0.176
04  	  R  	  1.000  	  0.235
05  	  R  	  1.000  	  0.294
06  	  N  	  0.833  	  0.294
07  	  N  	  0.714  	  0.294
08  	  R  	  0.750  	  0.353
09  	  R  	  0.778  	  0.412
10  	  R  	  0.800  	  0.471
11  	  R  	  0.818  	  0.529
12  	  R  	  0.833  	  0.588
13  	  N  	  0.769  	  0.588
14  	  R  	  0.786  	  0.647
15  	  R  	  0.800  	  0.706
16  	  R  	  0.812  	  0.765
17  	  N  	  0.765  	  0.765
18  	  N  	  0.722  	  0.765
19  	  N  	  0.684  	  0.765
20  	  N  	  0.650  	  0.765
21  	  N  	  0.619  	  0.765
22  	  N  	  0.591  	  0.765
23  	  N  	  0.565  	  0.765
24  	  N  	  0.542  	  0.765
25  	  N  	  0.520  	  0.765
26  	  N  	  0.500  	  0.765
27  	  R  	  0.519  	  0.824
28  	  N  	  0.500  	  0.824
29  	  N  	  0.483  	  0.824
30  	  N  	  0.467  	  0.824
31  	  N  	  0.452  	  0.824
32  	  N  	  0.438  	  0.824
33  	  N  	  0.424  	  0.824
34  	  N  	  0.412  	  0.824
35  	  N  	  0.400  	  0.824
36  	  N  	  0.389  	  0.824
37  	  N  	  0.378  	  0.824
38  	  N  	  0.368  	  0.824
39  	  N  	  0.359  	  0.824
40  	  N  	  0.350  	  0.824
41  	  N  	  0.341  	  0.824
42  	  N  	  0.333  	  0.824
43  	  N  	  0.326  	  0.824
44  	  N  	  0.318  	  0.824
45  	  N  	  0.311  	  0.824
46  	  N  	  0.304  	  0.824
47  	  N  	  0.298  	  0.824
48  	  N  	  0.292  	  0.824
49  	  N  	  0.286  	  0.824
50  	  N  	  0.280  	  0.824
51  	  N  	  0.275  	  0.824
52  	  N  	  0.269  	  0.824
53  	  N  	  0.264  	  0.824
54  	  R  	  0.278  	  0.882
55  	  N  	  0.273  	  0.882
56  	  N  	  0.268  	  0.882
57  	  N  	  0.263  	  0.882
58  	  R  	  0.276  	  0.941
59  	  N  	  0.271  	  0.941
60  	  N  	  0.267  	  0.941
61  	  N  	  0.262  	  0.941
62  	  N  	  0.258  	  0.941
63  	  N  	  0.254  	  0.941
64  	  N  	  0.250  	  0.941
65  	  N  	  0.246  	  0.941
66  	  N  	  0.242  	  0.941
67  	  N  	  0.239  	  0.941
68  	  N  	  0.235  	  0.941
69  	  N  	  0.232  	  0.941
70  	  N  	  0.229  	  0.941
71  	  N  	  0.225  	  0.941
72  	  N  	  0.222  	  0.941
73  	  N  	  0.219  	  0.941
74  	  N  	  0.216  	  0.941
75  	  R  	  0.227  	  1.000
76  	  N  	  0.224  	  1.000
77  	  N  	  0.221  	  1.000
78  	  N  	  0.218  	  1.000
79  	  N  	  0.215  	  1.000
80  	  N  	  0.212  	  1.000
81  	  N  	  0.210  	  1.000
82  	  N  	  0.207  	  1.000
83  	  N  	  0.205  	  1.000
84  	  N  	  0.202  	  1.000
85  	  N  	  0.200  	  1.000
86  	  N  	  0.198  	  1.000
87  	  N  	  0.195  	  1.000
88  	  N  	  0.193  	  1.000
89  	  N  	  0.191  	  1.000
90  	  N  	  0.189  	  1.000
91  	  N  	  0.187  	  1.000
92  	  N  	  0.185  	  1.000
93  	  N  	  0.183  	  1.000
94  	  N  	  0.181  	  1.000
95  	  N  	  0.179  	  1.000
96  	  N  	  0.177  	  1.000
97  	  N  	  0.175  	  1.000
98  	  N  	  0.173  	  1.000
99  	  N  	  0.172  	  1.000
100  	  N  	  0.170  	  1.000
