Query 25: performance evaluation and modelling of computer systems

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.020
02  	  N  	  0.500  	  0.020
03  	  R  	  0.667  	  0.039
04  	  R  	  0.750  	  0.059
05  	  N  	  0.600  	  0.059
06  	  R  	  0.667  	  0.078
07  	  R  	  0.714  	  0.098
08  	  R  	  0.750  	  0.118
09  	  N  	  0.667  	  0.118
10  	  N  	  0.600  	  0.118
11  	  N  	  0.545  	  0.118
12  	  N  	  0.500  	  0.118
13  	  R  	  0.538  	  0.137
14  	  R  	  0.571  	  0.157
15  	  N  	  0.533  	  0.157
16  	  N  	  0.500  	  0.157
17  	  N  	  0.471  	  0.157
18  	  N  	  0.444  	  0.157
19  	  N  	  0.421  	  0.157
20  	  R  	  0.450  	  0.176
21  	  N  	  0.429  	  0.176
22  	  N  	  0.409  	  0.176
23  	  N  	  0.391  	  0.176
24  	  R  	  0.417  	  0.196
25  	  N  	  0.400  	  0.196
26  	  N  	  0.385  	  0.196
27  	  R  	  0.407  	  0.216
28  	  N  	  0.393  	  0.216
29  	  N  	  0.379  	  0.216
30  	  R  	  0.400  	  0.235
31  	  R  	  0.419  	  0.255
32  	  N  	  0.406  	  0.255
33  	  N  	  0.394  	  0.255
34  	  N  	  0.382  	  0.255
35  	  N  	  0.371  	  0.255
36  	  N  	  0.361  	  0.255
37  	  N  	  0.351  	  0.255
38  	  N  	  0.342  	  0.255
39  	  N  	  0.333  	  0.255
40  	  R  	  0.350  	  0.275
41  	  N  	  0.341  	  0.275
42  	  N  	  0.333  	  0.275
43  	  N  	  0.326  	  0.275
44  	  N  	  0.318  	  0.275
45  	  N  	  0.311  	  0.275
46  	  N  	  0.304  	  0.275
47  	  N  	  0.298  	  0.275
48  	  R  	  0.312  	  0.294
49  	  N  	  0.306  	  0.294
50  	  N  	  0.300  	  0.294
51  	  R  	  0.314  	  0.314
52  	  N  	  0.308  	  0.314
53  	  N  	  0.302  	  0.314
54  	  N  	  0.296  	  0.314
55  	  N  	  0.291  	  0.314
56  	  R  	  0.304  	  0.333
57  	  R  	  0.316  	  0.353
58  	  N  	  0.310  	  0.353
59  	  N  	  0.305  	  0.353
60  	  N  	  0.300  	  0.353
61  	  N  	  0.295  	  0.353
62  	  N  	  0.290  	  0.353
63  	  N  	  0.286  	  0.353
64  	  N  	  0.281  	  0.353
65  	  N  	  0.277  	  0.353
66  	  R  	  0.288  	  0.373
67  	  N  	  0.284  	  0.373
68  	  N  	  0.279  	  0.373
69  	  N  	  0.275  	  0.373
70  	  N  	  0.271  	  0.373
71  	  N  	  0.268  	  0.373
72  	  N  	  0.264  	  0.373
73  	  R  	  0.274  	  0.392
74  	  N  	  0.270  	  0.392
75  	  N  	  0.267  	  0.392
76  	  N  	  0.263  	  0.392
77  	  N  	  0.260  	  0.392
78  	  N  	  0.256  	  0.392
79  	  N  	  0.253  	  0.392
80  	  N  	  0.250  	  0.392
81  	  N  	  0.247  	  0.392
82  	  N  	  0.244  	  0.392
83  	  N  	  0.241  	  0.392
84  	  N  	  0.238  	  0.392
85  	  N  	  0.235  	  0.392
86  	  N  	  0.233  	  0.392
87  	  N  	  0.230  	  0.392
88  	  N  	  0.227  	  0.392
89  	  N  	  0.225  	  0.392
90  	  N  	  0.222  	  0.392
91  	  N  	  0.220  	  0.392
92  	  N  	  0.217  	  0.392
93  	  N  	  0.215  	  0.392
94  	  N  	  0.213  	  0.392
95  	  N  	  0.211  	  0.392
96  	  N  	  0.208  	  0.392
97  	  N  	  0.206  	  0.392
98  	  N  	  0.204  	  0.392
99  	  N  	  0.202  	  0.392
100  	  N  	  0.200  	  0.392
