Query 26: concurrency control mechanisms in operating systems

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  N  	  0.000  	  0.000
03  	  R  	  0.333  	  0.033
04  	  N  	  0.250  	  0.033
05  	  N  	  0.200  	  0.033
06  	  N  	  0.167  	  0.033
07  	  R  	  0.286  	  0.067
08  	  N  	  0.250  	  0.067
09  	  N  	  0.222  	  0.067
10  	  R  	  0.300  	  0.100
11  	  N  	  0.273  	  0.100
12  	  R  	  0.333  	  0.133
13  	  N  	  0.308  	  0.133
14  	  N  	  0.286  	  0.133
15  	  R  	  0.333  	  0.167
16  	  N  	  0.312  	  0.167
17  	  N  	  0.294  	  0.167
18  	  N  	  0.278  	  0.167
19  	  N  	  0.263  	  0.167
20  	  N  	  0.250  	  0.167
21  	  N  	  0.238  	  0.167
22  	  N  	  0.227  	  0.167
23  	  N  	  0.217  	  0.167
24  	  N  	  0.208  	  0.167
25  	  N  	  0.200  	  0.167
26  	  N  	  0.192  	  0.167
27  	  N  	  0.185  	  0.167
28  	  N  	  0.179  	  0.167
29  	  N  	  0.172  	  0.167
30  	  N  	  0.167  	  0.167
31  	  N  	  0.161  	  0.167
32  	  N  	  0.156  	  0.167
33  	  N  	  0.152  	  0.167
34  	  N  	  0.147  	  0.167
35  	  R  	  0.171  	  0.200
36  	  N  	  0.167  	  0.200
37  	  N  	  0.162  	  0.200
38  	  N  	  0.158  	  0.200
39  	  N  	  0.154  	  0.200
40  	  N  	  0.150  	  0.200
41  	  N  	  0.146  	  0.200
42  	  N  	  0.143  	  0.200
43  	  N  	  0.140  	  0.200
44  	  N  	  0.136  	  0.200
45  	  R  	  0.156  	  0.233
46  	  N  	  0.152  	  0.233
47  	  R  	  0.170  	  0.267
48  	  N  	  0.167  	  0.267
49  	  R  	  0.184  	  0.300
50  	  N  	  0.180  	  0.300
51  	  N  	  0.176  	  0.300
52  	  N  	  0.173  	  0.300
53  	  N  	  0.170  	  0.300
54  	  N  	  0.167  	  0.300
55  	  N  	  0.164  	  0.300
56  	  N  	  0.161  	  0.300
57  	  N  	  0.158  	  0.300
58  	  N  	  0.155  	  0.300
59  	  N  	  0.153  	  0.300
60  	  N  	  0.150  	  0.300
61  	  N  	  0.148  	  0.300
62  	  N  	  0.145  	  0.300
63  	  N  	  0.143  	  0.300
64  	  R  	  0.156  	  0.333
65  	  N  	  0.154  	  0.333
66  	  N  	  0.152  	  0.333
67  	  N  	  0.149  	  0.333
68  	  N  	  0.147  	  0.333
69  	  N  	  0.145  	  0.333
70  	  N  	  0.143  	  0.333
71  	  N  	  0.141  	  0.333
72  	  N  	  0.139  	  0.333
73  	  N  	  0.137  	  0.333
74  	  N  	  0.135  	  0.333
75  	  N  	  0.133  	  0.333
76  	  N  	  0.132  	  0.333
77  	  N  	  0.130  	  0.333
78  	  N  	  0.128  	  0.333
79  	  N  	  0.127  	  0.333
80  	  R  	  0.138  	  0.367
81  	  N  	  0.136  	  0.367
82  	  N  	  0.134  	  0.367
83  	  N  	  0.133  	  0.367
84  	  N  	  0.131  	  0.367
85  	  N  	  0.129  	  0.367
86  	  N  	  0.128  	  0.367
87  	  N  	  0.126  	  0.367
88  	  N  	  0.125  	  0.367
89  	  N  	  0.124  	  0.367
90  	  N  	  0.122  	  0.367
91  	  N  	  0.121  	  0.367
92  	  N  	  0.120  	  0.367
93  	  N  	  0.118  	  0.367
94  	  N  	  0.117  	  0.367
95  	  N  	  0.116  	  0.367
96  	  N  	  0.115  	  0.367
97  	  N  	  0.113  	  0.367
98  	  N  	  0.112  	  0.367
99  	  N  	  0.111  	  0.367
100  	  N  	  0.110  	  0.367
