Query 27: memory management aspects of operating systems

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.034
02  	  R  	  1.000  	  0.069
03  	  N  	  0.667  	  0.069
04  	  N  	  0.500  	  0.069
05  	  N  	  0.400  	  0.069
06  	  R  	  0.500  	  0.103
07  	  R  	  0.571  	  0.138
08  	  N  	  0.500  	  0.138
09  	  N  	  0.444  	  0.138
10  	  N  	  0.400  	  0.138
11  	  N  	  0.364  	  0.138
12  	  N  	  0.333  	  0.138
13  	  N  	  0.308  	  0.138
14  	  R  	  0.357  	  0.172
15  	  R  	  0.400  	  0.207
16  	  N  	  0.375  	  0.207
17  	  N  	  0.353  	  0.207
18  	  R  	  0.389  	  0.241
19  	  N  	  0.368  	  0.241
20  	  N  	  0.350  	  0.241
21  	  R  	  0.381  	  0.276
22  	  N  	  0.364  	  0.276
23  	  R  	  0.391  	  0.310
24  	  N  	  0.375  	  0.310
25  	  N  	  0.360  	  0.310
26  	  N  	  0.346  	  0.310
27  	  N  	  0.333  	  0.310
28  	  R  	  0.357  	  0.345
29  	  N  	  0.345  	  0.345
30  	  N  	  0.333  	  0.345
31  	  N  	  0.323  	  0.345
32  	  N  	  0.312  	  0.345
33  	  N  	  0.303  	  0.345
34  	  N  	  0.294  	  0.345
35  	  N  	  0.286  	  0.345
36  	  N  	  0.278  	  0.345
37  	  N  	  0.270  	  0.345
38  	  R  	  0.289  	  0.379
39  	  N  	  0.282  	  0.379
40  	  N  	  0.275  	  0.379
41  	  R  	  0.293  	  0.414
42  	  N  	  0.286  	  0.414
43  	  N  	  0.279  	  0.414
44  	  N  	  0.273  	  0.414
45  	  N  	  0.267  	  0.414
46  	  N  	  0.261  	  0.414
47  	  N  	  0.255  	  0.414
48  	  N  	  0.250  	  0.414
49  	  N  	  0.245  	  0.414
50  	  N  	  0.240  	  0.414
51  	  N  	  0.235  	  0.414
52  	  N  	  0.231  	  0.414
53  	  N  	  0.226  	  0.414
54  	  N  	  0.222  	  0.414
55  	  N  	  0.218  	  0.414
56  	  N  	  0.214  	  0.414
57  	  N  	  0.211  	  0.414
58  	  N  	  0.207  	  0.414
59  	  N  	  0.203  	  0.414
60  	  N  	  0.200  	  0.414
61  	  N  	  0.197  	  0.414
62  	  N  	  0.194  	  0.414
63  	  N  	  0.190  	  0.414
64  	  N  	  0.188  	  0.414
65  	  N  	  0.185  	  0.414
66  	  N  	  0.182  	  0.414
67  	  N  	  0.179  	  0.414
68  	  N  	  0.176  	  0.414
69  	  N  	  0.174  	  0.414
70  	  N  	  0.171  	  0.414
71  	  N  	  0.169  	  0.414
72  	  N  	  0.167  	  0.414
73  	  N  	  0.164  	  0.414
74  	  N  	  0.162  	  0.414
75  	  N  	  0.160  	  0.414
76  	  N  	  0.158  	  0.414
77  	  N  	  0.156  	  0.414
78  	  R  	  0.167  	  0.448
79  	  N  	  0.165  	  0.448
80  	  N  	  0.163  	  0.448
81  	  N  	  0.160  	  0.448
82  	  N  	  0.159  	  0.448
83  	  N  	  0.157  	  0.448
84  	  N  	  0.155  	  0.448
85  	  N  	  0.153  	  0.448
86  	  N  	  0.151  	  0.448
87  	  N  	  0.149  	  0.448
88  	  N  	  0.148  	  0.448
89  	  R  	  0.157  	  0.483
90  	  N  	  0.156  	  0.483
91  	  N  	  0.154  	  0.483
92  	  N  	  0.152  	  0.483
93  	  N  	  0.151  	  0.483
94  	  N  	  0.149  	  0.483
95  	  N  	  0.147  	  0.483
96  	  N  	  0.146  	  0.483
97  	  N  	  0.144  	  0.483
98  	  N  	  0.143  	  0.483
99  	  R  	  0.152  	  0.517
100  	  N  	  0.150  	  0.517
