Query 3: intermediate languages used in construction of multi targeted compilers tcoll

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  N  	  0.000  	  0.000
03  	  N  	  0.000  	  0.000
04  	  N  	  0.000  	  0.000
05  	  N  	  0.000  	  0.000
06  	  N  	  0.000  	  0.000
07  	  N  	  0.000  	  0.000
08  	  N  	  0.000  	  0.000
09  	  N  	  0.000  	  0.000
10  	  N  	  0.000  	  0.000
11  	  N  	  0.000  	  0.000
12  	  N  	  0.000  	  0.000
13  	  N  	  0.000  	  0.000
14  	  N  	  0.000  	  0.000
15  	  N  	  0.000  	  0.000
16  	  N  	  0.000  	  0.000
17  	  N  	  0.000  	  0.000
18  	  N  	  0.000  	  0.000
19  	  N  	  0.000  	  0.000
20  	  R  	  0.050  	  0.167
21  	  N  	  0.048  	  0.167
22  	  N  	  0.045  	  0.167
23  	  N  	  0.043  	  0.167
24  	  N  	  0.042  	  0.167
25  	  N  	  0.040  	  0.167
26  	  N  	  0.038  	  0.167
27  	  N  	  0.037  	  0.167
28  	  N  	  0.036  	  0.167
29  	  N  	  0.034  	  0.167
30  	  N  	  0.033  	  0.167
31  	  N  	  0.032  	  0.167
32  	  N  	  0.031  	  0.167
33  	  N  	  0.030  	  0.167
34  	  N  	  0.029  	  0.167
35  	  N  	  0.029  	  0.167
36  	  N  	  0.028  	  0.167
37  	  N  	  0.027  	  0.167
38  	  N  	  0.026  	  0.167
39  	  N  	  0.026  	  0.167
40  	  N  	  0.025  	  0.167
41  	  N  	  0.024  	  0.167
42  	  N  	  0.024  	  0.167
43  	  N  	  0.023  	  0.167
44  	  N  	  0.023  	  0.167
45  	  N  	  0.022  	  0.167
46  	  N  	  0.022  	  0.167
47  	  N  	  0.021  	  0.167
48  	  N  	  0.021  	  0.167
49  	  N  	  0.020  	  0.167
50  	  N  	  0.020  	  0.167
51  	  N  	  0.020  	  0.167
52  	  N  	  0.019  	  0.167
53  	  N  	  0.019  	  0.167
54  	  N  	  0.019  	  0.167
55  	  N  	  0.018  	  0.167
56  	  N  	  0.018  	  0.167
57  	  N  	  0.018  	  0.167
58  	  N  	  0.017  	  0.167
59  	  N  	  0.017  	  0.167
60  	  N  	  0.017  	  0.167
61  	  N  	  0.016  	  0.167
62  	  N  	  0.016  	  0.167
63  	  N  	  0.016  	  0.167
64  	  N  	  0.016  	  0.167
65  	  N  	  0.015  	  0.167
66  	  N  	  0.015  	  0.167
67  	  N  	  0.015  	  0.167
68  	  N  	  0.015  	  0.167
69  	  N  	  0.014  	  0.167
70  	  N  	  0.014  	  0.167
71  	  N  	  0.014  	  0.167
72  	  N  	  0.014  	  0.167
73  	  N  	  0.014  	  0.167
74  	  N  	  0.014  	  0.167
75  	  N  	  0.013  	  0.167
76  	  N  	  0.013  	  0.167
77  	  N  	  0.013  	  0.167
78  	  N  	  0.013  	  0.167
79  	  N  	  0.013  	  0.167
80  	  R  	  0.025  	  0.333
81  	  N  	  0.025  	  0.333
82  	  N  	  0.024  	  0.333
83  	  N  	  0.024  	  0.333
84  	  N  	  0.024  	  0.333
85  	  N  	  0.024  	  0.333
86  	  N  	  0.023  	  0.333
87  	  N  	  0.023  	  0.333
88  	  N  	  0.023  	  0.333
89  	  N  	  0.022  	  0.333
90  	  N  	  0.022  	  0.333
91  	  N  	  0.022  	  0.333
92  	  N  	  0.022  	  0.333
93  	  N  	  0.022  	  0.333
94  	  N  	  0.021  	  0.333
95  	  N  	  0.021  	  0.333
96  	  N  	  0.021  	  0.333
97  	  N  	  0.021  	  0.333
98  	  N  	  0.020  	  0.333
99  	  N  	  0.020  	  0.333
100  	  N  	  0.020  	  0.333
