Query 36: fast algorithm for context free language recognition or parsing

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.050
02  	  R  	  1.000  	  0.100
03  	  N  	  0.667  	  0.100
04  	  N  	  0.500  	  0.100
05  	  N  	  0.400  	  0.100
06  	  N  	  0.333  	  0.100
07  	  R  	  0.429  	  0.150
08  	  N  	  0.375  	  0.150
09  	  R  	  0.444  	  0.200
10  	  N  	  0.400  	  0.200
11  	  R  	  0.455  	  0.250
12  	  R  	  0.500  	  0.300
13  	  N  	  0.462  	  0.300
14  	  N  	  0.429  	  0.300
15  	  N  	  0.400  	  0.300
16  	  N  	  0.375  	  0.300
17  	  R  	  0.412  	  0.350
18  	  R  	  0.444  	  0.400
19  	  R  	  0.474  	  0.450
20  	  N  	  0.450  	  0.450
21  	  N  	  0.429  	  0.450
22  	  R  	  0.455  	  0.500
23  	  R  	  0.478  	  0.550
24  	  R  	  0.500  	  0.600
25  	  R  	  0.520  	  0.650
26  	  N  	  0.500  	  0.650
27  	  N  	  0.481  	  0.650
28  	  N  	  0.464  	  0.650
29  	  N  	  0.448  	  0.650
30  	  N  	  0.433  	  0.650
31  	  R  	  0.452  	  0.700
32  	  N  	  0.438  	  0.700
33  	  N  	  0.424  	  0.700
34  	  N  	  0.412  	  0.700
35  	  N  	  0.400  	  0.700
36  	  N  	  0.389  	  0.700
37  	  N  	  0.378  	  0.700
38  	  N  	  0.368  	  0.700
39  	  N  	  0.359  	  0.700
40  	  N  	  0.350  	  0.700
41  	  N  	  0.341  	  0.700
42  	  N  	  0.333  	  0.700
43  	  N  	  0.326  	  0.700
44  	  N  	  0.318  	  0.700
45  	  N  	  0.311  	  0.700
46  	  N  	  0.304  	  0.700
47  	  N  	  0.298  	  0.700
48  	  N  	  0.292  	  0.700
49  	  N  	  0.286  	  0.700
50  	  N  	  0.280  	  0.700
51  	  N  	  0.275  	  0.700
52  	  N  	  0.269  	  0.700
53  	  N  	  0.264  	  0.700
54  	  N  	  0.259  	  0.700
55  	  N  	  0.255  	  0.700
56  	  N  	  0.250  	  0.700
57  	  N  	  0.246  	  0.700
58  	  N  	  0.241  	  0.700
59  	  N  	  0.237  	  0.700
60  	  N  	  0.233  	  0.700
61  	  N  	  0.230  	  0.700
62  	  N  	  0.226  	  0.700
63  	  N  	  0.222  	  0.700
64  	  N  	  0.219  	  0.700
65  	  N  	  0.215  	  0.700
66  	  N  	  0.212  	  0.700
67  	  N  	  0.209  	  0.700
68  	  N  	  0.206  	  0.700
69  	  N  	  0.203  	  0.700
70  	  N  	  0.200  	  0.700
71  	  N  	  0.197  	  0.700
72  	  N  	  0.194  	  0.700
73  	  N  	  0.192  	  0.700
74  	  N  	  0.189  	  0.700
75  	  N  	  0.187  	  0.700
76  	  N  	  0.184  	  0.700
77  	  N  	  0.182  	  0.700
78  	  N  	  0.179  	  0.700
79  	  N  	  0.177  	  0.700
80  	  N  	  0.175  	  0.700
81  	  N  	  0.173  	  0.700
82  	  N  	  0.171  	  0.700
83  	  N  	  0.169  	  0.700
84  	  N  	  0.167  	  0.700
85  	  N  	  0.165  	  0.700
86  	  N  	  0.163  	  0.700
87  	  R  	  0.172  	  0.750
88  	  N  	  0.170  	  0.750
89  	  N  	  0.169  	  0.750
90  	  N  	  0.167  	  0.750
91  	  N  	  0.165  	  0.750
92  	  N  	  0.163  	  0.750
93  	  N  	  0.161  	  0.750
94  	  N  	  0.160  	  0.750
95  	  N  	  0.158  	  0.750
96  	  N  	  0.156  	  0.750
97  	  N  	  0.155  	  0.750
98  	  N  	  0.153  	  0.750
99  	  N  	  0.152  	  0.750
100  	  N  	  0.150  	  0.750
