Query 38: what is the type of a module i don t want the entire literature on abstract data types here but i m not sure how to phrase this to avoid it i m interested in questions about how one can check that a module matches contexts in which it is used

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  R  	  0.500  	  0.062
03  	  N  	  0.333  	  0.062
04  	  N  	  0.250  	  0.062
05  	  N  	  0.200  	  0.062
06  	  R  	  0.333  	  0.125
07  	  N  	  0.286  	  0.125
08  	  N  	  0.250  	  0.125
09  	  N  	  0.222  	  0.125
10  	  R  	  0.300  	  0.188
11  	  R  	  0.364  	  0.250
12  	  N  	  0.333  	  0.250
13  	  R  	  0.385  	  0.312
14  	  N  	  0.357  	  0.312
15  	  R  	  0.400  	  0.375
16  	  R  	  0.438  	  0.438
17  	  N  	  0.412  	  0.438
18  	  N  	  0.389  	  0.438
19  	  N  	  0.368  	  0.438
20  	  N  	  0.350  	  0.438
21  	  N  	  0.333  	  0.438
22  	  R  	  0.364  	  0.500
23  	  N  	  0.348  	  0.500
24  	  N  	  0.333  	  0.500
25  	  N  	  0.320  	  0.500
26  	  N  	  0.308  	  0.500
27  	  N  	  0.296  	  0.500
28  	  N  	  0.286  	  0.500
29  	  N  	  0.276  	  0.500
30  	  R  	  0.300  	  0.562
31  	  N  	  0.290  	  0.562
32  	  N  	  0.281  	  0.562
33  	  N  	  0.273  	  0.562
34  	  N  	  0.265  	  0.562
35  	  N  	  0.257  	  0.562
36  	  N  	  0.250  	  0.562
37  	  N  	  0.243  	  0.562
38  	  N  	  0.237  	  0.562
39  	  N  	  0.231  	  0.562
40  	  N  	  0.225  	  0.562
41  	  N  	  0.220  	  0.562
42  	  N  	  0.214  	  0.562
43  	  N  	  0.209  	  0.562
44  	  N  	  0.205  	  0.562
45  	  R  	  0.222  	  0.625
46  	  N  	  0.217  	  0.625
47  	  R  	  0.234  	  0.688
48  	  N  	  0.229  	  0.688
49  	  N  	  0.224  	  0.688
50  	  N  	  0.220  	  0.688
51  	  N  	  0.216  	  0.688
52  	  N  	  0.212  	  0.688
53  	  N  	  0.208  	  0.688
54  	  N  	  0.204  	  0.688
55  	  N  	  0.200  	  0.688
56  	  R  	  0.214  	  0.750
57  	  N  	  0.211  	  0.750
58  	  N  	  0.207  	  0.750
59  	  N  	  0.203  	  0.750
60  	  N  	  0.200  	  0.750
61  	  N  	  0.197  	  0.750
62  	  N  	  0.194  	  0.750
63  	  N  	  0.190  	  0.750
64  	  N  	  0.188  	  0.750
65  	  N  	  0.185  	  0.750
66  	  N  	  0.182  	  0.750
67  	  N  	  0.179  	  0.750
68  	  N  	  0.176  	  0.750
69  	  N  	  0.174  	  0.750
70  	  N  	  0.171  	  0.750
71  	  N  	  0.169  	  0.750
72  	  N  	  0.167  	  0.750
73  	  N  	  0.164  	  0.750
74  	  N  	  0.162  	  0.750
75  	  N  	  0.160  	  0.750
76  	  N  	  0.158  	  0.750
77  	  N  	  0.156  	  0.750
78  	  N  	  0.154  	  0.750
79  	  N  	  0.152  	  0.750
80  	  N  	  0.150  	  0.750
81  	  N  	  0.148  	  0.750
82  	  N  	  0.146  	  0.750
83  	  N  	  0.145  	  0.750
84  	  N  	  0.143  	  0.750
85  	  N  	  0.141  	  0.750
86  	  N  	  0.140  	  0.750
87  	  N  	  0.138  	  0.750
88  	  N  	  0.136  	  0.750
89  	  N  	  0.135  	  0.750
90  	  N  	  0.133  	  0.750
91  	  N  	  0.132  	  0.750
92  	  N  	  0.130  	  0.750
93  	  N  	  0.129  	  0.750
94  	  N  	  0.128  	  0.750
95  	  N  	  0.126  	  0.750
96  	  N  	  0.125  	  0.750
97  	  N  	  0.124  	  0.750
98  	  N  	  0.122  	  0.750
99  	  N  	  0.121  	  0.750
100  	  N  	  0.120  	  0.750
