Query 39: what does type compatibility mean in languages that allow programmer defined types you might want to restrict this to extensible languages that allow definition of abstract data types or programmer supplied definitions of operators like

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.083
02  	  N  	  0.500  	  0.083
03  	  N  	  0.333  	  0.083
04  	  R  	  0.500  	  0.167
05  	  N  	  0.400  	  0.167
06  	  N  	  0.333  	  0.167
07  	  R  	  0.429  	  0.250
08  	  N  	  0.375  	  0.250
09  	  N  	  0.333  	  0.250
10  	  N  	  0.300  	  0.250
11  	  N  	  0.273  	  0.250
12  	  N  	  0.250  	  0.250
13  	  N  	  0.231  	  0.250
14  	  N  	  0.214  	  0.250
15  	  N  	  0.200  	  0.250
16  	  N  	  0.188  	  0.250
17  	  N  	  0.176  	  0.250
18  	  N  	  0.167  	  0.250
19  	  N  	  0.158  	  0.250
20  	  N  	  0.150  	  0.250
21  	  N  	  0.143  	  0.250
22  	  N  	  0.136  	  0.250
23  	  R  	  0.174  	  0.333
24  	  N  	  0.167  	  0.333
25  	  N  	  0.160  	  0.333
26  	  N  	  0.154  	  0.333
27  	  N  	  0.148  	  0.333
28  	  N  	  0.143  	  0.333
29  	  R  	  0.172  	  0.417
30  	  N  	  0.167  	  0.417
31  	  N  	  0.161  	  0.417
32  	  N  	  0.156  	  0.417
33  	  N  	  0.152  	  0.417
34  	  R  	  0.176  	  0.500
35  	  R  	  0.200  	  0.583
36  	  N  	  0.194  	  0.583
37  	  N  	  0.189  	  0.583
38  	  N  	  0.184  	  0.583
39  	  N  	  0.179  	  0.583
40  	  N  	  0.175  	  0.583
41  	  N  	  0.171  	  0.583
42  	  N  	  0.167  	  0.583
43  	  N  	  0.163  	  0.583
44  	  N  	  0.159  	  0.583
45  	  N  	  0.156  	  0.583
46  	  N  	  0.152  	  0.583
47  	  N  	  0.149  	  0.583
48  	  N  	  0.146  	  0.583
49  	  N  	  0.143  	  0.583
50  	  N  	  0.140  	  0.583
51  	  N  	  0.137  	  0.583
52  	  R  	  0.154  	  0.667
53  	  N  	  0.151  	  0.667
54  	  N  	  0.148  	  0.667
55  	  R  	  0.164  	  0.750
56  	  N  	  0.161  	  0.750
57  	  N  	  0.158  	  0.750
58  	  N  	  0.155  	  0.750
59  	  R  	  0.169  	  0.833
60  	  N  	  0.167  	  0.833
61  	  N  	  0.164  	  0.833
62  	  N  	  0.161  	  0.833
63  	  N  	  0.159  	  0.833
64  	  N  	  0.156  	  0.833
65  	  N  	  0.154  	  0.833
66  	  N  	  0.152  	  0.833
67  	  N  	  0.149  	  0.833
68  	  N  	  0.147  	  0.833
69  	  N  	  0.145  	  0.833
70  	  N  	  0.143  	  0.833
71  	  N  	  0.141  	  0.833
72  	  N  	  0.139  	  0.833
73  	  N  	  0.137  	  0.833
74  	  N  	  0.135  	  0.833
75  	  N  	  0.133  	  0.833
76  	  N  	  0.132  	  0.833
77  	  N  	  0.130  	  0.833
78  	  N  	  0.128  	  0.833
79  	  N  	  0.127  	  0.833
80  	  N  	  0.125  	  0.833
81  	  N  	  0.123  	  0.833
82  	  N  	  0.122  	  0.833
83  	  N  	  0.120  	  0.833
84  	  N  	  0.119  	  0.833
85  	  N  	  0.118  	  0.833
86  	  N  	  0.116  	  0.833
87  	  N  	  0.115  	  0.833
88  	  N  	  0.114  	  0.833
89  	  N  	  0.112  	  0.833
90  	  N  	  0.111  	  0.833
91  	  N  	  0.110  	  0.833
92  	  N  	  0.109  	  0.833
93  	  N  	  0.108  	  0.833
94  	  N  	  0.106  	  0.833
95  	  R  	  0.116  	  0.917
96  	  N  	  0.115  	  0.917
97  	  N  	  0.113  	  0.917
98  	  N  	  0.112  	  0.917
99  	  N  	  0.111  	  0.917
100  	  N  	  0.110  	  0.917
