Query 40: list all articles dealing with data types in the following languages that are referenced frequently in papers on the above languages e g catch any languages with interesting type structures that i might have missed

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  N  	  0.000  	  0.000
03  	  R  	  0.333  	  0.100
04  	  N  	  0.250  	  0.100
05  	  N  	  0.200  	  0.100
06  	  R  	  0.333  	  0.200
07  	  N  	  0.286  	  0.200
08  	  N  	  0.250  	  0.200
09  	  N  	  0.222  	  0.200
10  	  N  	  0.200  	  0.200
11  	  N  	  0.182  	  0.200
12  	  N  	  0.167  	  0.200
13  	  N  	  0.154  	  0.200
14  	  N  	  0.143  	  0.200
15  	  N  	  0.133  	  0.200
16  	  N  	  0.125  	  0.200
17  	  N  	  0.118  	  0.200
18  	  N  	  0.111  	  0.200
19  	  N  	  0.105  	  0.200
20  	  N  	  0.100  	  0.200
21  	  N  	  0.095  	  0.200
22  	  N  	  0.091  	  0.200
23  	  N  	  0.087  	  0.200
24  	  N  	  0.083  	  0.200
25  	  N  	  0.080  	  0.200
26  	  N  	  0.077  	  0.200
27  	  N  	  0.074  	  0.200
28  	  N  	  0.071  	  0.200
29  	  N  	  0.069  	  0.200
30  	  N  	  0.067  	  0.200
31  	  N  	  0.065  	  0.200
32  	  N  	  0.062  	  0.200
33  	  N  	  0.061  	  0.200
34  	  N  	  0.059  	  0.200
35  	  N  	  0.057  	  0.200
36  	  N  	  0.056  	  0.200
37  	  N  	  0.054  	  0.200
38  	  N  	  0.053  	  0.200
39  	  N  	  0.051  	  0.200
40  	  R  	  0.075  	  0.300
41  	  N  	  0.073  	  0.300
42  	  N  	  0.071  	  0.300
43  	  R  	  0.093  	  0.400
44  	  N  	  0.091  	  0.400
45  	  N  	  0.089  	  0.400
46  	  R  	  0.109  	  0.500
47  	  N  	  0.106  	  0.500
48  	  N  	  0.104  	  0.500
49  	  R  	  0.122  	  0.600
50  	  R  	  0.140  	  0.700
51  	  N  	  0.137  	  0.700
52  	  N  	  0.135  	  0.700
53  	  N  	  0.132  	  0.700
54  	  N  	  0.130  	  0.700
55  	  N  	  0.127  	  0.700
56  	  N  	  0.125  	  0.700
57  	  N  	  0.123  	  0.700
58  	  N  	  0.121  	  0.700
59  	  N  	  0.119  	  0.700
60  	  N  	  0.117  	  0.700
61  	  N  	  0.115  	  0.700
62  	  N  	  0.113  	  0.700
63  	  N  	  0.111  	  0.700
64  	  N  	  0.109  	  0.700
65  	  N  	  0.108  	  0.700
66  	  N  	  0.106  	  0.700
67  	  N  	  0.104  	  0.700
68  	  N  	  0.103  	  0.700
69  	  N  	  0.101  	  0.700
70  	  N  	  0.100  	  0.700
71  	  N  	  0.099  	  0.700
72  	  N  	  0.097  	  0.700
73  	  N  	  0.096  	  0.700
74  	  N  	  0.095  	  0.700
75  	  N  	  0.093  	  0.700
76  	  N  	  0.092  	  0.700
77  	  R  	  0.104  	  0.800
78  	  N  	  0.103  	  0.800
79  	  N  	  0.101  	  0.800
80  	  N  	  0.100  	  0.800
81  	  N  	  0.099  	  0.800
82  	  N  	  0.098  	  0.800
83  	  N  	  0.096  	  0.800
84  	  N  	  0.095  	  0.800
85  	  N  	  0.094  	  0.800
86  	  N  	  0.093  	  0.800
87  	  N  	  0.092  	  0.800
88  	  N  	  0.091  	  0.800
89  	  N  	  0.090  	  0.800
90  	  N  	  0.089  	  0.800
91  	  N  	  0.088  	  0.800
92  	  N  	  0.087  	  0.800
93  	  N  	  0.086  	  0.800
94  	  N  	  0.085  	  0.800
95  	  N  	  0.084  	  0.800
96  	  N  	  0.083  	  0.800
97  	  N  	  0.082  	  0.800
98  	  N  	  0.082  	  0.800
99  	  N  	  0.081  	  0.800
100  	  N  	  0.080  	  0.800
