Query 42: computer performance evaluation techniques using pattern recognition and clustering la 70803

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  N  	  0.000  	  0.000
03  	  N  	  0.000  	  0.000
04  	  N  	  0.000  	  0.000
05  	  N  	  0.000  	  0.000
06  	  R  	  0.167  	  0.048
07  	  N  	  0.143  	  0.048
08  	  N  	  0.125  	  0.048
09  	  N  	  0.111  	  0.048
10  	  N  	  0.100  	  0.048
11  	  R  	  0.182  	  0.095
12  	  N  	  0.167  	  0.095
13  	  N  	  0.154  	  0.095
14  	  N  	  0.143  	  0.095
15  	  N  	  0.133  	  0.095
16  	  N  	  0.125  	  0.095
17  	  R  	  0.176  	  0.143
18  	  N  	  0.167  	  0.143
19  	  N  	  0.158  	  0.143
20  	  N  	  0.150  	  0.143
21  	  N  	  0.143  	  0.143
22  	  N  	  0.136  	  0.143
23  	  N  	  0.130  	  0.143
24  	  N  	  0.125  	  0.143
25  	  N  	  0.120  	  0.143
26  	  N  	  0.115  	  0.143
27  	  R  	  0.148  	  0.190
28  	  R  	  0.179  	  0.238
29  	  N  	  0.172  	  0.238
30  	  N  	  0.167  	  0.238
31  	  N  	  0.161  	  0.238
32  	  N  	  0.156  	  0.238
33  	  N  	  0.152  	  0.238
34  	  N  	  0.147  	  0.238
35  	  N  	  0.143  	  0.238
36  	  N  	  0.139  	  0.238
37  	  N  	  0.135  	  0.238
38  	  N  	  0.132  	  0.238
39  	  N  	  0.128  	  0.238
40  	  N  	  0.125  	  0.238
41  	  N  	  0.122  	  0.238
42  	  N  	  0.119  	  0.238
43  	  N  	  0.116  	  0.238
44  	  N  	  0.114  	  0.238
45  	  N  	  0.111  	  0.238
46  	  N  	  0.109  	  0.238
47  	  R  	  0.128  	  0.286
48  	  N  	  0.125  	  0.286
49  	  N  	  0.122  	  0.286
50  	  N  	  0.120  	  0.286
51  	  N  	  0.118  	  0.286
52  	  N  	  0.115  	  0.286
53  	  N  	  0.113  	  0.286
54  	  N  	  0.111  	  0.286
55  	  N  	  0.109  	  0.286
56  	  N  	  0.107  	  0.286
57  	  N  	  0.105  	  0.286
58  	  R  	  0.121  	  0.333
59  	  N  	  0.119  	  0.333
60  	  N  	  0.117  	  0.333
61  	  N  	  0.115  	  0.333
62  	  N  	  0.113  	  0.333
63  	  N  	  0.111  	  0.333
64  	  N  	  0.109  	  0.333
65  	  N  	  0.108  	  0.333
66  	  N  	  0.106  	  0.333
67  	  N  	  0.104  	  0.333
68  	  N  	  0.103  	  0.333
69  	  N  	  0.101  	  0.333
70  	  N  	  0.100  	  0.333
71  	  N  	  0.099  	  0.333
72  	  N  	  0.097  	  0.333
73  	  N  	  0.096  	  0.333
74  	  N  	  0.095  	  0.333
75  	  N  	  0.093  	  0.333
76  	  N  	  0.092  	  0.333
77  	  N  	  0.091  	  0.333
78  	  R  	  0.103  	  0.381
79  	  N  	  0.101  	  0.381
80  	  N  	  0.100  	  0.381
81  	  N  	  0.099  	  0.381
82  	  N  	  0.098  	  0.381
83  	  N  	  0.096  	  0.381
84  	  N  	  0.095  	  0.381
85  	  N  	  0.094  	  0.381
86  	  N  	  0.093  	  0.381
87  	  N  	  0.092  	  0.381
88  	  N  	  0.091  	  0.381
89  	  N  	  0.090  	  0.381
90  	  N  	  0.089  	  0.381
91  	  N  	  0.088  	  0.381
92  	  N  	  0.087  	  0.381
93  	  N  	  0.086  	  0.381
94  	  N  	  0.085  	  0.381
95  	  N  	  0.084  	  0.381
96  	  N  	  0.083  	  0.381
97  	  N  	  0.082  	  0.381
98  	  N  	  0.082  	  0.381
99  	  N  	  0.081  	  0.381
100  	  R  	  0.090  	  0.429
