Query 43: analysis and perception of shape by humans and computers shape descriptions shape recognition by computer two dimensional shapes measures of circularity shape matching

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  N  	  0.000  	  0.000
03  	  N  	  0.000  	  0.000
04  	  N  	  0.000  	  0.000
05  	  R  	  0.200  	  0.024
06  	  N  	  0.167  	  0.024
07  	  R  	  0.286  	  0.049
08  	  N  	  0.250  	  0.049
09  	  N  	  0.222  	  0.049
10  	  N  	  0.200  	  0.049
11  	  R  	  0.273  	  0.073
12  	  N  	  0.250  	  0.073
13  	  R  	  0.308  	  0.098
14  	  R  	  0.357  	  0.122
15  	  N  	  0.333  	  0.122
16  	  R  	  0.375  	  0.146
17  	  R  	  0.412  	  0.171
18  	  N  	  0.389  	  0.171
19  	  N  	  0.368  	  0.171
20  	  N  	  0.350  	  0.171
21  	  N  	  0.333  	  0.171
22  	  N  	  0.318  	  0.171
23  	  N  	  0.304  	  0.171
24  	  N  	  0.292  	  0.171
25  	  R  	  0.320  	  0.195
26  	  N  	  0.308  	  0.195
27  	  N  	  0.296  	  0.195
28  	  R  	  0.321  	  0.220
29  	  R  	  0.345  	  0.244
30  	  N  	  0.333  	  0.244
31  	  N  	  0.323  	  0.244
32  	  R  	  0.344  	  0.268
33  	  N  	  0.333  	  0.268
34  	  N  	  0.324  	  0.268
35  	  N  	  0.314  	  0.268
36  	  N  	  0.306  	  0.268
37  	  N  	  0.297  	  0.268
38  	  R  	  0.316  	  0.293
39  	  N  	  0.308  	  0.293
40  	  N  	  0.300  	  0.293
41  	  N  	  0.293  	  0.293
42  	  N  	  0.286  	  0.293
43  	  R  	  0.302  	  0.317
44  	  N  	  0.295  	  0.317
45  	  N  	  0.289  	  0.317
46  	  N  	  0.283  	  0.317
47  	  N  	  0.277  	  0.317
48  	  N  	  0.271  	  0.317
49  	  N  	  0.265  	  0.317
50  	  N  	  0.260  	  0.317
51  	  N  	  0.255  	  0.317
52  	  N  	  0.250  	  0.317
53  	  N  	  0.245  	  0.317
54  	  N  	  0.241  	  0.317
55  	  N  	  0.236  	  0.317
56  	  R  	  0.250  	  0.341
57  	  N  	  0.246  	  0.341
58  	  N  	  0.241  	  0.341
59  	  N  	  0.237  	  0.341
60  	  N  	  0.233  	  0.341
61  	  R  	  0.246  	  0.366
62  	  N  	  0.242  	  0.366
63  	  N  	  0.238  	  0.366
64  	  N  	  0.234  	  0.366
65  	  N  	  0.231  	  0.366
66  	  N  	  0.227  	  0.366
67  	  N  	  0.224  	  0.366
68  	  N  	  0.221  	  0.366
69  	  N  	  0.217  	  0.366
70  	  N  	  0.214  	  0.366
71  	  N  	  0.211  	  0.366
72  	  N  	  0.208  	  0.366
73  	  N  	  0.205  	  0.366
74  	  R  	  0.216  	  0.390
75  	  N  	  0.213  	  0.390
76  	  N  	  0.211  	  0.390
77  	  N  	  0.208  	  0.390
78  	  N  	  0.205  	  0.390
79  	  N  	  0.203  	  0.390
80  	  N  	  0.200  	  0.390
81  	  N  	  0.198  	  0.390
82  	  N  	  0.195  	  0.390
83  	  N  	  0.193  	  0.390
84  	  N  	  0.190  	  0.390
85  	  N  	  0.188  	  0.390
86  	  N  	  0.186  	  0.390
87  	  N  	  0.184  	  0.390
88  	  N  	  0.182  	  0.390
89  	  N  	  0.180  	  0.390
90  	  R  	  0.189  	  0.415
91  	  N  	  0.187  	  0.415
92  	  N  	  0.185  	  0.415
93  	  N  	  0.183  	  0.415
94  	  N  	  0.181  	  0.415
95  	  N  	  0.179  	  0.415
96  	  N  	  0.177  	  0.415
97  	  N  	  0.175  	  0.415
98  	  N  	  0.173  	  0.415
99  	  N  	  0.172  	  0.415
100  	  N  	  0.170  	  0.415
