Query 45: the use of operations research models to optimize information system performance this includes fine tuning decisions such as secondary index selection file reorganization and distributed databases

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.038
02  	  R  	  1.000  	  0.077
03  	  N  	  0.667  	  0.077
04  	  R  	  0.750  	  0.115
05  	  N  	  0.600  	  0.115
06  	  R  	  0.667  	  0.154
07  	  N  	  0.571  	  0.154
08  	  N  	  0.500  	  0.154
09  	  N  	  0.444  	  0.154
10  	  N  	  0.400  	  0.154
11  	  R  	  0.455  	  0.192
12  	  R  	  0.500  	  0.231
13  	  N  	  0.462  	  0.231
14  	  N  	  0.429  	  0.231
15  	  N  	  0.400  	  0.231
16  	  N  	  0.375  	  0.231
17  	  N  	  0.353  	  0.231
18  	  N  	  0.333  	  0.231
19  	  N  	  0.316  	  0.231
20  	  N  	  0.300  	  0.231
21  	  R  	  0.333  	  0.269
22  	  N  	  0.318  	  0.269
23  	  N  	  0.304  	  0.269
24  	  N  	  0.292  	  0.269
25  	  N  	  0.280  	  0.269
26  	  N  	  0.269  	  0.269
27  	  N  	  0.259  	  0.269
28  	  N  	  0.250  	  0.269
29  	  N  	  0.241  	  0.269
30  	  N  	  0.233  	  0.269
31  	  N  	  0.226  	  0.269
32  	  N  	  0.219  	  0.269
33  	  N  	  0.212  	  0.269
34  	  N  	  0.206  	  0.269
35  	  N  	  0.200  	  0.269
36  	  N  	  0.194  	  0.269
37  	  N  	  0.189  	  0.269
38  	  N  	  0.184  	  0.269
39  	  N  	  0.179  	  0.269
40  	  N  	  0.175  	  0.269
41  	  N  	  0.171  	  0.269
42  	  N  	  0.167  	  0.269
43  	  N  	  0.163  	  0.269
44  	  N  	  0.159  	  0.269
45  	  N  	  0.156  	  0.269
46  	  R  	  0.174  	  0.308
47  	  N  	  0.170  	  0.308
48  	  N  	  0.167  	  0.308
49  	  N  	  0.163  	  0.308
50  	  N  	  0.160  	  0.308
51  	  N  	  0.157  	  0.308
52  	  N  	  0.154  	  0.308
53  	  N  	  0.151  	  0.308
54  	  N  	  0.148  	  0.308
55  	  N  	  0.145  	  0.308
56  	  N  	  0.143  	  0.308
57  	  N  	  0.140  	  0.308
58  	  N  	  0.138  	  0.308
59  	  N  	  0.136  	  0.308
60  	  N  	  0.133  	  0.308
61  	  N  	  0.131  	  0.308
62  	  N  	  0.129  	  0.308
63  	  N  	  0.127  	  0.308
64  	  N  	  0.125  	  0.308
65  	  N  	  0.123  	  0.308
66  	  N  	  0.121  	  0.308
67  	  N  	  0.119  	  0.308
68  	  N  	  0.118  	  0.308
69  	  N  	  0.116  	  0.308
70  	  N  	  0.114  	  0.308
71  	  R  	  0.127  	  0.346
72  	  N  	  0.125  	  0.346
73  	  N  	  0.123  	  0.346
74  	  N  	  0.122  	  0.346
75  	  N  	  0.120  	  0.346
76  	  N  	  0.118  	  0.346
77  	  N  	  0.117  	  0.346
78  	  N  	  0.115  	  0.346
79  	  N  	  0.114  	  0.346
80  	  N  	  0.113  	  0.346
81  	  N  	  0.111  	  0.346
82  	  N  	  0.110  	  0.346
83  	  N  	  0.108  	  0.346
84  	  R  	  0.119  	  0.385
85  	  N  	  0.118  	  0.385
86  	  N  	  0.116  	  0.385
87  	  N  	  0.115  	  0.385
88  	  N  	  0.114  	  0.385
89  	  N  	  0.112  	  0.385
90  	  N  	  0.111  	  0.385
91  	  R  	  0.121  	  0.423
92  	  N  	  0.120  	  0.423
93  	  N  	  0.118  	  0.423
94  	  N  	  0.117  	  0.423
95  	  N  	  0.116  	  0.423
96  	  N  	  0.115  	  0.423
97  	  R  	  0.124  	  0.462
98  	  N  	  0.122  	  0.462
99  	  N  	  0.121  	  0.462
100  	  N  	  0.120  	  0.462
