Query 58: algorithms or statistical packages for anova regression using least squares or generalized linear models system design capabilities statistical formula are of interest student s t test wilcoxon and sign tests multivariate and univariate components can be included

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.033
02  	  R  	  1.000  	  0.067
03  	  R  	  1.000  	  0.100
04  	  N  	  0.750  	  0.100
05  	  N  	  0.600  	  0.100
06  	  N  	  0.500  	  0.100
07  	  N  	  0.429  	  0.100
08  	  N  	  0.375  	  0.100
09  	  N  	  0.333  	  0.100
10  	  N  	  0.300  	  0.100
11  	  R  	  0.364  	  0.133
12  	  R  	  0.417  	  0.167
13  	  N  	  0.385  	  0.167
14  	  N  	  0.357  	  0.167
15  	  R  	  0.400  	  0.200
16  	  N  	  0.375  	  0.200
17  	  R  	  0.412  	  0.233
18  	  N  	  0.389  	  0.233
19  	  N  	  0.368  	  0.233
20  	  R  	  0.400  	  0.267
21  	  R  	  0.429  	  0.300
22  	  R  	  0.455  	  0.333
23  	  N  	  0.435  	  0.333
24  	  N  	  0.417  	  0.333
25  	  N  	  0.400  	  0.333
26  	  N  	  0.385  	  0.333
27  	  R  	  0.407  	  0.367
28  	  N  	  0.393  	  0.367
29  	  N  	  0.379  	  0.367
30  	  N  	  0.367  	  0.367
31  	  N  	  0.355  	  0.367
32  	  N  	  0.344  	  0.367
33  	  N  	  0.333  	  0.367
34  	  N  	  0.324  	  0.367
35  	  N  	  0.314  	  0.367
36  	  R  	  0.333  	  0.400
37  	  N  	  0.324  	  0.400
38  	  N  	  0.316  	  0.400
39  	  N  	  0.308  	  0.400
40  	  N  	  0.300  	  0.400
41  	  N  	  0.293  	  0.400
42  	  N  	  0.286  	  0.400
43  	  N  	  0.279  	  0.400
44  	  N  	  0.273  	  0.400
45  	  N  	  0.267  	  0.400
46  	  N  	  0.261  	  0.400
47  	  N  	  0.255  	  0.400
48  	  R  	  0.271  	  0.433
49  	  N  	  0.265  	  0.433
50  	  N  	  0.260  	  0.433
51  	  N  	  0.255  	  0.433
52  	  N  	  0.250  	  0.433
53  	  N  	  0.245  	  0.433
54  	  N  	  0.241  	  0.433
55  	  N  	  0.236  	  0.433
56  	  N  	  0.232  	  0.433
57  	  R  	  0.246  	  0.467
58  	  N  	  0.241  	  0.467
59  	  N  	  0.237  	  0.467
60  	  N  	  0.233  	  0.467
61  	  N  	  0.230  	  0.467
62  	  N  	  0.226  	  0.467
63  	  N  	  0.222  	  0.467
64  	  N  	  0.219  	  0.467
65  	  N  	  0.215  	  0.467
66  	  N  	  0.212  	  0.467
67  	  N  	  0.209  	  0.467
68  	  N  	  0.206  	  0.467
69  	  N  	  0.203  	  0.467
70  	  N  	  0.200  	  0.467
71  	  N  	  0.197  	  0.467
72  	  N  	  0.194  	  0.467
73  	  N  	  0.192  	  0.467
74  	  N  	  0.189  	  0.467
75  	  N  	  0.187  	  0.467
76  	  N  	  0.184  	  0.467
77  	  N  	  0.182  	  0.467
78  	  N  	  0.179  	  0.467
79  	  N  	  0.177  	  0.467
80  	  N  	  0.175  	  0.467
81  	  N  	  0.173  	  0.467
82  	  N  	  0.171  	  0.467
83  	  N  	  0.169  	  0.467
84  	  N  	  0.167  	  0.467
85  	  N  	  0.165  	  0.467
86  	  N  	  0.163  	  0.467
87  	  N  	  0.161  	  0.467
88  	  N  	  0.159  	  0.467
89  	  N  	  0.157  	  0.467
90  	  R  	  0.167  	  0.500
91  	  N  	  0.165  	  0.500
92  	  N  	  0.163  	  0.500
93  	  N  	  0.161  	  0.500
94  	  N  	  0.160  	  0.500
95  	  N  	  0.158  	  0.500
96  	  N  	  0.156  	  0.500
97  	  N  	  0.155  	  0.500
98  	  N  	  0.153  	  0.500
99  	  N  	  0.152  	  0.500
100  	  N  	  0.150  	  0.500
