Query 59: dictionary construction and accessing methods for fast retrieval of words or lexical items or morphologically related information hashing or indexing methods are usually applied to english spelling or natural language problems

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  R  	  0.500  	  0.023
03  	  N  	  0.333  	  0.023
04  	  N  	  0.250  	  0.023
05  	  R  	  0.400  	  0.047
06  	  R  	  0.500  	  0.070
07  	  N  	  0.429  	  0.070
08  	  N  	  0.375  	  0.070
09  	  N  	  0.333  	  0.070
10  	  R  	  0.400  	  0.093
11  	  N  	  0.364  	  0.093
12  	  R  	  0.417  	  0.116
13  	  N  	  0.385  	  0.116
14  	  N  	  0.357  	  0.116
15  	  N  	  0.333  	  0.116
16  	  N  	  0.312  	  0.116
17  	  N  	  0.294  	  0.116
18  	  N  	  0.278  	  0.116
19  	  R  	  0.316  	  0.140
20  	  R  	  0.350  	  0.163
21  	  R  	  0.381  	  0.186
22  	  R  	  0.409  	  0.209
23  	  N  	  0.391  	  0.209
24  	  N  	  0.375  	  0.209
25  	  N  	  0.360  	  0.209
26  	  N  	  0.346  	  0.209
27  	  N  	  0.333  	  0.209
28  	  N  	  0.321  	  0.209
29  	  N  	  0.310  	  0.209
30  	  N  	  0.300  	  0.209
31  	  N  	  0.290  	  0.209
32  	  N  	  0.281  	  0.209
33  	  R  	  0.303  	  0.233
34  	  N  	  0.294  	  0.233
35  	  N  	  0.286  	  0.233
36  	  N  	  0.278  	  0.233
37  	  N  	  0.270  	  0.233
38  	  N  	  0.263  	  0.233
39  	  R  	  0.282  	  0.256
40  	  R  	  0.300  	  0.279
41  	  N  	  0.293  	  0.279
42  	  N  	  0.286  	  0.279
43  	  R  	  0.302  	  0.302
44  	  N  	  0.295  	  0.302
45  	  N  	  0.289  	  0.302
46  	  N  	  0.283  	  0.302
47  	  N  	  0.277  	  0.302
48  	  N  	  0.271  	  0.302
49  	  N  	  0.265  	  0.302
50  	  R  	  0.280  	  0.326
51  	  R  	  0.294  	  0.349
52  	  N  	  0.288  	  0.349
53  	  N  	  0.283  	  0.349
54  	  N  	  0.278  	  0.349
55  	  N  	  0.273  	  0.349
56  	  N  	  0.268  	  0.349
57  	  N  	  0.263  	  0.349
58  	  N  	  0.259  	  0.349
59  	  N  	  0.254  	  0.349
60  	  N  	  0.250  	  0.349
61  	  N  	  0.246  	  0.349
62  	  N  	  0.242  	  0.349
63  	  N  	  0.238  	  0.349
64  	  N  	  0.234  	  0.349
65  	  N  	  0.231  	  0.349
66  	  N  	  0.227  	  0.349
67  	  N  	  0.224  	  0.349
68  	  N  	  0.221  	  0.349
69  	  N  	  0.217  	  0.349
70  	  N  	  0.214  	  0.349
71  	  N  	  0.211  	  0.349
72  	  N  	  0.208  	  0.349
73  	  N  	  0.205  	  0.349
74  	  N  	  0.203  	  0.349
75  	  N  	  0.200  	  0.349
76  	  N  	  0.197  	  0.349
77  	  N  	  0.195  	  0.349
78  	  N  	  0.192  	  0.349
79  	  N  	  0.190  	  0.349
80  	  N  	  0.188  	  0.349
81  	  N  	  0.185  	  0.349
82  	  N  	  0.183  	  0.349
83  	  N  	  0.181  	  0.349
84  	  N  	  0.179  	  0.349
85  	  N  	  0.176  	  0.349
86  	  N  	  0.174  	  0.349
87  	  N  	  0.172  	  0.349
88  	  N  	  0.170  	  0.349
89  	  N  	  0.169  	  0.349
90  	  N  	  0.167  	  0.349
91  	  N  	  0.165  	  0.349
92  	  N  	  0.163  	  0.349
93  	  N  	  0.161  	  0.349
94  	  N  	  0.160  	  0.349
95  	  N  	  0.158  	  0.349
96  	  R  	  0.167  	  0.372
97  	  N  	  0.165  	  0.372
98  	  N  	  0.163  	  0.372
99  	  N  	  0.162  	  0.372
100  	  N  	  0.160  	  0.372
