Query 60: hardware and software relating to database management systems database packages back end computers special associative hardware with microcomputers attached to disk heads or things like rap relational or network codasyl or hierarchical models systems like system r ims adabas total etc

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  R  	  0.500  	  0.037
03  	  R  	  0.667  	  0.074
04  	  N  	  0.500  	  0.074
05  	  N  	  0.400  	  0.074
06  	  R  	  0.500  	  0.111
07  	  N  	  0.429  	  0.111
08  	  N  	  0.375  	  0.111
09  	  N  	  0.333  	  0.111
10  	  N  	  0.300  	  0.111
11  	  N  	  0.273  	  0.111
12  	  R  	  0.333  	  0.148
13  	  N  	  0.308  	  0.148
14  	  N  	  0.286  	  0.148
15  	  N  	  0.267  	  0.148
16  	  R  	  0.312  	  0.185
17  	  R  	  0.353  	  0.222
18  	  N  	  0.333  	  0.222
19  	  R  	  0.368  	  0.259
20  	  N  	  0.350  	  0.259
21  	  N  	  0.333  	  0.259
22  	  R  	  0.364  	  0.296
23  	  R  	  0.391  	  0.333
24  	  N  	  0.375  	  0.333
25  	  N  	  0.360  	  0.333
26  	  R  	  0.385  	  0.370
27  	  N  	  0.370  	  0.370
28  	  N  	  0.357  	  0.370
29  	  N  	  0.345  	  0.370
30  	  N  	  0.333  	  0.370
31  	  N  	  0.323  	  0.370
32  	  N  	  0.312  	  0.370
33  	  N  	  0.303  	  0.370
34  	  N  	  0.294  	  0.370
35  	  R  	  0.314  	  0.407
36  	  N  	  0.306  	  0.407
37  	  N  	  0.297  	  0.407
38  	  N  	  0.289  	  0.407
39  	  N  	  0.282  	  0.407
40  	  N  	  0.275  	  0.407
41  	  N  	  0.268  	  0.407
42  	  N  	  0.262  	  0.407
43  	  R  	  0.279  	  0.444
44  	  N  	  0.273  	  0.444
45  	  N  	  0.267  	  0.444
46  	  N  	  0.261  	  0.444
47  	  N  	  0.255  	  0.444
48  	  N  	  0.250  	  0.444
49  	  N  	  0.245  	  0.444
50  	  R  	  0.260  	  0.481
51  	  R  	  0.275  	  0.519
52  	  N  	  0.269  	  0.519
53  	  R  	  0.283  	  0.556
54  	  N  	  0.278  	  0.556
55  	  N  	  0.273  	  0.556
56  	  N  	  0.268  	  0.556
57  	  N  	  0.263  	  0.556
58  	  N  	  0.259  	  0.556
59  	  R  	  0.271  	  0.593
60  	  N  	  0.267  	  0.593
61  	  R  	  0.279  	  0.630
62  	  N  	  0.274  	  0.630
63  	  N  	  0.270  	  0.630
64  	  N  	  0.266  	  0.630
65  	  N  	  0.262  	  0.630
66  	  N  	  0.258  	  0.630
67  	  N  	  0.254  	  0.630
68  	  N  	  0.250  	  0.630
69  	  N  	  0.246  	  0.630
70  	  N  	  0.243  	  0.630
71  	  N  	  0.239  	  0.630
72  	  N  	  0.236  	  0.630
73  	  N  	  0.233  	  0.630
74  	  N  	  0.230  	  0.630
75  	  N  	  0.227  	  0.630
76  	  N  	  0.224  	  0.630
77  	  N  	  0.221  	  0.630
78  	  N  	  0.218  	  0.630
79  	  N  	  0.215  	  0.630
80  	  N  	  0.212  	  0.630
81  	  N  	  0.210  	  0.630
82  	  N  	  0.207  	  0.630
83  	  N  	  0.205  	  0.630
84  	  N  	  0.202  	  0.630
85  	  N  	  0.200  	  0.630
86  	  N  	  0.198  	  0.630
87  	  N  	  0.195  	  0.630
88  	  N  	  0.193  	  0.630
89  	  N  	  0.191  	  0.630
90  	  N  	  0.189  	  0.630
91  	  N  	  0.187  	  0.630
92  	  N  	  0.185  	  0.630
93  	  N  	  0.183  	  0.630
94  	  N  	  0.181  	  0.630
95  	  N  	  0.179  	  0.630
96  	  N  	  0.177  	  0.630
97  	  N  	  0.175  	  0.630
98  	  N  	  0.173  	  0.630
99  	  N  	  0.172  	  0.630
100  	  N  	  0.170  	  0.630
