Query 62: results relating parallel complexity theory both for pram s and uniform circuits

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  N  	  0.000  	  0.000
03  	  N  	  0.000  	  0.000
04  	  N  	  0.000  	  0.000
05  	  N  	  0.000  	  0.000
06  	  N  	  0.000  	  0.000
07  	  N  	  0.000  	  0.000
08  	  N  	  0.000  	  0.000
09  	  R  	  0.111  	  0.125
10  	  N  	  0.100  	  0.125
11  	  N  	  0.091  	  0.125
12  	  N  	  0.083  	  0.125
13  	  N  	  0.077  	  0.125
14  	  N  	  0.071  	  0.125
15  	  N  	  0.067  	  0.125
16  	  N  	  0.062  	  0.125
17  	  N  	  0.059  	  0.125
18  	  N  	  0.056  	  0.125
19  	  N  	  0.053  	  0.125
20  	  N  	  0.050  	  0.125
21  	  N  	  0.048  	  0.125
22  	  N  	  0.045  	  0.125
23  	  N  	  0.043  	  0.125
24  	  N  	  0.042  	  0.125
25  	  N  	  0.040  	  0.125
26  	  N  	  0.038  	  0.125
27  	  N  	  0.037  	  0.125
28  	  N  	  0.036  	  0.125
29  	  N  	  0.034  	  0.125
30  	  N  	  0.033  	  0.125
31  	  N  	  0.032  	  0.125
32  	  R  	  0.062  	  0.250
33  	  N  	  0.061  	  0.250
34  	  N  	  0.059  	  0.250
35  	  N  	  0.057  	  0.250
36  	  N  	  0.056  	  0.250
37  	  N  	  0.054  	  0.250
38  	  N  	  0.053  	  0.250
39  	  N  	  0.051  	  0.250
40  	  N  	  0.050  	  0.250
41  	  N  	  0.049  	  0.250
42  	  N  	  0.048  	  0.250
43  	  N  	  0.047  	  0.250
44  	  R  	  0.068  	  0.375
45  	  N  	  0.067  	  0.375
46  	  N  	  0.065  	  0.375
47  	  N  	  0.064  	  0.375
48  	  N  	  0.062  	  0.375
49  	  N  	  0.061  	  0.375
50  	  N  	  0.060  	  0.375
51  	  N  	  0.059  	  0.375
52  	  N  	  0.058  	  0.375
53  	  N  	  0.057  	  0.375
54  	  N  	  0.056  	  0.375
55  	  R  	  0.073  	  0.500
56  	  N  	  0.071  	  0.500
57  	  N  	  0.070  	  0.500
58  	  N  	  0.069  	  0.500
59  	  R  	  0.085  	  0.625
60  	  N  	  0.083  	  0.625
61  	  N  	  0.082  	  0.625
62  	  N  	  0.081  	  0.625
63  	  N  	  0.079  	  0.625
64  	  N  	  0.078  	  0.625
65  	  N  	  0.077  	  0.625
66  	  N  	  0.076  	  0.625
67  	  N  	  0.075  	  0.625
68  	  N  	  0.074  	  0.625
69  	  N  	  0.072  	  0.625
70  	  N  	  0.071  	  0.625
71  	  N  	  0.070  	  0.625
72  	  N  	  0.069  	  0.625
73  	  N  	  0.068  	  0.625
74  	  N  	  0.068  	  0.625
75  	  N  	  0.067  	  0.625
76  	  N  	  0.066  	  0.625
77  	  N  	  0.065  	  0.625
78  	  N  	  0.064  	  0.625
79  	  N  	  0.063  	  0.625
80  	  N  	  0.062  	  0.625
81  	  N  	  0.062  	  0.625
82  	  N  	  0.061  	  0.625
83  	  N  	  0.060  	  0.625
84  	  N  	  0.060  	  0.625
85  	  N  	  0.059  	  0.625
86  	  N  	  0.058  	  0.625
87  	  R  	  0.069  	  0.750
88  	  N  	  0.068  	  0.750
89  	  N  	  0.067  	  0.750
90  	  N  	  0.067  	  0.750
91  	  N  	  0.066  	  0.750
92  	  N  	  0.065  	  0.750
93  	  N  	  0.065  	  0.750
94  	  N  	  0.064  	  0.750
95  	  N  	  0.063  	  0.750
96  	  N  	  0.062  	  0.750
97  	  N  	  0.062  	  0.750
98  	  N  	  0.061  	  0.750
99  	  N  	  0.061  	  0.750
100  	  N  	  0.060  	  0.750
