Query 21: computational complexity intractability class complete reductions algorithms and efficiency

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.091
02  	  N  	  0.500  	  0.091
03  	  N  	  0.333  	  0.091
04  	  R  	  0.500  	  0.182
05  	  N  	  0.400  	  0.182
06  	  N  	  0.333  	  0.182
07  	  N  	  0.286  	  0.182
08  	  N  	  0.250  	  0.182
09  	  N  	  0.222  	  0.182
10  	  N  	  0.200  	  0.182
11  	  N  	  0.182  	  0.182
12  	  N  	  0.167  	  0.182
13  	  N  	  0.154  	  0.182
14  	  N  	  0.143  	  0.182
15  	  R  	  0.200  	  0.273
16  	  N  	  0.188  	  0.273
17  	  R  	  0.235  	  0.364
18  	  N  	  0.222  	  0.364
19  	  N  	  0.211  	  0.364
20  	  N  	  0.200  	  0.364
21  	  N  	  0.190  	  0.364
22  	  N  	  0.182  	  0.364
23  	  N  	  0.174  	  0.364
24  	  N  	  0.167  	  0.364
25  	  N  	  0.160  	  0.364
26  	  N  	  0.154  	  0.364
27  	  N  	  0.148  	  0.364
28  	  N  	  0.143  	  0.364
29  	  N  	  0.138  	  0.364
30  	  N  	  0.133  	  0.364
31  	  N  	  0.129  	  0.364
32  	  N  	  0.125  	  0.364
33  	  N  	  0.121  	  0.364
34  	  N  	  0.118  	  0.364
35  	  N  	  0.114  	  0.364
36  	  R  	  0.139  	  0.455
37  	  N  	  0.135  	  0.455
38  	  N  	  0.132  	  0.455
39  	  N  	  0.128  	  0.455
40  	  N  	  0.125  	  0.455
41  	  N  	  0.122  	  0.455
42  	  N  	  0.119  	  0.455
43  	  N  	  0.116  	  0.455
44  	  N  	  0.114  	  0.455
45  	  N  	  0.111  	  0.455
46  	  N  	  0.109  	  0.455
47  	  N  	  0.106  	  0.455
48  	  N  	  0.104  	  0.455
49  	  N  	  0.102  	  0.455
50  	  N  	  0.100  	  0.455
51  	  N  	  0.098  	  0.455
52  	  N  	  0.096  	  0.455
53  	  N  	  0.094  	  0.455
54  	  N  	  0.093  	  0.455
55  	  N  	  0.091  	  0.455
56  	  N  	  0.089  	  0.455
57  	  N  	  0.088  	  0.455
58  	  N  	  0.086  	  0.455
59  	  R  	  0.102  	  0.545
60  	  N  	  0.100  	  0.545
61  	  N  	  0.098  	  0.545
62  	  N  	  0.097  	  0.545
63  	  N  	  0.095  	  0.545
64  	  N  	  0.094  	  0.545
65  	  N  	  0.092  	  0.545
66  	  N  	  0.091  	  0.545
67  	  N  	  0.090  	  0.545
68  	  N  	  0.088  	  0.545
69  	  N  	  0.087  	  0.545
70  	  N  	  0.086  	  0.545
71  	  N  	  0.085  	  0.545
72  	  N  	  0.083  	  0.545
73  	  N  	  0.082  	  0.545
74  	  N  	  0.081  	  0.545
75  	  N  	  0.080  	  0.545
76  	  N  	  0.079  	  0.545
77  	  N  	  0.078  	  0.545
78  	  N  	  0.077  	  0.545
79  	  N  	  0.076  	  0.545
80  	  N  	  0.075  	  0.545
81  	  N  	  0.074  	  0.545
82  	  N  	  0.073  	  0.545
83  	  N  	  0.072  	  0.545
84  	  N  	  0.071  	  0.545
85  	  N  	  0.071  	  0.545
86  	  N  	  0.070  	  0.545
87  	  N  	  0.069  	  0.545
88  	  N  	  0.068  	  0.545
89  	  N  	  0.067  	  0.545
90  	  N  	  0.067  	  0.545
91  	  N  	  0.066  	  0.545
92  	  N  	  0.065  	  0.545
93  	  N  	  0.065  	  0.545
94  	  N  	  0.064  	  0.545
95  	  N  	  0.063  	  0.545
96  	  N  	  0.062  	  0.545
97  	  N  	  0.062  	  0.545
98  	  N  	  0.061  	  0.545
99  	  N  	  0.061  	  0.545
100  	  N  	  0.060  	  0.545
