Query 25: performance evaluation and modelling of computer systems

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.020
02  	  R  	  1.000  	  0.039
03  	  N  	  0.667  	  0.039
04  	  N  	  0.500  	  0.039
05  	  N  	  0.400  	  0.039
06  	  N  	  0.333  	  0.039
07  	  R  	  0.429  	  0.059
08  	  N  	  0.375  	  0.059
09  	  N  	  0.333  	  0.059
10  	  N  	  0.300  	  0.059
11  	  R  	  0.364  	  0.078
12  	  R  	  0.417  	  0.098
13  	  N  	  0.385  	  0.098
14  	  R  	  0.429  	  0.118
15  	  N  	  0.400  	  0.118
16  	  N  	  0.375  	  0.118
17  	  R  	  0.412  	  0.137
18  	  R  	  0.444  	  0.157
19  	  N  	  0.421  	  0.157
20  	  N  	  0.400  	  0.157
21  	  N  	  0.381  	  0.157
22  	  N  	  0.364  	  0.157
23  	  N  	  0.348  	  0.157
24  	  N  	  0.333  	  0.157
25  	  N  	  0.320  	  0.157
26  	  N  	  0.308  	  0.157
27  	  N  	  0.296  	  0.157
28  	  R  	  0.321  	  0.176
29  	  N  	  0.310  	  0.176
30  	  N  	  0.300  	  0.176
31  	  R  	  0.323  	  0.196
32  	  N  	  0.312  	  0.196
33  	  N  	  0.303  	  0.196
34  	  N  	  0.294  	  0.196
35  	  N  	  0.286  	  0.196
36  	  N  	  0.278  	  0.196
37  	  R  	  0.297  	  0.216
38  	  R  	  0.316  	  0.235
39  	  R  	  0.333  	  0.255
40  	  N  	  0.325  	  0.255
41  	  N  	  0.317  	  0.255
42  	  R  	  0.333  	  0.275
43  	  R  	  0.349  	  0.294
44  	  N  	  0.341  	  0.294
45  	  N  	  0.333  	  0.294
46  	  N  	  0.326  	  0.294
47  	  N  	  0.319  	  0.294
48  	  N  	  0.312  	  0.294
49  	  R  	  0.327  	  0.314
50  	  N  	  0.320  	  0.314
51  	  N  	  0.314  	  0.314
52  	  R  	  0.327  	  0.333
53  	  N  	  0.321  	  0.333
54  	  N  	  0.315  	  0.333
55  	  N  	  0.309  	  0.333
56  	  N  	  0.304  	  0.333
57  	  N  	  0.298  	  0.333
58  	  N  	  0.293  	  0.333
59  	  N  	  0.288  	  0.333
60  	  N  	  0.283  	  0.333
61  	  N  	  0.279  	  0.333
62  	  N  	  0.274  	  0.333
63  	  N  	  0.270  	  0.333
64  	  N  	  0.266  	  0.333
65  	  R  	  0.277  	  0.353
66  	  N  	  0.273  	  0.353
67  	  N  	  0.269  	  0.353
68  	  R  	  0.279  	  0.373
69  	  N  	  0.275  	  0.373
70  	  N  	  0.271  	  0.373
71  	  R  	  0.282  	  0.392
72  	  N  	  0.278  	  0.392
73  	  N  	  0.274  	  0.392
74  	  N  	  0.270  	  0.392
75  	  N  	  0.267  	  0.392
76  	  N  	  0.263  	  0.392
77  	  N  	  0.260  	  0.392
78  	  N  	  0.256  	  0.392
79  	  R  	  0.266  	  0.412
80  	  N  	  0.263  	  0.412
81  	  N  	  0.259  	  0.412
82  	  N  	  0.256  	  0.412
83  	  R  	  0.265  	  0.431
84  	  N  	  0.262  	  0.431
85  	  N  	  0.259  	  0.431
86  	  N  	  0.256  	  0.431
87  	  N  	  0.253  	  0.431
88  	  R  	  0.261  	  0.451
89  	  R  	  0.270  	  0.471
90  	  N  	  0.267  	  0.471
91  	  N  	  0.264  	  0.471
92  	  N  	  0.261  	  0.471
93  	  N  	  0.258  	  0.471
94  	  N  	  0.255  	  0.471
95  	  N  	  0.253  	  0.471
96  	  N  	  0.250  	  0.471
97  	  N  	  0.247  	  0.471
98  	  N  	  0.245  	  0.471
99  	  N  	  0.242  	  0.471
100  	  N  	  0.240  	  0.471
