Query 27: memory management aspects of operating systems

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.034
02  	  N  	  0.500  	  0.034
03  	  N  	  0.333  	  0.034
04  	  R  	  0.500  	  0.069
05  	  N  	  0.400  	  0.069
06  	  N  	  0.333  	  0.069
07  	  N  	  0.286  	  0.069
08  	  N  	  0.250  	  0.069
09  	  R  	  0.333  	  0.103
10  	  N  	  0.300  	  0.103
11  	  R  	  0.364  	  0.138
12  	  N  	  0.333  	  0.138
13  	  R  	  0.385  	  0.172
14  	  N  	  0.357  	  0.172
15  	  N  	  0.333  	  0.172
16  	  R  	  0.375  	  0.207
17  	  N  	  0.353  	  0.207
18  	  N  	  0.333  	  0.207
19  	  R  	  0.368  	  0.241
20  	  R  	  0.400  	  0.276
21  	  N  	  0.381  	  0.276
22  	  N  	  0.364  	  0.276
23  	  N  	  0.348  	  0.276
24  	  R  	  0.375  	  0.310
25  	  N  	  0.360  	  0.310
26  	  N  	  0.346  	  0.310
27  	  N  	  0.333  	  0.310
28  	  N  	  0.321  	  0.310
29  	  N  	  0.310  	  0.310
30  	  N  	  0.300  	  0.310
31  	  N  	  0.290  	  0.310
32  	  N  	  0.281  	  0.310
33  	  N  	  0.273  	  0.310
34  	  N  	  0.265  	  0.310
35  	  R  	  0.286  	  0.345
36  	  N  	  0.278  	  0.345
37  	  N  	  0.270  	  0.345
38  	  N  	  0.263  	  0.345
39  	  R  	  0.282  	  0.379
40  	  N  	  0.275  	  0.379
41  	  N  	  0.268  	  0.379
42  	  N  	  0.262  	  0.379
43  	  N  	  0.256  	  0.379
44  	  N  	  0.250  	  0.379
45  	  N  	  0.244  	  0.379
46  	  N  	  0.239  	  0.379
47  	  R  	  0.255  	  0.414
48  	  N  	  0.250  	  0.414
49  	  N  	  0.245  	  0.414
50  	  N  	  0.240  	  0.414
51  	  R  	  0.255  	  0.448
52  	  N  	  0.250  	  0.448
53  	  N  	  0.245  	  0.448
54  	  N  	  0.241  	  0.448
55  	  N  	  0.236  	  0.448
56  	  R  	  0.250  	  0.483
57  	  N  	  0.246  	  0.483
58  	  N  	  0.241  	  0.483
59  	  N  	  0.237  	  0.483
60  	  N  	  0.233  	  0.483
61  	  N  	  0.230  	  0.483
62  	  N  	  0.226  	  0.483
63  	  N  	  0.222  	  0.483
64  	  N  	  0.219  	  0.483
65  	  N  	  0.215  	  0.483
66  	  N  	  0.212  	  0.483
67  	  N  	  0.209  	  0.483
68  	  N  	  0.206  	  0.483
69  	  N  	  0.203  	  0.483
70  	  N  	  0.200  	  0.483
71  	  N  	  0.197  	  0.483
72  	  N  	  0.194  	  0.483
73  	  N  	  0.192  	  0.483
74  	  N  	  0.189  	  0.483
75  	  N  	  0.187  	  0.483
76  	  N  	  0.184  	  0.483
77  	  N  	  0.182  	  0.483
78  	  N  	  0.179  	  0.483
79  	  N  	  0.177  	  0.483
80  	  N  	  0.175  	  0.483
81  	  N  	  0.173  	  0.483
82  	  N  	  0.171  	  0.483
83  	  N  	  0.169  	  0.483
84  	  N  	  0.167  	  0.483
85  	  N  	  0.165  	  0.483
86  	  N  	  0.163  	  0.483
87  	  N  	  0.161  	  0.483
88  	  N  	  0.159  	  0.483
89  	  N  	  0.157  	  0.483
90  	  N  	  0.156  	  0.483
91  	  N  	  0.154  	  0.483
92  	  N  	  0.152  	  0.483
93  	  N  	  0.151  	  0.483
94  	  N  	  0.149  	  0.483
95  	  N  	  0.147  	  0.483
96  	  N  	  0.146  	  0.483
97  	  N  	  0.144  	  0.483
98  	  N  	  0.143  	  0.483
99  	  N  	  0.141  	  0.483
100  	  N  	  0.140  	  0.483
