Query 29: number theoretic algorithms especially involving prime number series sieves and chinese remainder theorem

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  R  	  0.500  	  0.053
03  	  R  	  0.667  	  0.105
04  	  R  	  0.750  	  0.158
05  	  N  	  0.600  	  0.158
06  	  N  	  0.500  	  0.158
07  	  R  	  0.571  	  0.211
08  	  N  	  0.500  	  0.211
09  	  N  	  0.444  	  0.211
10  	  N  	  0.400  	  0.211
11  	  R  	  0.455  	  0.263
12  	  R  	  0.500  	  0.316
13  	  R  	  0.538  	  0.368
14  	  R  	  0.571  	  0.421
15  	  N  	  0.533  	  0.421
16  	  N  	  0.500  	  0.421
17  	  N  	  0.471  	  0.421
18  	  R  	  0.500  	  0.474
19  	  R  	  0.526  	  0.526
20  	  N  	  0.500  	  0.526
21  	  N  	  0.476  	  0.526
22  	  N  	  0.455  	  0.526
23  	  N  	  0.435  	  0.526
24  	  N  	  0.417  	  0.526
25  	  N  	  0.400  	  0.526
26  	  N  	  0.385  	  0.526
27  	  N  	  0.370  	  0.526
28  	  N  	  0.357  	  0.526
29  	  N  	  0.345  	  0.526
30  	  N  	  0.333  	  0.526
31  	  N  	  0.323  	  0.526
32  	  N  	  0.312  	  0.526
33  	  N  	  0.303  	  0.526
34  	  N  	  0.294  	  0.526
35  	  N  	  0.286  	  0.526
36  	  N  	  0.278  	  0.526
37  	  N  	  0.270  	  0.526
38  	  N  	  0.263  	  0.526
39  	  N  	  0.256  	  0.526
40  	  N  	  0.250  	  0.526
41  	  N  	  0.244  	  0.526
42  	  N  	  0.238  	  0.526
43  	  N  	  0.233  	  0.526
44  	  N  	  0.227  	  0.526
45  	  N  	  0.222  	  0.526
46  	  N  	  0.217  	  0.526
47  	  N  	  0.213  	  0.526
48  	  N  	  0.208  	  0.526
49  	  N  	  0.204  	  0.526
50  	  N  	  0.200  	  0.526
51  	  N  	  0.196  	  0.526
52  	  N  	  0.192  	  0.526
53  	  N  	  0.189  	  0.526
54  	  N  	  0.185  	  0.526
55  	  N  	  0.182  	  0.526
56  	  N  	  0.179  	  0.526
57  	  N  	  0.175  	  0.526
58  	  N  	  0.172  	  0.526
59  	  N  	  0.169  	  0.526
60  	  R  	  0.183  	  0.579
61  	  N  	  0.180  	  0.579
62  	  N  	  0.177  	  0.579
63  	  N  	  0.175  	  0.579
64  	  N  	  0.172  	  0.579
65  	  N  	  0.169  	  0.579
66  	  N  	  0.167  	  0.579
67  	  N  	  0.164  	  0.579
68  	  N  	  0.162  	  0.579
69  	  N  	  0.159  	  0.579
70  	  N  	  0.157  	  0.579
71  	  N  	  0.155  	  0.579
72  	  N  	  0.153  	  0.579
73  	  N  	  0.151  	  0.579
74  	  N  	  0.149  	  0.579
75  	  N  	  0.147  	  0.579
76  	  N  	  0.145  	  0.579
77  	  N  	  0.143  	  0.579
78  	  N  	  0.141  	  0.579
79  	  N  	  0.139  	  0.579
80  	  N  	  0.138  	  0.579
81  	  N  	  0.136  	  0.579
82  	  N  	  0.134  	  0.579
83  	  N  	  0.133  	  0.579
84  	  N  	  0.131  	  0.579
85  	  N  	  0.129  	  0.579
86  	  N  	  0.128  	  0.579
87  	  N  	  0.126  	  0.579
88  	  N  	  0.125  	  0.579
89  	  N  	  0.124  	  0.579
90  	  N  	  0.122  	  0.579
91  	  N  	  0.121  	  0.579
92  	  N  	  0.120  	  0.579
93  	  N  	  0.118  	  0.579
94  	  N  	  0.117  	  0.579
95  	  N  	  0.116  	  0.579
96  	  N  	  0.115  	  0.579
97  	  N  	  0.113  	  0.579
98  	  N  	  0.112  	  0.579
99  	  N  	  0.111  	  0.579
100  	  N  	  0.110  	  0.579
