Query 39: what does type compatibility mean in languages that allow programmer defined types you might want to restrict this to extensible languages that allow definition of abstract data types or programmer supplied definitions of operators like

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.083
02  	  N  	  0.500  	  0.083
03  	  R  	  0.667  	  0.167
04  	  N  	  0.500  	  0.167
05  	  N  	  0.400  	  0.167
06  	  N  	  0.333  	  0.167
07  	  N  	  0.286  	  0.167
08  	  N  	  0.250  	  0.167
09  	  N  	  0.222  	  0.167
10  	  N  	  0.200  	  0.167
11  	  N  	  0.182  	  0.167
12  	  N  	  0.167  	  0.167
13  	  N  	  0.154  	  0.167
14  	  R  	  0.214  	  0.250
15  	  N  	  0.200  	  0.250
16  	  N  	  0.188  	  0.250
17  	  R  	  0.235  	  0.333
18  	  R  	  0.278  	  0.417
19  	  N  	  0.263  	  0.417
20  	  N  	  0.250  	  0.417
21  	  N  	  0.238  	  0.417
22  	  N  	  0.227  	  0.417
23  	  N  	  0.217  	  0.417
24  	  R  	  0.250  	  0.500
25  	  N  	  0.240  	  0.500
26  	  N  	  0.231  	  0.500
27  	  N  	  0.222  	  0.500
28  	  N  	  0.214  	  0.500
29  	  N  	  0.207  	  0.500
30  	  N  	  0.200  	  0.500
31  	  N  	  0.194  	  0.500
32  	  N  	  0.188  	  0.500
33  	  N  	  0.182  	  0.500
34  	  N  	  0.176  	  0.500
35  	  R  	  0.200  	  0.583
36  	  N  	  0.194  	  0.583
37  	  N  	  0.189  	  0.583
38  	  N  	  0.184  	  0.583
39  	  N  	  0.179  	  0.583
40  	  N  	  0.175  	  0.583
41  	  N  	  0.171  	  0.583
42  	  R  	  0.190  	  0.667
43  	  N  	  0.186  	  0.667
44  	  N  	  0.182  	  0.667
45  	  N  	  0.178  	  0.667
46  	  N  	  0.174  	  0.667
47  	  N  	  0.170  	  0.667
48  	  N  	  0.167  	  0.667
49  	  N  	  0.163  	  0.667
50  	  N  	  0.160  	  0.667
51  	  N  	  0.157  	  0.667
52  	  N  	  0.154  	  0.667
53  	  N  	  0.151  	  0.667
54  	  N  	  0.148  	  0.667
55  	  N  	  0.145  	  0.667
56  	  R  	  0.161  	  0.750
57  	  N  	  0.158  	  0.750
58  	  N  	  0.155  	  0.750
59  	  N  	  0.153  	  0.750
60  	  N  	  0.150  	  0.750
61  	  N  	  0.148  	  0.750
62  	  N  	  0.145  	  0.750
63  	  N  	  0.143  	  0.750
64  	  N  	  0.141  	  0.750
65  	  N  	  0.138  	  0.750
66  	  R  	  0.152  	  0.833
67  	  N  	  0.149  	  0.833
68  	  N  	  0.147  	  0.833
69  	  N  	  0.145  	  0.833
70  	  N  	  0.143  	  0.833
71  	  N  	  0.141  	  0.833
72  	  N  	  0.139  	  0.833
73  	  N  	  0.137  	  0.833
74  	  R  	  0.149  	  0.917
75  	  N  	  0.147  	  0.917
76  	  N  	  0.145  	  0.917
77  	  N  	  0.143  	  0.917
78  	  N  	  0.141  	  0.917
79  	  N  	  0.139  	  0.917
80  	  N  	  0.138  	  0.917
81  	  N  	  0.136  	  0.917
82  	  N  	  0.134  	  0.917
83  	  N  	  0.133  	  0.917
84  	  N  	  0.131  	  0.917
85  	  N  	  0.129  	  0.917
86  	  N  	  0.128  	  0.917
87  	  N  	  0.126  	  0.917
88  	  N  	  0.125  	  0.917
89  	  N  	  0.124  	  0.917
90  	  N  	  0.122  	  0.917
91  	  N  	  0.121  	  0.917
92  	  N  	  0.120  	  0.917
93  	  N  	  0.118  	  0.917
94  	  N  	  0.117  	  0.917
95  	  N  	  0.116  	  0.917
96  	  N  	  0.115  	  0.917
97  	  N  	  0.113  	  0.917
98  	  N  	  0.112  	  0.917
99  	  N  	  0.111  	  0.917
100  	  N  	  0.110  	  0.917
