Query 40: list all articles dealing with data types in the following languages that are referenced frequently in papers on the above languages e g catch any languages with interesting type structures that i might have missed

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.100
02  	  R  	  1.000  	  0.200
03  	  R  	  1.000  	  0.300
04  	  N  	  0.750  	  0.300
05  	  N  	  0.600  	  0.300
06  	  N  	  0.500  	  0.300
07  	  N  	  0.429  	  0.300
08  	  N  	  0.375  	  0.300
09  	  N  	  0.333  	  0.300
10  	  N  	  0.300  	  0.300
11  	  N  	  0.273  	  0.300
12  	  N  	  0.250  	  0.300
13  	  N  	  0.231  	  0.300
14  	  R  	  0.286  	  0.400
15  	  N  	  0.267  	  0.400
16  	  N  	  0.250  	  0.400
17  	  N  	  0.235  	  0.400
18  	  R  	  0.278  	  0.500
19  	  N  	  0.263  	  0.500
20  	  N  	  0.250  	  0.500
21  	  N  	  0.238  	  0.500
22  	  N  	  0.227  	  0.500
23  	  R  	  0.261  	  0.600
24  	  N  	  0.250  	  0.600
25  	  N  	  0.240  	  0.600
26  	  N  	  0.231  	  0.600
27  	  N  	  0.222  	  0.600
28  	  N  	  0.214  	  0.600
29  	  R  	  0.241  	  0.700
30  	  R  	  0.267  	  0.800
31  	  N  	  0.258  	  0.800
32  	  N  	  0.250  	  0.800
33  	  N  	  0.242  	  0.800
34  	  N  	  0.235  	  0.800
35  	  N  	  0.229  	  0.800
36  	  N  	  0.222  	  0.800
37  	  N  	  0.216  	  0.800
38  	  N  	  0.211  	  0.800
39  	  N  	  0.205  	  0.800
40  	  N  	  0.200  	  0.800
41  	  N  	  0.195  	  0.800
42  	  N  	  0.190  	  0.800
43  	  N  	  0.186  	  0.800
44  	  N  	  0.182  	  0.800
45  	  N  	  0.178  	  0.800
46  	  N  	  0.174  	  0.800
47  	  N  	  0.170  	  0.800
48  	  N  	  0.167  	  0.800
49  	  N  	  0.163  	  0.800
50  	  N  	  0.160  	  0.800
51  	  N  	  0.157  	  0.800
52  	  N  	  0.154  	  0.800
53  	  N  	  0.151  	  0.800
54  	  N  	  0.148  	  0.800
55  	  N  	  0.145  	  0.800
56  	  N  	  0.143  	  0.800
57  	  N  	  0.140  	  0.800
58  	  N  	  0.138  	  0.800
59  	  N  	  0.136  	  0.800
60  	  N  	  0.133  	  0.800
61  	  N  	  0.131  	  0.800
62  	  N  	  0.129  	  0.800
63  	  N  	  0.127  	  0.800
64  	  N  	  0.125  	  0.800
65  	  N  	  0.123  	  0.800
66  	  N  	  0.121  	  0.800
67  	  N  	  0.119  	  0.800
68  	  N  	  0.118  	  0.800
69  	  N  	  0.116  	  0.800
70  	  N  	  0.114  	  0.800
71  	  N  	  0.113  	  0.800
72  	  N  	  0.111  	  0.800
73  	  N  	  0.110  	  0.800
74  	  N  	  0.108  	  0.800
75  	  N  	  0.107  	  0.800
76  	  N  	  0.105  	  0.800
77  	  N  	  0.104  	  0.800
78  	  N  	  0.103  	  0.800
79  	  N  	  0.101  	  0.800
80  	  N  	  0.100  	  0.800
81  	  N  	  0.099  	  0.800
82  	  N  	  0.098  	  0.800
83  	  N  	  0.096  	  0.800
84  	  N  	  0.095  	  0.800
85  	  N  	  0.094  	  0.800
86  	  N  	  0.093  	  0.800
87  	  N  	  0.092  	  0.800
88  	  N  	  0.091  	  0.800
89  	  N  	  0.090  	  0.800
90  	  N  	  0.089  	  0.800
91  	  N  	  0.088  	  0.800
92  	  N  	  0.087  	  0.800
93  	  N  	  0.086  	  0.800
94  	  N  	  0.085  	  0.800
95  	  N  	  0.084  	  0.800
96  	  N  	  0.083  	  0.800
97  	  N  	  0.082  	  0.800
98  	  N  	  0.082  	  0.800
99  	  N  	  0.081  	  0.800
100  	  N  	  0.080  	  0.800
