Query 42: computer performance evaluation techniques using pattern recognition and clustering la 70803

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  N  	  0.000  	  0.000
03  	  N  	  0.000  	  0.000
04  	  N  	  0.000  	  0.000
05  	  N  	  0.000  	  0.000
06  	  N  	  0.000  	  0.000
07  	  N  	  0.000  	  0.000
08  	  N  	  0.000  	  0.000
09  	  N  	  0.000  	  0.000
10  	  R  	  0.100  	  0.048
11  	  N  	  0.091  	  0.048
12  	  N  	  0.083  	  0.048
13  	  N  	  0.077  	  0.048
14  	  N  	  0.071  	  0.048
15  	  R  	  0.133  	  0.095
16  	  N  	  0.125  	  0.095
17  	  N  	  0.118  	  0.095
18  	  N  	  0.111  	  0.095
19  	  N  	  0.105  	  0.095
20  	  N  	  0.100  	  0.095
21  	  N  	  0.095  	  0.095
22  	  N  	  0.091  	  0.095
23  	  N  	  0.087  	  0.095
24  	  N  	  0.083  	  0.095
25  	  N  	  0.080  	  0.095
26  	  N  	  0.077  	  0.095
27  	  R  	  0.111  	  0.143
28  	  N  	  0.107  	  0.143
29  	  N  	  0.103  	  0.143
30  	  N  	  0.100  	  0.143
31  	  N  	  0.097  	  0.143
32  	  N  	  0.094  	  0.143
33  	  N  	  0.091  	  0.143
34  	  N  	  0.088  	  0.143
35  	  N  	  0.086  	  0.143
36  	  N  	  0.083  	  0.143
37  	  N  	  0.081  	  0.143
38  	  N  	  0.079  	  0.143
39  	  N  	  0.077  	  0.143
40  	  N  	  0.075  	  0.143
41  	  R  	  0.098  	  0.190
42  	  N  	  0.095  	  0.190
43  	  N  	  0.093  	  0.190
44  	  N  	  0.091  	  0.190
45  	  N  	  0.089  	  0.190
46  	  N  	  0.087  	  0.190
47  	  R  	  0.106  	  0.238
48  	  R  	  0.125  	  0.286
49  	  R  	  0.143  	  0.333
50  	  N  	  0.140  	  0.333
51  	  N  	  0.137  	  0.333
52  	  N  	  0.135  	  0.333
53  	  N  	  0.132  	  0.333
54  	  N  	  0.130  	  0.333
55  	  N  	  0.127  	  0.333
56  	  R  	  0.143  	  0.381
57  	  N  	  0.140  	  0.381
58  	  R  	  0.155  	  0.429
59  	  N  	  0.153  	  0.429
60  	  R  	  0.167  	  0.476
61  	  N  	  0.164  	  0.476
62  	  N  	  0.161  	  0.476
63  	  N  	  0.159  	  0.476
64  	  N  	  0.156  	  0.476
65  	  N  	  0.154  	  0.476
66  	  N  	  0.152  	  0.476
67  	  N  	  0.149  	  0.476
68  	  N  	  0.147  	  0.476
69  	  N  	  0.145  	  0.476
70  	  N  	  0.143  	  0.476
71  	  N  	  0.141  	  0.476
72  	  N  	  0.139  	  0.476
73  	  N  	  0.137  	  0.476
74  	  N  	  0.135  	  0.476
75  	  N  	  0.133  	  0.476
76  	  N  	  0.132  	  0.476
77  	  N  	  0.130  	  0.476
78  	  N  	  0.128  	  0.476
79  	  N  	  0.127  	  0.476
80  	  N  	  0.125  	  0.476
81  	  N  	  0.123  	  0.476
82  	  N  	  0.122  	  0.476
83  	  N  	  0.120  	  0.476
84  	  N  	  0.119  	  0.476
85  	  N  	  0.118  	  0.476
86  	  N  	  0.116  	  0.476
87  	  N  	  0.115  	  0.476
88  	  N  	  0.114  	  0.476
89  	  N  	  0.112  	  0.476
90  	  N  	  0.111  	  0.476
91  	  N  	  0.110  	  0.476
92  	  N  	  0.109  	  0.476
93  	  N  	  0.108  	  0.476
94  	  N  	  0.106  	  0.476
95  	  N  	  0.105  	  0.476
96  	  N  	  0.104  	  0.476
97  	  N  	  0.103  	  0.476
98  	  R  	  0.112  	  0.524
99  	  N  	  0.111  	  0.524
100  	  N  	  0.110  	  0.524
