Query 43: analysis and perception of shape by humans and computers shape descriptions shape recognition by computer two dimensional shapes measures of circularity shape matching

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  R  	  0.500  	  0.024
03  	  N  	  0.333  	  0.024
04  	  N  	  0.250  	  0.024
05  	  N  	  0.200  	  0.024
06  	  N  	  0.167  	  0.024
07  	  N  	  0.143  	  0.024
08  	  N  	  0.125  	  0.024
09  	  N  	  0.111  	  0.024
10  	  R  	  0.200  	  0.049
11  	  R  	  0.273  	  0.073
12  	  R  	  0.333  	  0.098
13  	  N  	  0.308  	  0.098
14  	  R  	  0.357  	  0.122
15  	  N  	  0.333  	  0.122
16  	  R  	  0.375  	  0.146
17  	  N  	  0.353  	  0.146
18  	  N  	  0.333  	  0.146
19  	  N  	  0.316  	  0.146
20  	  N  	  0.300  	  0.146
21  	  N  	  0.286  	  0.146
22  	  R  	  0.318  	  0.171
23  	  N  	  0.304  	  0.171
24  	  R  	  0.333  	  0.195
25  	  R  	  0.360  	  0.220
26  	  N  	  0.346  	  0.220
27  	  R  	  0.370  	  0.244
28  	  N  	  0.357  	  0.244
29  	  N  	  0.345  	  0.244
30  	  N  	  0.333  	  0.244
31  	  R  	  0.355  	  0.268
32  	  N  	  0.344  	  0.268
33  	  R  	  0.364  	  0.293
34  	  N  	  0.353  	  0.293
35  	  N  	  0.343  	  0.293
36  	  N  	  0.333  	  0.293
37  	  N  	  0.324  	  0.293
38  	  N  	  0.316  	  0.293
39  	  R  	  0.333  	  0.317
40  	  N  	  0.325  	  0.317
41  	  N  	  0.317  	  0.317
42  	  N  	  0.310  	  0.317
43  	  N  	  0.302  	  0.317
44  	  N  	  0.295  	  0.317
45  	  N  	  0.289  	  0.317
46  	  N  	  0.283  	  0.317
47  	  N  	  0.277  	  0.317
48  	  N  	  0.271  	  0.317
49  	  N  	  0.265  	  0.317
50  	  N  	  0.260  	  0.317
51  	  N  	  0.255  	  0.317
52  	  N  	  0.250  	  0.317
53  	  N  	  0.245  	  0.317
54  	  N  	  0.241  	  0.317
55  	  N  	  0.236  	  0.317
56  	  N  	  0.232  	  0.317
57  	  N  	  0.228  	  0.317
58  	  N  	  0.224  	  0.317
59  	  R  	  0.237  	  0.341
60  	  N  	  0.233  	  0.341
61  	  N  	  0.230  	  0.341
62  	  N  	  0.226  	  0.341
63  	  N  	  0.222  	  0.341
64  	  N  	  0.219  	  0.341
65  	  N  	  0.215  	  0.341
66  	  N  	  0.212  	  0.341
67  	  N  	  0.209  	  0.341
68  	  N  	  0.206  	  0.341
69  	  N  	  0.203  	  0.341
70  	  N  	  0.200  	  0.341
71  	  N  	  0.197  	  0.341
72  	  N  	  0.194  	  0.341
73  	  R  	  0.205  	  0.366
74  	  N  	  0.203  	  0.366
75  	  R  	  0.213  	  0.390
76  	  N  	  0.211  	  0.390
77  	  N  	  0.208  	  0.390
78  	  N  	  0.205  	  0.390
79  	  R  	  0.215  	  0.415
80  	  N  	  0.212  	  0.415
81  	  N  	  0.210  	  0.415
82  	  N  	  0.207  	  0.415
83  	  N  	  0.205  	  0.415
84  	  N  	  0.202  	  0.415
85  	  N  	  0.200  	  0.415
86  	  R  	  0.209  	  0.439
87  	  N  	  0.207  	  0.439
88  	  N  	  0.205  	  0.439
89  	  N  	  0.202  	  0.439
90  	  N  	  0.200  	  0.439
91  	  N  	  0.198  	  0.439
92  	  N  	  0.196  	  0.439
93  	  N  	  0.194  	  0.439
94  	  N  	  0.191  	  0.439
95  	  R  	  0.200  	  0.463
96  	  N  	  0.198  	  0.463
97  	  N  	  0.196  	  0.463
98  	  N  	  0.194  	  0.463
99  	  N  	  0.192  	  0.463
100  	  N  	  0.190  	  0.463
