Query 45: the use of operations research models to optimize information system performance this includes fine tuning decisions such as secondary index selection file reorganization and distributed databases

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.038
02  	  R  	  1.000  	  0.077
03  	  N  	  0.667  	  0.077
04  	  R  	  0.750  	  0.115
05  	  N  	  0.600  	  0.115
06  	  N  	  0.500  	  0.115
07  	  N  	  0.429  	  0.115
08  	  N  	  0.375  	  0.115
09  	  R  	  0.444  	  0.154
10  	  N  	  0.400  	  0.154
11  	  N  	  0.364  	  0.154
12  	  N  	  0.333  	  0.154
13  	  N  	  0.308  	  0.154
14  	  N  	  0.286  	  0.154
15  	  N  	  0.267  	  0.154
16  	  N  	  0.250  	  0.154
17  	  N  	  0.235  	  0.154
18  	  R  	  0.278  	  0.192
19  	  N  	  0.263  	  0.192
20  	  R  	  0.300  	  0.231
21  	  N  	  0.286  	  0.231
22  	  N  	  0.273  	  0.231
23  	  N  	  0.261  	  0.231
24  	  N  	  0.250  	  0.231
25  	  N  	  0.240  	  0.231
26  	  N  	  0.231  	  0.231
27  	  N  	  0.222  	  0.231
28  	  N  	  0.214  	  0.231
29  	  N  	  0.207  	  0.231
30  	  R  	  0.233  	  0.269
31  	  N  	  0.226  	  0.269
32  	  N  	  0.219  	  0.269
33  	  N  	  0.212  	  0.269
34  	  N  	  0.206  	  0.269
35  	  N  	  0.200  	  0.269
36  	  N  	  0.194  	  0.269
37  	  N  	  0.189  	  0.269
38  	  N  	  0.184  	  0.269
39  	  N  	  0.179  	  0.269
40  	  N  	  0.175  	  0.269
41  	  N  	  0.171  	  0.269
42  	  N  	  0.167  	  0.269
43  	  N  	  0.163  	  0.269
44  	  N  	  0.159  	  0.269
45  	  N  	  0.156  	  0.269
46  	  N  	  0.152  	  0.269
47  	  N  	  0.149  	  0.269
48  	  N  	  0.146  	  0.269
49  	  N  	  0.143  	  0.269
50  	  N  	  0.140  	  0.269
51  	  N  	  0.137  	  0.269
52  	  N  	  0.135  	  0.269
53  	  N  	  0.132  	  0.269
54  	  R  	  0.148  	  0.308
55  	  N  	  0.145  	  0.308
56  	  N  	  0.143  	  0.308
57  	  N  	  0.140  	  0.308
58  	  N  	  0.138  	  0.308
59  	  N  	  0.136  	  0.308
60  	  N  	  0.133  	  0.308
61  	  N  	  0.131  	  0.308
62  	  N  	  0.129  	  0.308
63  	  N  	  0.127  	  0.308
64  	  N  	  0.125  	  0.308
65  	  R  	  0.138  	  0.346
66  	  N  	  0.136  	  0.346
67  	  N  	  0.134  	  0.346
68  	  N  	  0.132  	  0.346
69  	  N  	  0.130  	  0.346
70  	  N  	  0.129  	  0.346
71  	  N  	  0.127  	  0.346
72  	  N  	  0.125  	  0.346
73  	  N  	  0.123  	  0.346
74  	  N  	  0.122  	  0.346
75  	  N  	  0.120  	  0.346
76  	  N  	  0.118  	  0.346
77  	  N  	  0.117  	  0.346
78  	  N  	  0.115  	  0.346
79  	  N  	  0.114  	  0.346
80  	  N  	  0.113  	  0.346
81  	  N  	  0.111  	  0.346
82  	  N  	  0.110  	  0.346
83  	  N  	  0.108  	  0.346
84  	  N  	  0.107  	  0.346
85  	  N  	  0.106  	  0.346
86  	  N  	  0.105  	  0.346
87  	  N  	  0.103  	  0.346
88  	  N  	  0.102  	  0.346
89  	  N  	  0.101  	  0.346
90  	  N  	  0.100  	  0.346
91  	  N  	  0.099  	  0.346
92  	  N  	  0.098  	  0.346
93  	  N  	  0.097  	  0.346
94  	  N  	  0.096  	  0.346
95  	  N  	  0.095  	  0.346
96  	  R  	  0.104  	  0.385
97  	  N  	  0.103  	  0.385
98  	  N  	  0.102  	  0.385
99  	  R  	  0.111  	  0.423
100  	  N  	  0.110  	  0.423
