Query 58: algorithms or statistical packages for anova regression using least squares or generalized linear models system design capabilities statistical formula are of interest student s t test wilcoxon and sign tests multivariate and univariate components can be included

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.033
02  	  R  	  1.000  	  0.067
03  	  R  	  1.000  	  0.100
04  	  N  	  0.750  	  0.100
05  	  N  	  0.600  	  0.100
06  	  N  	  0.500  	  0.100
07  	  N  	  0.429  	  0.100
08  	  N  	  0.375  	  0.100
09  	  N  	  0.333  	  0.100
10  	  N  	  0.300  	  0.100
11  	  N  	  0.273  	  0.100
12  	  N  	  0.250  	  0.100
13  	  N  	  0.231  	  0.100
14  	  R  	  0.286  	  0.133
15  	  N  	  0.267  	  0.133
16  	  R  	  0.312  	  0.167
17  	  N  	  0.294  	  0.167
18  	  R  	  0.333  	  0.200
19  	  R  	  0.368  	  0.233
20  	  N  	  0.350  	  0.233
21  	  R  	  0.381  	  0.267
22  	  N  	  0.364  	  0.267
23  	  N  	  0.348  	  0.267
24  	  R  	  0.375  	  0.300
25  	  N  	  0.360  	  0.300
26  	  N  	  0.346  	  0.300
27  	  N  	  0.333  	  0.300
28  	  N  	  0.321  	  0.300
29  	  N  	  0.310  	  0.300
30  	  R  	  0.333  	  0.333
31  	  N  	  0.323  	  0.333
32  	  N  	  0.312  	  0.333
33  	  N  	  0.303  	  0.333
34  	  N  	  0.294  	  0.333
35  	  R  	  0.314  	  0.367
36  	  N  	  0.306  	  0.367
37  	  N  	  0.297  	  0.367
38  	  N  	  0.289  	  0.367
39  	  N  	  0.282  	  0.367
40  	  N  	  0.275  	  0.367
41  	  N  	  0.268  	  0.367
42  	  N  	  0.262  	  0.367
43  	  R  	  0.279  	  0.400
44  	  N  	  0.273  	  0.400
45  	  N  	  0.267  	  0.400
46  	  N  	  0.261  	  0.400
47  	  N  	  0.255  	  0.400
48  	  R  	  0.271  	  0.433
49  	  N  	  0.265  	  0.433
50  	  N  	  0.260  	  0.433
51  	  N  	  0.255  	  0.433
52  	  N  	  0.250  	  0.433
53  	  N  	  0.245  	  0.433
54  	  N  	  0.241  	  0.433
55  	  N  	  0.236  	  0.433
56  	  N  	  0.232  	  0.433
57  	  N  	  0.228  	  0.433
58  	  R  	  0.241  	  0.467
59  	  N  	  0.237  	  0.467
60  	  N  	  0.233  	  0.467
61  	  N  	  0.230  	  0.467
62  	  N  	  0.226  	  0.467
63  	  N  	  0.222  	  0.467
64  	  N  	  0.219  	  0.467
65  	  N  	  0.215  	  0.467
66  	  N  	  0.212  	  0.467
67  	  N  	  0.209  	  0.467
68  	  N  	  0.206  	  0.467
69  	  N  	  0.203  	  0.467
70  	  N  	  0.200  	  0.467
71  	  N  	  0.197  	  0.467
72  	  N  	  0.194  	  0.467
73  	  N  	  0.192  	  0.467
74  	  N  	  0.189  	  0.467
75  	  N  	  0.187  	  0.467
76  	  N  	  0.184  	  0.467
77  	  N  	  0.182  	  0.467
78  	  N  	  0.179  	  0.467
79  	  N  	  0.177  	  0.467
80  	  N  	  0.175  	  0.467
81  	  N  	  0.173  	  0.467
82  	  N  	  0.171  	  0.467
83  	  N  	  0.169  	  0.467
84  	  N  	  0.167  	  0.467
85  	  N  	  0.165  	  0.467
86  	  N  	  0.163  	  0.467
87  	  N  	  0.161  	  0.467
88  	  N  	  0.159  	  0.467
89  	  N  	  0.157  	  0.467
90  	  N  	  0.156  	  0.467
91  	  N  	  0.154  	  0.467
92  	  N  	  0.152  	  0.467
93  	  N  	  0.151  	  0.467
94  	  N  	  0.149  	  0.467
95  	  N  	  0.147  	  0.467
96  	  N  	  0.146  	  0.467
97  	  R  	  0.155  	  0.500
98  	  N  	  0.153  	  0.500
99  	  N  	  0.152  	  0.500
100  	  N  	  0.150  	  0.500
