Query 60: hardware and software relating to database management systems database packages back end computers special associative hardware with microcomputers attached to disk heads or things like rap relational or network codasyl or hierarchical models systems like system r ims adabas total etc

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  R  	  0.500  	  0.037
03  	  N  	  0.333  	  0.037
04  	  N  	  0.250  	  0.037
05  	  N  	  0.200  	  0.037
06  	  R  	  0.333  	  0.074
07  	  N  	  0.286  	  0.074
08  	  N  	  0.250  	  0.074
09  	  N  	  0.222  	  0.074
10  	  N  	  0.200  	  0.074
11  	  N  	  0.182  	  0.074
12  	  N  	  0.167  	  0.074
13  	  N  	  0.154  	  0.074
14  	  N  	  0.143  	  0.074
15  	  N  	  0.133  	  0.074
16  	  N  	  0.125  	  0.074
17  	  R  	  0.176  	  0.111
18  	  R  	  0.222  	  0.148
19  	  R  	  0.263  	  0.185
20  	  N  	  0.250  	  0.185
21  	  N  	  0.238  	  0.185
22  	  N  	  0.227  	  0.185
23  	  R  	  0.261  	  0.222
24  	  N  	  0.250  	  0.222
25  	  N  	  0.240  	  0.222
26  	  R  	  0.269  	  0.259
27  	  N  	  0.259  	  0.259
28  	  N  	  0.250  	  0.259
29  	  N  	  0.241  	  0.259
30  	  N  	  0.233  	  0.259
31  	  N  	  0.226  	  0.259
32  	  N  	  0.219  	  0.259
33  	  N  	  0.212  	  0.259
34  	  N  	  0.206  	  0.259
35  	  R  	  0.229  	  0.296
36  	  N  	  0.222  	  0.296
37  	  N  	  0.216  	  0.296
38  	  N  	  0.211  	  0.296
39  	  N  	  0.205  	  0.296
40  	  N  	  0.200  	  0.296
41  	  R  	  0.220  	  0.333
42  	  N  	  0.214  	  0.333
43  	  N  	  0.209  	  0.333
44  	  N  	  0.205  	  0.333
45  	  N  	  0.200  	  0.333
46  	  N  	  0.196  	  0.333
47  	  N  	  0.191  	  0.333
48  	  N  	  0.188  	  0.333
49  	  N  	  0.184  	  0.333
50  	  N  	  0.180  	  0.333
51  	  N  	  0.176  	  0.333
52  	  N  	  0.173  	  0.333
53  	  N  	  0.170  	  0.333
54  	  N  	  0.167  	  0.333
55  	  N  	  0.164  	  0.333
56  	  R  	  0.179  	  0.370
57  	  N  	  0.175  	  0.370
58  	  N  	  0.172  	  0.370
59  	  N  	  0.169  	  0.370
60  	  N  	  0.167  	  0.370
61  	  N  	  0.164  	  0.370
62  	  N  	  0.161  	  0.370
63  	  N  	  0.159  	  0.370
64  	  N  	  0.156  	  0.370
65  	  R  	  0.169  	  0.407
66  	  N  	  0.167  	  0.407
67  	  R  	  0.179  	  0.444
68  	  N  	  0.176  	  0.444
69  	  N  	  0.174  	  0.444
70  	  N  	  0.171  	  0.444
71  	  N  	  0.169  	  0.444
72  	  N  	  0.167  	  0.444
73  	  R  	  0.178  	  0.481
74  	  N  	  0.176  	  0.481
75  	  N  	  0.173  	  0.481
76  	  N  	  0.171  	  0.481
77  	  R  	  0.182  	  0.519
78  	  N  	  0.179  	  0.519
79  	  N  	  0.177  	  0.519
80  	  N  	  0.175  	  0.519
81  	  N  	  0.173  	  0.519
82  	  N  	  0.171  	  0.519
83  	  N  	  0.169  	  0.519
84  	  N  	  0.167  	  0.519
85  	  N  	  0.165  	  0.519
86  	  N  	  0.163  	  0.519
87  	  N  	  0.161  	  0.519
88  	  N  	  0.159  	  0.519
89  	  N  	  0.157  	  0.519
90  	  N  	  0.156  	  0.519
91  	  N  	  0.154  	  0.519
92  	  N  	  0.152  	  0.519
93  	  N  	  0.151  	  0.519
94  	  N  	  0.149  	  0.519
95  	  N  	  0.147  	  0.519
96  	  R  	  0.156  	  0.556
97  	  N  	  0.155  	  0.556
98  	  N  	  0.153  	  0.556
99  	  N  	  0.152  	  0.556
100  	  N  	  0.150  	  0.556
