Query 62: results relating parallel complexity theory both for pram s and uniform circuits

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  N  	  0.000  	  0.000
03  	  N  	  0.000  	  0.000
04  	  N  	  0.000  	  0.000
05  	  N  	  0.000  	  0.000
06  	  N  	  0.000  	  0.000
07  	  N  	  0.000  	  0.000
08  	  N  	  0.000  	  0.000
09  	  N  	  0.000  	  0.000
10  	  N  	  0.000  	  0.000
11  	  R  	  0.091  	  0.125
12  	  N  	  0.083  	  0.125
13  	  N  	  0.077  	  0.125
14  	  N  	  0.071  	  0.125
15  	  N  	  0.067  	  0.125
16  	  N  	  0.062  	  0.125
17  	  N  	  0.059  	  0.125
18  	  N  	  0.056  	  0.125
19  	  N  	  0.053  	  0.125
20  	  N  	  0.050  	  0.125
21  	  N  	  0.048  	  0.125
22  	  N  	  0.045  	  0.125
23  	  N  	  0.043  	  0.125
24  	  N  	  0.042  	  0.125
25  	  N  	  0.040  	  0.125
26  	  N  	  0.038  	  0.125
27  	  N  	  0.037  	  0.125
28  	  N  	  0.036  	  0.125
29  	  N  	  0.034  	  0.125
30  	  N  	  0.033  	  0.125
31  	  N  	  0.032  	  0.125
32  	  N  	  0.031  	  0.125
33  	  N  	  0.030  	  0.125
34  	  N  	  0.029  	  0.125
35  	  N  	  0.029  	  0.125
36  	  N  	  0.028  	  0.125
37  	  R  	  0.054  	  0.250
38  	  N  	  0.053  	  0.250
39  	  N  	  0.051  	  0.250
40  	  N  	  0.050  	  0.250
41  	  N  	  0.049  	  0.250
42  	  N  	  0.048  	  0.250
43  	  N  	  0.047  	  0.250
44  	  N  	  0.045  	  0.250
45  	  N  	  0.044  	  0.250
46  	  N  	  0.043  	  0.250
47  	  N  	  0.043  	  0.250
48  	  N  	  0.042  	  0.250
49  	  N  	  0.041  	  0.250
50  	  N  	  0.040  	  0.250
51  	  N  	  0.039  	  0.250
52  	  N  	  0.038  	  0.250
53  	  N  	  0.038  	  0.250
54  	  N  	  0.037  	  0.250
55  	  N  	  0.036  	  0.250
56  	  N  	  0.036  	  0.250
57  	  N  	  0.035  	  0.250
58  	  N  	  0.034  	  0.250
59  	  N  	  0.034  	  0.250
60  	  N  	  0.033  	  0.250
61  	  N  	  0.033  	  0.250
62  	  N  	  0.032  	  0.250
63  	  N  	  0.032  	  0.250
64  	  N  	  0.031  	  0.250
65  	  N  	  0.031  	  0.250
66  	  N  	  0.030  	  0.250
67  	  R  	  0.045  	  0.375
68  	  N  	  0.044  	  0.375
69  	  N  	  0.043  	  0.375
70  	  N  	  0.043  	  0.375
71  	  N  	  0.042  	  0.375
72  	  N  	  0.042  	  0.375
73  	  N  	  0.041  	  0.375
74  	  N  	  0.041  	  0.375
75  	  R  	  0.053  	  0.500
76  	  N  	  0.053  	  0.500
77  	  N  	  0.052  	  0.500
78  	  N  	  0.051  	  0.500
79  	  N  	  0.051  	  0.500
80  	  N  	  0.050  	  0.500
81  	  N  	  0.049  	  0.500
82  	  R  	  0.061  	  0.625
83  	  N  	  0.060  	  0.625
84  	  N  	  0.060  	  0.625
85  	  N  	  0.059  	  0.625
86  	  N  	  0.058  	  0.625
87  	  N  	  0.057  	  0.625
88  	  R  	  0.068  	  0.750
89  	  N  	  0.067  	  0.750
90  	  N  	  0.067  	  0.750
91  	  N  	  0.066  	  0.750
92  	  N  	  0.065  	  0.750
93  	  N  	  0.065  	  0.750
94  	  N  	  0.064  	  0.750
95  	  N  	  0.063  	  0.750
96  	  N  	  0.062  	  0.750
97  	  N  	  0.062  	  0.750
98  	  N  	  0.061  	  0.750
99  	  N  	  0.061  	  0.750
100  	  N  	  0.060  	  0.750
