Query 63: algorithms for parallel computation and especially comparisons between parallel and sequential algorithms

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.083
02  	  R  	  1.000  	  0.167
03  	  R  	  1.000  	  0.250
04  	  R  	  1.000  	  0.333
05  	  N  	  0.800  	  0.333
06  	  N  	  0.667  	  0.333
07  	  N  	  0.571  	  0.333
08  	  R  	  0.625  	  0.417
09  	  N  	  0.556  	  0.417
10  	  R  	  0.600  	  0.500
11  	  R  	  0.636  	  0.583
12  	  N  	  0.583  	  0.583
13  	  N  	  0.538  	  0.583
14  	  N  	  0.500  	  0.583
15  	  N  	  0.467  	  0.583
16  	  N  	  0.438  	  0.583
17  	  R  	  0.471  	  0.667
18  	  N  	  0.444  	  0.667
19  	  N  	  0.421  	  0.667
20  	  N  	  0.400  	  0.667
21  	  N  	  0.381  	  0.667
22  	  N  	  0.364  	  0.667
23  	  N  	  0.348  	  0.667
24  	  N  	  0.333  	  0.667
25  	  N  	  0.320  	  0.667
26  	  N  	  0.308  	  0.667
27  	  N  	  0.296  	  0.667
28  	  N  	  0.286  	  0.667
29  	  N  	  0.276  	  0.667
30  	  N  	  0.267  	  0.667
31  	  N  	  0.258  	  0.667
32  	  N  	  0.250  	  0.667
33  	  N  	  0.242  	  0.667
34  	  N  	  0.235  	  0.667
35  	  N  	  0.229  	  0.667
36  	  N  	  0.222  	  0.667
37  	  N  	  0.216  	  0.667
38  	  N  	  0.211  	  0.667
39  	  N  	  0.205  	  0.667
40  	  N  	  0.200  	  0.667
41  	  N  	  0.195  	  0.667
42  	  R  	  0.214  	  0.750
43  	  N  	  0.209  	  0.750
44  	  N  	  0.205  	  0.750
45  	  N  	  0.200  	  0.750
46  	  N  	  0.196  	  0.750
47  	  N  	  0.191  	  0.750
48  	  N  	  0.188  	  0.750
49  	  N  	  0.184  	  0.750
50  	  N  	  0.180  	  0.750
51  	  N  	  0.176  	  0.750
52  	  N  	  0.173  	  0.750
53  	  N  	  0.170  	  0.750
54  	  N  	  0.167  	  0.750
55  	  N  	  0.164  	  0.750
56  	  R  	  0.179  	  0.833
57  	  N  	  0.175  	  0.833
58  	  N  	  0.172  	  0.833
59  	  N  	  0.169  	  0.833
60  	  N  	  0.167  	  0.833
61  	  N  	  0.164  	  0.833
62  	  N  	  0.161  	  0.833
63  	  N  	  0.159  	  0.833
64  	  N  	  0.156  	  0.833
65  	  N  	  0.154  	  0.833
66  	  N  	  0.152  	  0.833
67  	  N  	  0.149  	  0.833
68  	  N  	  0.147  	  0.833
69  	  N  	  0.145  	  0.833
70  	  N  	  0.143  	  0.833
71  	  N  	  0.141  	  0.833
72  	  N  	  0.139  	  0.833
73  	  N  	  0.137  	  0.833
74  	  N  	  0.135  	  0.833
75  	  N  	  0.133  	  0.833
76  	  N  	  0.132  	  0.833
77  	  N  	  0.130  	  0.833
78  	  N  	  0.128  	  0.833
79  	  N  	  0.127  	  0.833
80  	  N  	  0.125  	  0.833
81  	  N  	  0.123  	  0.833
82  	  N  	  0.122  	  0.833
83  	  N  	  0.120  	  0.833
84  	  N  	  0.119  	  0.833
85  	  N  	  0.118  	  0.833
86  	  N  	  0.116  	  0.833
87  	  N  	  0.115  	  0.833
88  	  N  	  0.114  	  0.833
89  	  N  	  0.112  	  0.833
90  	  N  	  0.111  	  0.833
91  	  N  	  0.110  	  0.833
92  	  N  	  0.109  	  0.833
93  	  N  	  0.108  	  0.833
94  	  N  	  0.106  	  0.833
95  	  N  	  0.105  	  0.833
96  	  N  	  0.104  	  0.833
97  	  N  	  0.103  	  0.833
98  	  N  	  0.102  	  0.833
99  	  N  	  0.101  	  0.833
100  	  N  	  0.100  	  0.833
