Query 9: security considerations in local networks network operating systems and distributed systems

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  N  	  0.000  	  0.000
03  	  R  	  0.333  	  0.111
04  	  N  	  0.250  	  0.111
05  	  N  	  0.200  	  0.111
06  	  R  	  0.333  	  0.222
07  	  N  	  0.286  	  0.222
08  	  N  	  0.250  	  0.222
09  	  N  	  0.222  	  0.222
10  	  N  	  0.200  	  0.222
11  	  R  	  0.273  	  0.333
12  	  N  	  0.250  	  0.333
13  	  N  	  0.231  	  0.333
14  	  N  	  0.214  	  0.333
15  	  N  	  0.200  	  0.333
16  	  R  	  0.250  	  0.444
17  	  N  	  0.235  	  0.444
18  	  N  	  0.222  	  0.444
19  	  N  	  0.211  	  0.444
20  	  N  	  0.200  	  0.444
21  	  N  	  0.190  	  0.444
22  	  N  	  0.182  	  0.444
23  	  N  	  0.174  	  0.444
24  	  N  	  0.167  	  0.444
25  	  N  	  0.160  	  0.444
26  	  N  	  0.154  	  0.444
27  	  R  	  0.185  	  0.556
28  	  N  	  0.179  	  0.556
29  	  R  	  0.207  	  0.667
30  	  N  	  0.200  	  0.667
31  	  N  	  0.194  	  0.667
32  	  N  	  0.188  	  0.667
33  	  N  	  0.182  	  0.667
34  	  N  	  0.176  	  0.667
35  	  N  	  0.171  	  0.667
36  	  N  	  0.167  	  0.667
37  	  N  	  0.162  	  0.667
38  	  N  	  0.158  	  0.667
39  	  N  	  0.154  	  0.667
40  	  N  	  0.150  	  0.667
41  	  N  	  0.146  	  0.667
42  	  N  	  0.143  	  0.667
43  	  N  	  0.140  	  0.667
44  	  N  	  0.136  	  0.667
45  	  N  	  0.133  	  0.667
46  	  N  	  0.130  	  0.667
47  	  N  	  0.128  	  0.667
48  	  N  	  0.125  	  0.667
49  	  N  	  0.122  	  0.667
50  	  N  	  0.120  	  0.667
51  	  N  	  0.118  	  0.667
52  	  N  	  0.115  	  0.667
53  	  N  	  0.113  	  0.667
54  	  N  	  0.111  	  0.667
55  	  N  	  0.109  	  0.667
56  	  R  	  0.125  	  0.778
57  	  N  	  0.123  	  0.778
58  	  N  	  0.121  	  0.778
59  	  N  	  0.119  	  0.778
60  	  N  	  0.117  	  0.778
61  	  N  	  0.115  	  0.778
62  	  N  	  0.113  	  0.778
63  	  N  	  0.111  	  0.778
64  	  N  	  0.109  	  0.778
65  	  N  	  0.108  	  0.778
66  	  N  	  0.106  	  0.778
67  	  R  	  0.119  	  0.889
68  	  N  	  0.118  	  0.889
69  	  N  	  0.116  	  0.889
70  	  N  	  0.114  	  0.889
71  	  N  	  0.113  	  0.889
72  	  N  	  0.111  	  0.889
73  	  N  	  0.110  	  0.889
74  	  N  	  0.108  	  0.889
75  	  N  	  0.107  	  0.889
76  	  N  	  0.105  	  0.889
77  	  N  	  0.104  	  0.889
78  	  N  	  0.103  	  0.889
79  	  N  	  0.101  	  0.889
80  	  R  	  0.113  	  1.000
81  	  N  	  0.111  	  1.000
82  	  N  	  0.110  	  1.000
83  	  N  	  0.108  	  1.000
84  	  N  	  0.107  	  1.000
85  	  N  	  0.106  	  1.000
86  	  N  	  0.105  	  1.000
87  	  N  	  0.103  	  1.000
88  	  N  	  0.102  	  1.000
89  	  N  	  0.101  	  1.000
90  	  N  	  0.100  	  1.000
91  	  N  	  0.099  	  1.000
92  	  N  	  0.098  	  1.000
93  	  N  	  0.097  	  1.000
94  	  N  	  0.096  	  1.000
95  	  N  	  0.095  	  1.000
96  	  N  	  0.094  	  1.000
97  	  N  	  0.093  	  1.000
98  	  N  	  0.092  	  1.000
99  	  N  	  0.091  	  1.000
100  	  N  	  0.090  	  1.000
