Query 10: parallel languages languages for parallel computation

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.029
02  	  R  	  1.000  	  0.057
03  	  R  	  1.000  	  0.086
04  	  N  	  0.750  	  0.086
05  	  N  	  0.600  	  0.086
06  	  N  	  0.500  	  0.086
07  	  R  	  0.571  	  0.114
08  	  R  	  0.625  	  0.143
09  	  N  	  0.556  	  0.143
10  	  R  	  0.600  	  0.171
11  	  N  	  0.545  	  0.171
12  	  R  	  0.583  	  0.200
13  	  R  	  0.615  	  0.229
14  	  R  	  0.643  	  0.257
15  	  N  	  0.600  	  0.257
16  	  N  	  0.562  	  0.257
17  	  R  	  0.588  	  0.286
18  	  N  	  0.556  	  0.286
19  	  N  	  0.526  	  0.286
20  	  N  	  0.500  	  0.286
21  	  R  	  0.524  	  0.314
22  	  N  	  0.500  	  0.314
23  	  N  	  0.478  	  0.314
24  	  R  	  0.500  	  0.343
25  	  R  	  0.520  	  0.371
26  	  N  	  0.500  	  0.371
27  	  N  	  0.481  	  0.371
28  	  N  	  0.464  	  0.371
29  	  N  	  0.448  	  0.371
30  	  R  	  0.467  	  0.400
31  	  N  	  0.452  	  0.400
32  	  R  	  0.469  	  0.429
33  	  R  	  0.485  	  0.457
34  	  N  	  0.471  	  0.457
35  	  N  	  0.457  	  0.457
36  	  N  	  0.444  	  0.457
37  	  N  	  0.432  	  0.457
38  	  N  	  0.421  	  0.457
39  	  R  	  0.436  	  0.486
40  	  N  	  0.425  	  0.486
41  	  N  	  0.415  	  0.486
42  	  N  	  0.405  	  0.486
43  	  N  	  0.395  	  0.486
44  	  N  	  0.386  	  0.486
45  	  N  	  0.378  	  0.486
46  	  N  	  0.370  	  0.486
47  	  N  	  0.362  	  0.486
48  	  N  	  0.354  	  0.486
49  	  N  	  0.347  	  0.486
50  	  N  	  0.340  	  0.486
51  	  N  	  0.333  	  0.486
52  	  N  	  0.327  	  0.486
53  	  N  	  0.321  	  0.486
54  	  N  	  0.315  	  0.486
55  	  N  	  0.309  	  0.486
56  	  N  	  0.304  	  0.486
57  	  N  	  0.298  	  0.486
58  	  N  	  0.293  	  0.486
59  	  N  	  0.288  	  0.486
60  	  N  	  0.283  	  0.486
61  	  N  	  0.279  	  0.486
62  	  N  	  0.274  	  0.486
63  	  N  	  0.270  	  0.486
64  	  N  	  0.266  	  0.486
65  	  N  	  0.262  	  0.486
66  	  N  	  0.258  	  0.486
67  	  N  	  0.254  	  0.486
68  	  N  	  0.250  	  0.486
69  	  N  	  0.246  	  0.486
70  	  N  	  0.243  	  0.486
71  	  N  	  0.239  	  0.486
72  	  N  	  0.236  	  0.486
73  	  N  	  0.233  	  0.486
74  	  N  	  0.230  	  0.486
75  	  N  	  0.227  	  0.486
76  	  N  	  0.224  	  0.486
77  	  N  	  0.221  	  0.486
78  	  N  	  0.218  	  0.486
79  	  N  	  0.215  	  0.486
80  	  N  	  0.212  	  0.486
81  	  N  	  0.210  	  0.486
82  	  N  	  0.207  	  0.486
83  	  N  	  0.205  	  0.486
84  	  N  	  0.202  	  0.486
85  	  N  	  0.200  	  0.486
86  	  N  	  0.198  	  0.486
87  	  N  	  0.195  	  0.486
88  	  N  	  0.193  	  0.486
89  	  R  	  0.202  	  0.514
90  	  R  	  0.211  	  0.543
91  	  N  	  0.209  	  0.543
92  	  N  	  0.207  	  0.543
93  	  N  	  0.204  	  0.543
94  	  N  	  0.202  	  0.543
95  	  R  	  0.211  	  0.571
96  	  N  	  0.208  	  0.571
97  	  N  	  0.206  	  0.571
98  	  N  	  0.204  	  0.571
99  	  N  	  0.202  	  0.571
100  	  R  	  0.210  	  0.600
