Query 16: find all descriptions of file handling in operating systems based on multiple processes and message passing

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  N  	  0.000  	  0.000
03  	  N  	  0.000  	  0.000
04  	  N  	  0.000  	  0.000
05  	  N  	  0.000  	  0.000
06  	  N  	  0.000  	  0.000
07  	  N  	  0.000  	  0.000
08  	  N  	  0.000  	  0.000
09  	  R  	  0.111  	  0.059
10  	  N  	  0.100  	  0.059
11  	  N  	  0.091  	  0.059
12  	  R  	  0.167  	  0.118
13  	  N  	  0.154  	  0.118
14  	  N  	  0.143  	  0.118
15  	  N  	  0.133  	  0.118
16  	  N  	  0.125  	  0.118
17  	  N  	  0.118  	  0.118
18  	  N  	  0.111  	  0.118
19  	  R  	  0.158  	  0.176
20  	  N  	  0.150  	  0.176
21  	  R  	  0.190  	  0.235
22  	  N  	  0.182  	  0.235
23  	  N  	  0.174  	  0.235
24  	  N  	  0.167  	  0.235
25  	  N  	  0.160  	  0.235
26  	  N  	  0.154  	  0.235
27  	  N  	  0.148  	  0.235
28  	  N  	  0.143  	  0.235
29  	  N  	  0.138  	  0.235
30  	  N  	  0.133  	  0.235
31  	  N  	  0.129  	  0.235
32  	  N  	  0.125  	  0.235
33  	  N  	  0.121  	  0.235
34  	  N  	  0.118  	  0.235
35  	  N  	  0.114  	  0.235
36  	  N  	  0.111  	  0.235
37  	  R  	  0.135  	  0.294
38  	  N  	  0.132  	  0.294
39  	  N  	  0.128  	  0.294
40  	  N  	  0.125  	  0.294
41  	  N  	  0.122  	  0.294
42  	  N  	  0.119  	  0.294
43  	  N  	  0.116  	  0.294
44  	  N  	  0.114  	  0.294
45  	  R  	  0.133  	  0.353
46  	  N  	  0.130  	  0.353
47  	  N  	  0.128  	  0.353
48  	  N  	  0.125  	  0.353
49  	  N  	  0.122  	  0.353
50  	  N  	  0.120  	  0.353
51  	  N  	  0.118  	  0.353
52  	  N  	  0.115  	  0.353
53  	  R  	  0.132  	  0.412
54  	  N  	  0.130  	  0.412
55  	  N  	  0.127  	  0.412
56  	  N  	  0.125  	  0.412
57  	  N  	  0.123  	  0.412
58  	  N  	  0.121  	  0.412
59  	  N  	  0.119  	  0.412
60  	  N  	  0.117  	  0.412
61  	  N  	  0.115  	  0.412
62  	  N  	  0.113  	  0.412
63  	  N  	  0.111  	  0.412
64  	  N  	  0.109  	  0.412
65  	  N  	  0.108  	  0.412
66  	  N  	  0.106  	  0.412
67  	  N  	  0.104  	  0.412
68  	  N  	  0.103  	  0.412
69  	  N  	  0.101  	  0.412
70  	  N  	  0.100  	  0.412
71  	  N  	  0.099  	  0.412
72  	  N  	  0.097  	  0.412
73  	  N  	  0.096  	  0.412
74  	  N  	  0.095  	  0.412
75  	  N  	  0.093  	  0.412
76  	  N  	  0.092  	  0.412
77  	  N  	  0.091  	  0.412
78  	  N  	  0.090  	  0.412
79  	  N  	  0.089  	  0.412
80  	  N  	  0.087  	  0.412
81  	  N  	  0.086  	  0.412
82  	  N  	  0.085  	  0.412
83  	  N  	  0.084  	  0.412
84  	  N  	  0.083  	  0.412
85  	  N  	  0.082  	  0.412
86  	  N  	  0.081  	  0.412
87  	  N  	  0.080  	  0.412
88  	  N  	  0.080  	  0.412
89  	  N  	  0.079  	  0.412
90  	  N  	  0.078  	  0.412
91  	  N  	  0.077  	  0.412
92  	  N  	  0.076  	  0.412
93  	  N  	  0.075  	  0.412
94  	  N  	  0.074  	  0.412
95  	  N  	  0.074  	  0.412
96  	  N  	  0.073  	  0.412
97  	  N  	  0.072  	  0.412
98  	  N  	  0.071  	  0.412
99  	  N  	  0.071  	  0.412
100  	  N  	  0.070  	  0.412
