Query 25: performance evaluation and modelling of computer systems

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.020
02  	  N  	  0.500  	  0.020
03  	  N  	  0.333  	  0.020
04  	  R  	  0.500  	  0.039
05  	  R  	  0.600  	  0.059
06  	  N  	  0.500  	  0.059
07  	  R  	  0.571  	  0.078
08  	  R  	  0.625  	  0.098
09  	  N  	  0.556  	  0.098
10  	  N  	  0.500  	  0.098
11  	  N  	  0.455  	  0.098
12  	  N  	  0.417  	  0.098
13  	  R  	  0.462  	  0.118
14  	  R  	  0.500  	  0.137
15  	  N  	  0.467  	  0.137
16  	  N  	  0.438  	  0.137
17  	  N  	  0.412  	  0.137
18  	  N  	  0.389  	  0.137
19  	  N  	  0.368  	  0.137
20  	  N  	  0.350  	  0.137
21  	  N  	  0.333  	  0.137
22  	  N  	  0.318  	  0.137
23  	  R  	  0.348  	  0.157
24  	  N  	  0.333  	  0.157
25  	  R  	  0.360  	  0.176
26  	  N  	  0.346  	  0.176
27  	  N  	  0.333  	  0.176
28  	  R  	  0.357  	  0.196
29  	  N  	  0.345  	  0.196
30  	  N  	  0.333  	  0.196
31  	  N  	  0.323  	  0.196
32  	  N  	  0.312  	  0.196
33  	  N  	  0.303  	  0.196
34  	  R  	  0.324  	  0.216
35  	  N  	  0.314  	  0.216
36  	  R  	  0.333  	  0.235
37  	  N  	  0.324  	  0.235
38  	  N  	  0.316  	  0.235
39  	  N  	  0.308  	  0.235
40  	  N  	  0.300  	  0.235
41  	  R  	  0.317  	  0.255
42  	  N  	  0.310  	  0.255
43  	  N  	  0.302  	  0.255
44  	  R  	  0.318  	  0.275
45  	  R  	  0.333  	  0.294
46  	  N  	  0.326  	  0.294
47  	  N  	  0.319  	  0.294
48  	  R  	  0.333  	  0.314
49  	  N  	  0.327  	  0.314
50  	  N  	  0.320  	  0.314
51  	  N  	  0.314  	  0.314
52  	  N  	  0.308  	  0.314
53  	  N  	  0.302  	  0.314
54  	  N  	  0.296  	  0.314
55  	  N  	  0.291  	  0.314
56  	  N  	  0.286  	  0.314
57  	  N  	  0.281  	  0.314
58  	  N  	  0.276  	  0.314
59  	  N  	  0.271  	  0.314
60  	  N  	  0.267  	  0.314
61  	  N  	  0.262  	  0.314
62  	  R  	  0.274  	  0.333
63  	  N  	  0.270  	  0.333
64  	  R  	  0.281  	  0.353
65  	  N  	  0.277  	  0.353
66  	  N  	  0.273  	  0.353
67  	  N  	  0.269  	  0.353
68  	  N  	  0.265  	  0.353
69  	  N  	  0.261  	  0.353
70  	  N  	  0.257  	  0.353
71  	  R  	  0.268  	  0.373
72  	  N  	  0.264  	  0.373
73  	  N  	  0.260  	  0.373
74  	  N  	  0.257  	  0.373
75  	  N  	  0.253  	  0.373
76  	  N  	  0.250  	  0.373
77  	  N  	  0.247  	  0.373
78  	  N  	  0.244  	  0.373
79  	  N  	  0.241  	  0.373
80  	  N  	  0.237  	  0.373
81  	  N  	  0.235  	  0.373
82  	  N  	  0.232  	  0.373
83  	  N  	  0.229  	  0.373
84  	  N  	  0.226  	  0.373
85  	  R  	  0.235  	  0.392
86  	  N  	  0.233  	  0.392
87  	  N  	  0.230  	  0.392
88  	  N  	  0.227  	  0.392
89  	  N  	  0.225  	  0.392
90  	  R  	  0.233  	  0.412
91  	  N  	  0.231  	  0.412
92  	  N  	  0.228  	  0.412
93  	  N  	  0.226  	  0.412
94  	  N  	  0.223  	  0.412
95  	  N  	  0.221  	  0.412
96  	  N  	  0.219  	  0.412
97  	  R  	  0.227  	  0.431
98  	  N  	  0.224  	  0.431
99  	  N  	  0.222  	  0.431
100  	  N  	  0.220  	  0.431
