Query 26: concurrency control mechanisms in operating systems

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  N  	  0.000  	  0.000
03  	  N  	  0.000  	  0.000
04  	  R  	  0.250  	  0.033
05  	  R  	  0.400  	  0.067
06  	  R  	  0.500  	  0.100
07  	  N  	  0.429  	  0.100
08  	  N  	  0.375  	  0.100
09  	  N  	  0.333  	  0.100
10  	  R  	  0.400  	  0.133
11  	  N  	  0.364  	  0.133
12  	  N  	  0.333  	  0.133
13  	  N  	  0.308  	  0.133
14  	  N  	  0.286  	  0.133
15  	  R  	  0.333  	  0.167
16  	  R  	  0.375  	  0.200
17  	  N  	  0.353  	  0.200
18  	  N  	  0.333  	  0.200
19  	  N  	  0.316  	  0.200
20  	  N  	  0.300  	  0.200
21  	  N  	  0.286  	  0.200
22  	  N  	  0.273  	  0.200
23  	  N  	  0.261  	  0.200
24  	  N  	  0.250  	  0.200
25  	  N  	  0.240  	  0.200
26  	  N  	  0.231  	  0.200
27  	  N  	  0.222  	  0.200
28  	  N  	  0.214  	  0.200
29  	  N  	  0.207  	  0.200
30  	  N  	  0.200  	  0.200
31  	  N  	  0.194  	  0.200
32  	  N  	  0.188  	  0.200
33  	  N  	  0.182  	  0.200
34  	  N  	  0.176  	  0.200
35  	  R  	  0.200  	  0.233
36  	  N  	  0.194  	  0.233
37  	  N  	  0.189  	  0.233
38  	  N  	  0.184  	  0.233
39  	  N  	  0.179  	  0.233
40  	  N  	  0.175  	  0.233
41  	  N  	  0.171  	  0.233
42  	  N  	  0.167  	  0.233
43  	  N  	  0.163  	  0.233
44  	  N  	  0.159  	  0.233
45  	  N  	  0.156  	  0.233
46  	  N  	  0.152  	  0.233
47  	  N  	  0.149  	  0.233
48  	  N  	  0.146  	  0.233
49  	  N  	  0.143  	  0.233
50  	  N  	  0.140  	  0.233
51  	  N  	  0.137  	  0.233
52  	  N  	  0.135  	  0.233
53  	  N  	  0.132  	  0.233
54  	  N  	  0.130  	  0.233
55  	  N  	  0.127  	  0.233
56  	  N  	  0.125  	  0.233
57  	  N  	  0.123  	  0.233
58  	  N  	  0.121  	  0.233
59  	  N  	  0.119  	  0.233
60  	  N  	  0.117  	  0.233
61  	  N  	  0.115  	  0.233
62  	  N  	  0.113  	  0.233
63  	  N  	  0.111  	  0.233
64  	  R  	  0.125  	  0.267
65  	  R  	  0.138  	  0.300
66  	  N  	  0.136  	  0.300
67  	  N  	  0.134  	  0.300
68  	  N  	  0.132  	  0.300
69  	  N  	  0.130  	  0.300
70  	  N  	  0.129  	  0.300
71  	  R  	  0.141  	  0.333
72  	  N  	  0.139  	  0.333
73  	  N  	  0.137  	  0.333
74  	  N  	  0.135  	  0.333
75  	  N  	  0.133  	  0.333
76  	  N  	  0.132  	  0.333
77  	  N  	  0.130  	  0.333
78  	  N  	  0.128  	  0.333
79  	  N  	  0.127  	  0.333
80  	  N  	  0.125  	  0.333
81  	  R  	  0.136  	  0.367
82  	  N  	  0.134  	  0.367
83  	  R  	  0.145  	  0.400
84  	  N  	  0.143  	  0.400
85  	  N  	  0.141  	  0.400
86  	  N  	  0.140  	  0.400
87  	  N  	  0.138  	  0.400
88  	  N  	  0.136  	  0.400
89  	  N  	  0.135  	  0.400
90  	  N  	  0.133  	  0.400
91  	  N  	  0.132  	  0.400
92  	  N  	  0.130  	  0.400
93  	  N  	  0.129  	  0.400
94  	  N  	  0.128  	  0.400
95  	  N  	  0.126  	  0.400
96  	  N  	  0.125  	  0.400
97  	  N  	  0.124  	  0.400
98  	  N  	  0.122  	  0.400
99  	  N  	  0.121  	  0.400
100  	  N  	  0.120  	  0.400
