Query 27: memory management aspects of operating systems

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.034
02  	  N  	  0.500  	  0.034
03  	  N  	  0.333  	  0.034
04  	  N  	  0.250  	  0.034
05  	  R  	  0.400  	  0.069
06  	  N  	  0.333  	  0.069
07  	  N  	  0.286  	  0.069
08  	  N  	  0.250  	  0.069
09  	  R  	  0.333  	  0.103
10  	  N  	  0.300  	  0.103
11  	  N  	  0.273  	  0.103
12  	  R  	  0.333  	  0.138
13  	  N  	  0.308  	  0.138
14  	  N  	  0.286  	  0.138
15  	  R  	  0.333  	  0.172
16  	  N  	  0.312  	  0.172
17  	  N  	  0.294  	  0.172
18  	  R  	  0.333  	  0.207
19  	  N  	  0.316  	  0.207
20  	  N  	  0.300  	  0.207
21  	  R  	  0.333  	  0.241
22  	  R  	  0.364  	  0.276
23  	  N  	  0.348  	  0.276
24  	  N  	  0.333  	  0.276
25  	  N  	  0.320  	  0.276
26  	  R  	  0.346  	  0.310
27  	  N  	  0.333  	  0.310
28  	  N  	  0.321  	  0.310
29  	  N  	  0.310  	  0.310
30  	  N  	  0.300  	  0.310
31  	  N  	  0.290  	  0.310
32  	  N  	  0.281  	  0.310
33  	  N  	  0.273  	  0.310
34  	  N  	  0.265  	  0.310
35  	  N  	  0.257  	  0.310
36  	  N  	  0.250  	  0.310
37  	  N  	  0.243  	  0.310
38  	  N  	  0.237  	  0.310
39  	  N  	  0.231  	  0.310
40  	  N  	  0.225  	  0.310
41  	  N  	  0.220  	  0.310
42  	  N  	  0.214  	  0.310
43  	  N  	  0.209  	  0.310
44  	  N  	  0.205  	  0.310
45  	  N  	  0.200  	  0.310
46  	  N  	  0.196  	  0.310
47  	  N  	  0.191  	  0.310
48  	  N  	  0.188  	  0.310
49  	  N  	  0.184  	  0.310
50  	  N  	  0.180  	  0.310
51  	  R  	  0.196  	  0.345
52  	  N  	  0.192  	  0.345
53  	  R  	  0.208  	  0.379
54  	  N  	  0.204  	  0.379
55  	  N  	  0.200  	  0.379
56  	  N  	  0.196  	  0.379
57  	  N  	  0.193  	  0.379
58  	  N  	  0.190  	  0.379
59  	  N  	  0.186  	  0.379
60  	  N  	  0.183  	  0.379
61  	  N  	  0.180  	  0.379
62  	  N  	  0.177  	  0.379
63  	  N  	  0.175  	  0.379
64  	  R  	  0.188  	  0.414
65  	  N  	  0.185  	  0.414
66  	  N  	  0.182  	  0.414
67  	  N  	  0.179  	  0.414
68  	  N  	  0.176  	  0.414
69  	  N  	  0.174  	  0.414
70  	  R  	  0.186  	  0.448
71  	  N  	  0.183  	  0.448
72  	  N  	  0.181  	  0.448
73  	  N  	  0.178  	  0.448
74  	  R  	  0.189  	  0.483
75  	  N  	  0.187  	  0.483
76  	  N  	  0.184  	  0.483
77  	  N  	  0.182  	  0.483
78  	  N  	  0.179  	  0.483
79  	  N  	  0.177  	  0.483
80  	  N  	  0.175  	  0.483
81  	  N  	  0.173  	  0.483
82  	  N  	  0.171  	  0.483
83  	  N  	  0.169  	  0.483
84  	  N  	  0.167  	  0.483
85  	  N  	  0.165  	  0.483
86  	  N  	  0.163  	  0.483
87  	  N  	  0.161  	  0.483
88  	  N  	  0.159  	  0.483
89  	  N  	  0.157  	  0.483
90  	  N  	  0.156  	  0.483
91  	  N  	  0.154  	  0.483
92  	  N  	  0.152  	  0.483
93  	  N  	  0.151  	  0.483
94  	  N  	  0.149  	  0.483
95  	  N  	  0.147  	  0.483
96  	  N  	  0.146  	  0.483
97  	  N  	  0.144  	  0.483
98  	  N  	  0.143  	  0.483
99  	  N  	  0.141  	  0.483
100  	  N  	  0.140  	  0.483
