Query 36: fast algorithm for context free language recognition or parsing

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.050
02  	  R  	  1.000  	  0.100
03  	  N  	  0.667  	  0.100
04  	  N  	  0.500  	  0.100
05  	  N  	  0.400  	  0.100
06  	  N  	  0.333  	  0.100
07  	  R  	  0.429  	  0.150
08  	  N  	  0.375  	  0.150
09  	  R  	  0.444  	  0.200
10  	  N  	  0.400  	  0.200
11  	  N  	  0.364  	  0.200
12  	  R  	  0.417  	  0.250
13  	  R  	  0.462  	  0.300
14  	  R  	  0.500  	  0.350
15  	  R  	  0.533  	  0.400
16  	  N  	  0.500  	  0.400
17  	  R  	  0.529  	  0.450
18  	  R  	  0.556  	  0.500
19  	  N  	  0.526  	  0.500
20  	  R  	  0.550  	  0.550
21  	  N  	  0.524  	  0.550
22  	  R  	  0.545  	  0.600
23  	  R  	  0.565  	  0.650
24  	  N  	  0.542  	  0.650
25  	  N  	  0.520  	  0.650
26  	  N  	  0.500  	  0.650
27  	  N  	  0.481  	  0.650
28  	  N  	  0.464  	  0.650
29  	  N  	  0.448  	  0.650
30  	  N  	  0.433  	  0.650
31  	  N  	  0.419  	  0.650
32  	  N  	  0.406  	  0.650
33  	  R  	  0.424  	  0.700
34  	  N  	  0.412  	  0.700
35  	  N  	  0.400  	  0.700
36  	  N  	  0.389  	  0.700
37  	  N  	  0.378  	  0.700
38  	  N  	  0.368  	  0.700
39  	  N  	  0.359  	  0.700
40  	  N  	  0.350  	  0.700
41  	  N  	  0.341  	  0.700
42  	  N  	  0.333  	  0.700
43  	  N  	  0.326  	  0.700
44  	  N  	  0.318  	  0.700
45  	  N  	  0.311  	  0.700
46  	  N  	  0.304  	  0.700
47  	  N  	  0.298  	  0.700
48  	  N  	  0.292  	  0.700
49  	  N  	  0.286  	  0.700
50  	  N  	  0.280  	  0.700
51  	  R  	  0.294  	  0.750
52  	  N  	  0.288  	  0.750
53  	  N  	  0.283  	  0.750
54  	  N  	  0.278  	  0.750
55  	  N  	  0.273  	  0.750
56  	  N  	  0.268  	  0.750
57  	  N  	  0.263  	  0.750
58  	  N  	  0.259  	  0.750
59  	  N  	  0.254  	  0.750
60  	  N  	  0.250  	  0.750
61  	  N  	  0.246  	  0.750
62  	  N  	  0.242  	  0.750
63  	  N  	  0.238  	  0.750
64  	  N  	  0.234  	  0.750
65  	  N  	  0.231  	  0.750
66  	  N  	  0.227  	  0.750
67  	  N  	  0.224  	  0.750
68  	  N  	  0.221  	  0.750
69  	  N  	  0.217  	  0.750
70  	  N  	  0.214  	  0.750
71  	  N  	  0.211  	  0.750
72  	  N  	  0.208  	  0.750
73  	  N  	  0.205  	  0.750
74  	  N  	  0.203  	  0.750
75  	  N  	  0.200  	  0.750
76  	  N  	  0.197  	  0.750
77  	  N  	  0.195  	  0.750
78  	  N  	  0.192  	  0.750
79  	  N  	  0.190  	  0.750
80  	  N  	  0.188  	  0.750
81  	  N  	  0.185  	  0.750
82  	  N  	  0.183  	  0.750
83  	  R  	  0.193  	  0.800
84  	  N  	  0.190  	  0.800
85  	  N  	  0.188  	  0.800
86  	  N  	  0.186  	  0.800
87  	  N  	  0.184  	  0.800
88  	  N  	  0.182  	  0.800
89  	  N  	  0.180  	  0.800
90  	  N  	  0.178  	  0.800
91  	  R  	  0.187  	  0.850
92  	  N  	  0.185  	  0.850
93  	  N  	  0.183  	  0.850
94  	  N  	  0.181  	  0.850
95  	  N  	  0.179  	  0.850
96  	  N  	  0.177  	  0.850
97  	  N  	  0.175  	  0.850
98  	  N  	  0.173  	  0.850
99  	  N  	  0.172  	  0.850
100  	  N  	  0.170  	  0.850
