Query 37: articles describing the relationship between data types and concurrency e g what is the type of a process when is a synchronization attempt between two processes type correct in a message passing system is there any notion of the types of messages i e any way to check that the sender of the message and the receiver are both treating the bit stream as some particular type

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.083
02  	  N  	  0.500  	  0.083
03  	  N  	  0.333  	  0.083
04  	  N  	  0.250  	  0.083
05  	  R  	  0.400  	  0.167
06  	  N  	  0.333  	  0.167
07  	  N  	  0.286  	  0.167
08  	  R  	  0.375  	  0.250
09  	  N  	  0.333  	  0.250
10  	  N  	  0.300  	  0.250
11  	  R  	  0.364  	  0.333
12  	  R  	  0.417  	  0.417
13  	  N  	  0.385  	  0.417
14  	  N  	  0.357  	  0.417
15  	  N  	  0.333  	  0.417
16  	  N  	  0.312  	  0.417
17  	  N  	  0.294  	  0.417
18  	  R  	  0.333  	  0.500
19  	  N  	  0.316  	  0.500
20  	  N  	  0.300  	  0.500
21  	  N  	  0.286  	  0.500
22  	  N  	  0.273  	  0.500
23  	  N  	  0.261  	  0.500
24  	  N  	  0.250  	  0.500
25  	  N  	  0.240  	  0.500
26  	  N  	  0.231  	  0.500
27  	  N  	  0.222  	  0.500
28  	  N  	  0.214  	  0.500
29  	  N  	  0.207  	  0.500
30  	  N  	  0.200  	  0.500
31  	  N  	  0.194  	  0.500
32  	  N  	  0.188  	  0.500
33  	  N  	  0.182  	  0.500
34  	  N  	  0.176  	  0.500
35  	  N  	  0.171  	  0.500
36  	  N  	  0.167  	  0.500
37  	  N  	  0.162  	  0.500
38  	  N  	  0.158  	  0.500
39  	  N  	  0.154  	  0.500
40  	  N  	  0.150  	  0.500
41  	  N  	  0.146  	  0.500
42  	  N  	  0.143  	  0.500
43  	  N  	  0.140  	  0.500
44  	  N  	  0.136  	  0.500
45  	  R  	  0.156  	  0.583
46  	  N  	  0.152  	  0.583
47  	  N  	  0.149  	  0.583
48  	  N  	  0.146  	  0.583
49  	  N  	  0.143  	  0.583
50  	  N  	  0.140  	  0.583
51  	  N  	  0.137  	  0.583
52  	  N  	  0.135  	  0.583
53  	  N  	  0.132  	  0.583
54  	  N  	  0.130  	  0.583
55  	  N  	  0.127  	  0.583
56  	  N  	  0.125  	  0.583
57  	  N  	  0.123  	  0.583
58  	  N  	  0.121  	  0.583
59  	  N  	  0.119  	  0.583
60  	  N  	  0.117  	  0.583
61  	  N  	  0.115  	  0.583
62  	  N  	  0.113  	  0.583
63  	  N  	  0.111  	  0.583
64  	  N  	  0.109  	  0.583
65  	  N  	  0.108  	  0.583
66  	  N  	  0.106  	  0.583
67  	  N  	  0.104  	  0.583
68  	  N  	  0.103  	  0.583
69  	  N  	  0.101  	  0.583
70  	  N  	  0.100  	  0.583
71  	  N  	  0.099  	  0.583
72  	  N  	  0.097  	  0.583
73  	  N  	  0.096  	  0.583
74  	  N  	  0.095  	  0.583
75  	  N  	  0.093  	  0.583
76  	  N  	  0.092  	  0.583
77  	  N  	  0.091  	  0.583
78  	  N  	  0.090  	  0.583
79  	  N  	  0.089  	  0.583
80  	  N  	  0.087  	  0.583
81  	  N  	  0.086  	  0.583
82  	  N  	  0.085  	  0.583
83  	  N  	  0.084  	  0.583
84  	  N  	  0.083  	  0.583
85  	  N  	  0.082  	  0.583
86  	  N  	  0.081  	  0.583
87  	  N  	  0.080  	  0.583
88  	  N  	  0.080  	  0.583
89  	  N  	  0.079  	  0.583
90  	  N  	  0.078  	  0.583
91  	  N  	  0.077  	  0.583
92  	  N  	  0.076  	  0.583
93  	  N  	  0.075  	  0.583
94  	  N  	  0.074  	  0.583
95  	  N  	  0.074  	  0.583
96  	  N  	  0.073  	  0.583
97  	  N  	  0.072  	  0.583
98  	  N  	  0.071  	  0.583
99  	  N  	  0.071  	  0.583
100  	  N  	  0.070  	  0.583
