Query 42: computer performance evaluation techniques using pattern recognition and clustering la 70803

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  N  	  0.000  	  0.000
03  	  N  	  0.000  	  0.000
04  	  N  	  0.000  	  0.000
05  	  N  	  0.000  	  0.000
06  	  N  	  0.000  	  0.000
07  	  N  	  0.000  	  0.000
08  	  R  	  0.125  	  0.048
09  	  N  	  0.111  	  0.048
10  	  N  	  0.100  	  0.048
11  	  N  	  0.091  	  0.048
12  	  N  	  0.083  	  0.048
13  	  N  	  0.077  	  0.048
14  	  N  	  0.071  	  0.048
15  	  R  	  0.133  	  0.095
16  	  N  	  0.125  	  0.095
17  	  N  	  0.118  	  0.095
18  	  N  	  0.111  	  0.095
19  	  N  	  0.105  	  0.095
20  	  N  	  0.100  	  0.095
21  	  N  	  0.095  	  0.095
22  	  N  	  0.091  	  0.095
23  	  N  	  0.087  	  0.095
24  	  R  	  0.125  	  0.143
25  	  N  	  0.120  	  0.143
26  	  N  	  0.115  	  0.143
27  	  N  	  0.111  	  0.143
28  	  N  	  0.107  	  0.143
29  	  N  	  0.103  	  0.143
30  	  N  	  0.100  	  0.143
31  	  N  	  0.097  	  0.143
32  	  N  	  0.094  	  0.143
33  	  N  	  0.091  	  0.143
34  	  N  	  0.088  	  0.143
35  	  R  	  0.114  	  0.190
36  	  R  	  0.139  	  0.238
37  	  N  	  0.135  	  0.238
38  	  N  	  0.132  	  0.238
39  	  N  	  0.128  	  0.238
40  	  N  	  0.125  	  0.238
41  	  N  	  0.122  	  0.238
42  	  N  	  0.119  	  0.238
43  	  N  	  0.116  	  0.238
44  	  N  	  0.114  	  0.238
45  	  N  	  0.111  	  0.238
46  	  N  	  0.109  	  0.238
47  	  N  	  0.106  	  0.238
48  	  N  	  0.104  	  0.238
49  	  N  	  0.102  	  0.238
50  	  N  	  0.100  	  0.238
51  	  N  	  0.098  	  0.238
52  	  R  	  0.115  	  0.286
53  	  N  	  0.113  	  0.286
54  	  R  	  0.130  	  0.333
55  	  N  	  0.127  	  0.333
56  	  R  	  0.143  	  0.381
57  	  N  	  0.140  	  0.381
58  	  N  	  0.138  	  0.381
59  	  N  	  0.136  	  0.381
60  	  N  	  0.133  	  0.381
61  	  N  	  0.131  	  0.381
62  	  N  	  0.129  	  0.381
63  	  N  	  0.127  	  0.381
64  	  R  	  0.141  	  0.429
65  	  N  	  0.138  	  0.429
66  	  N  	  0.136  	  0.429
67  	  N  	  0.134  	  0.429
68  	  N  	  0.132  	  0.429
69  	  N  	  0.130  	  0.429
70  	  N  	  0.129  	  0.429
71  	  N  	  0.127  	  0.429
72  	  N  	  0.125  	  0.429
73  	  R  	  0.137  	  0.476
74  	  N  	  0.135  	  0.476
75  	  N  	  0.133  	  0.476
76  	  N  	  0.132  	  0.476
77  	  N  	  0.130  	  0.476
78  	  N  	  0.128  	  0.476
79  	  N  	  0.127  	  0.476
80  	  N  	  0.125  	  0.476
81  	  N  	  0.123  	  0.476
82  	  N  	  0.122  	  0.476
83  	  N  	  0.120  	  0.476
84  	  N  	  0.119  	  0.476
85  	  N  	  0.118  	  0.476
86  	  N  	  0.116  	  0.476
87  	  N  	  0.115  	  0.476
88  	  N  	  0.114  	  0.476
89  	  N  	  0.112  	  0.476
90  	  N  	  0.111  	  0.476
91  	  N  	  0.110  	  0.476
92  	  N  	  0.109  	  0.476
93  	  N  	  0.108  	  0.476
94  	  N  	  0.106  	  0.476
95  	  N  	  0.105  	  0.476
96  	  N  	  0.104  	  0.476
97  	  N  	  0.103  	  0.476
98  	  N  	  0.102  	  0.476
99  	  N  	  0.101  	  0.476
100  	  N  	  0.100  	  0.476
