Query 43: analysis and perception of shape by humans and computers shape descriptions shape recognition by computer two dimensional shapes measures of circularity shape matching

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.024
02  	  N  	  0.500  	  0.024
03  	  N  	  0.333  	  0.024
04  	  N  	  0.250  	  0.024
05  	  N  	  0.200  	  0.024
06  	  N  	  0.167  	  0.024
07  	  N  	  0.143  	  0.024
08  	  R  	  0.250  	  0.049
09  	  N  	  0.222  	  0.049
10  	  N  	  0.200  	  0.049
11  	  R  	  0.273  	  0.073
12  	  R  	  0.333  	  0.098
13  	  N  	  0.308  	  0.098
14  	  R  	  0.357  	  0.122
15  	  N  	  0.333  	  0.122
16  	  N  	  0.312  	  0.122
17  	  R  	  0.353  	  0.146
18  	  N  	  0.333  	  0.146
19  	  R  	  0.368  	  0.171
20  	  N  	  0.350  	  0.171
21  	  N  	  0.333  	  0.171
22  	  R  	  0.364  	  0.195
23  	  N  	  0.348  	  0.195
24  	  R  	  0.375  	  0.220
25  	  N  	  0.360  	  0.220
26  	  N  	  0.346  	  0.220
27  	  N  	  0.333  	  0.220
28  	  R  	  0.357  	  0.244
29  	  R  	  0.379  	  0.268
30  	  N  	  0.367  	  0.268
31  	  N  	  0.355  	  0.268
32  	  N  	  0.344  	  0.268
33  	  N  	  0.333  	  0.268
34  	  N  	  0.324  	  0.268
35  	  N  	  0.314  	  0.268
36  	  N  	  0.306  	  0.268
37  	  R  	  0.324  	  0.293
38  	  N  	  0.316  	  0.293
39  	  R  	  0.333  	  0.317
40  	  N  	  0.325  	  0.317
41  	  N  	  0.317  	  0.317
42  	  N  	  0.310  	  0.317
43  	  N  	  0.302  	  0.317
44  	  N  	  0.295  	  0.317
45  	  N  	  0.289  	  0.317
46  	  N  	  0.283  	  0.317
47  	  N  	  0.277  	  0.317
48  	  N  	  0.271  	  0.317
49  	  N  	  0.265  	  0.317
50  	  N  	  0.260  	  0.317
51  	  N  	  0.255  	  0.317
52  	  N  	  0.250  	  0.317
53  	  N  	  0.245  	  0.317
54  	  N  	  0.241  	  0.317
55  	  N  	  0.236  	  0.317
56  	  N  	  0.232  	  0.317
57  	  N  	  0.228  	  0.317
58  	  N  	  0.224  	  0.317
59  	  N  	  0.220  	  0.317
60  	  N  	  0.217  	  0.317
61  	  R  	  0.230  	  0.341
62  	  N  	  0.226  	  0.341
63  	  N  	  0.222  	  0.341
64  	  N  	  0.219  	  0.341
65  	  R  	  0.231  	  0.366
66  	  N  	  0.227  	  0.366
67  	  N  	  0.224  	  0.366
68  	  N  	  0.221  	  0.366
69  	  N  	  0.217  	  0.366
70  	  N  	  0.214  	  0.366
71  	  N  	  0.211  	  0.366
72  	  N  	  0.208  	  0.366
73  	  N  	  0.205  	  0.366
74  	  N  	  0.203  	  0.366
75  	  N  	  0.200  	  0.366
76  	  N  	  0.197  	  0.366
77  	  R  	  0.208  	  0.390
78  	  N  	  0.205  	  0.390
79  	  N  	  0.203  	  0.390
80  	  N  	  0.200  	  0.390
81  	  R  	  0.210  	  0.415
82  	  N  	  0.207  	  0.415
83  	  N  	  0.205  	  0.415
84  	  N  	  0.202  	  0.415
85  	  N  	  0.200  	  0.415
86  	  N  	  0.198  	  0.415
87  	  N  	  0.195  	  0.415
88  	  N  	  0.193  	  0.415
89  	  N  	  0.191  	  0.415
90  	  N  	  0.189  	  0.415
91  	  N  	  0.187  	  0.415
92  	  R  	  0.196  	  0.439
93  	  N  	  0.194  	  0.439
94  	  N  	  0.191  	  0.439
95  	  N  	  0.189  	  0.439
96  	  N  	  0.188  	  0.439
97  	  N  	  0.186  	  0.439
98  	  N  	  0.184  	  0.439
99  	  N  	  0.182  	  0.439
100  	  N  	  0.180  	  0.439
