Query 45: the use of operations research models to optimize information system performance this includes fine tuning decisions such as secondary index selection file reorganization and distributed databases

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.038
02  	  R  	  1.000  	  0.077
03  	  N  	  0.667  	  0.077
04  	  R  	  0.750  	  0.115
05  	  N  	  0.600  	  0.115
06  	  N  	  0.500  	  0.115
07  	  N  	  0.429  	  0.115
08  	  N  	  0.375  	  0.115
09  	  N  	  0.333  	  0.115
10  	  N  	  0.300  	  0.115
11  	  N  	  0.273  	  0.115
12  	  N  	  0.250  	  0.115
13  	  N  	  0.231  	  0.115
14  	  N  	  0.214  	  0.115
15  	  N  	  0.200  	  0.115
16  	  R  	  0.250  	  0.154
17  	  N  	  0.235  	  0.154
18  	  N  	  0.222  	  0.154
19  	  R  	  0.263  	  0.192
20  	  N  	  0.250  	  0.192
21  	  N  	  0.238  	  0.192
22  	  N  	  0.227  	  0.192
23  	  N  	  0.217  	  0.192
24  	  R  	  0.250  	  0.231
25  	  N  	  0.240  	  0.231
26  	  N  	  0.231  	  0.231
27  	  N  	  0.222  	  0.231
28  	  N  	  0.214  	  0.231
29  	  N  	  0.207  	  0.231
30  	  N  	  0.200  	  0.231
31  	  N  	  0.194  	  0.231
32  	  N  	  0.188  	  0.231
33  	  N  	  0.182  	  0.231
34  	  N  	  0.176  	  0.231
35  	  N  	  0.171  	  0.231
36  	  N  	  0.167  	  0.231
37  	  N  	  0.162  	  0.231
38  	  N  	  0.158  	  0.231
39  	  N  	  0.154  	  0.231
40  	  N  	  0.150  	  0.231
41  	  N  	  0.146  	  0.231
42  	  N  	  0.143  	  0.231
43  	  R  	  0.163  	  0.269
44  	  N  	  0.159  	  0.269
45  	  N  	  0.156  	  0.269
46  	  R  	  0.174  	  0.308
47  	  N  	  0.170  	  0.308
48  	  N  	  0.167  	  0.308
49  	  N  	  0.163  	  0.308
50  	  N  	  0.160  	  0.308
51  	  N  	  0.157  	  0.308
52  	  N  	  0.154  	  0.308
53  	  N  	  0.151  	  0.308
54  	  N  	  0.148  	  0.308
55  	  N  	  0.145  	  0.308
56  	  N  	  0.143  	  0.308
57  	  R  	  0.158  	  0.346
58  	  N  	  0.155  	  0.346
59  	  N  	  0.153  	  0.346
60  	  N  	  0.150  	  0.346
61  	  N  	  0.148  	  0.346
62  	  N  	  0.145  	  0.346
63  	  N  	  0.143  	  0.346
64  	  N  	  0.141  	  0.346
65  	  N  	  0.138  	  0.346
66  	  N  	  0.136  	  0.346
67  	  R  	  0.149  	  0.385
68  	  N  	  0.147  	  0.385
69  	  N  	  0.145  	  0.385
70  	  N  	  0.143  	  0.385
71  	  N  	  0.141  	  0.385
72  	  N  	  0.139  	  0.385
73  	  N  	  0.137  	  0.385
74  	  N  	  0.135  	  0.385
75  	  N  	  0.133  	  0.385
76  	  N  	  0.132  	  0.385
77  	  N  	  0.130  	  0.385
78  	  N  	  0.128  	  0.385
79  	  N  	  0.127  	  0.385
80  	  N  	  0.125  	  0.385
81  	  N  	  0.123  	  0.385
82  	  N  	  0.122  	  0.385
83  	  N  	  0.120  	  0.385
84  	  N  	  0.119  	  0.385
85  	  N  	  0.118  	  0.385
86  	  N  	  0.116  	  0.385
87  	  N  	  0.115  	  0.385
88  	  N  	  0.114  	  0.385
89  	  N  	  0.112  	  0.385
90  	  N  	  0.111  	  0.385
91  	  N  	  0.110  	  0.385
92  	  N  	  0.109  	  0.385
93  	  N  	  0.108  	  0.385
94  	  N  	  0.106  	  0.385
95  	  N  	  0.105  	  0.385
96  	  N  	  0.104  	  0.385
97  	  N  	  0.103  	  0.385
98  	  N  	  0.102  	  0.385
99  	  N  	  0.101  	  0.385
100  	  N  	  0.100  	  0.385
